sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBBM,NCAAB,d3d1735ff046ba91c0a8dbf87cc72b2f,2026-01-09 17:00:00 CST,BetOnline.ag,h2h,Miami (OH) RedHawks,1.95,,Toledo Rockets,Miami (OH) RedHawks
CBBM,NCAAB,d3d1735ff046ba91c0a8dbf87cc72b2f,2026-01-09 17:00:00 CST,BetOnline.ag,h2h,Toledo Rockets,1.87,,Toledo Rockets,Miami (OH) RedHawks
CBBM,NCAAB,d3d1735ff046ba91c0a8dbf87cc72b2f,2026-01-09 17:00:00 CST,FanDuel,h2h,Miami (OH) RedHawks,1.98,,Toledo Rockets,Miami (OH) RedHawks
CBBM,NCAAB,d3d1735ff046ba91c0a8dbf87cc72b2f,2026-01-09 17:00:00 CST,FanDuel,h2h,Toledo Rockets,1.85,,Toledo Rockets,Miami (OH) RedHawks
CBBM,NCAAB,d3d1735ff046ba91c0a8dbf87cc72b2f,2026-01-09 17:00:00 CST,Pinnacle,h2h,Miami (OH) RedHawks,2.02,,Toledo Rockets,Miami (OH) RedHawks
CBBM,NCAAB,d3d1735ff046ba91c0a8dbf87cc72b2f,2026-01-09 17:00:00 CST,Pinnacle,h2h,Toledo Rockets,1.84,,Toledo Rockets,Miami (OH) RedHawks
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,BetOnline.ag,h2h,Canisius Golden Griffins,3.63,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,BetOnline.ag,h2h,Manhattan Jaspers,1.31,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,FanDuel,h2h,Canisius Golden Griffins,3.85,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,FanDuel,h2h,Manhattan Jaspers,1.27,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,Pinnacle,h2h,Canisius Golden Griffins,3.61,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,Pinnacle,h2h,Manhattan Jaspers,1.31,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,BetUS,h2h,Canisius Golden Griffins,3.65,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,2be303f337047bc92374d0113f4d21e1,2026-01-09 18:00:00 CST,BetUS,h2h,Manhattan Jaspers,1.31,,Manhattan Jaspers,Canisius Golden Griffins
CBBM,NCAAB,4f3d92888e3039c40b878e2fab83c4c6,2026-01-09 18:00:00 CST,BetOnline.ag,h2h,Cleveland St Vikings,8.95,,Oakland Golden Grizzlies,Cleveland St Vikings
CBBM,NCAAB,4f3d92888e3039c40b878e2fab83c4c6,2026-01-09 18:00:00 CST,BetOnline.ag,h2h,Oakland Golden Grizzlies,1.08,,Oakland Golden Grizzlies,Cleveland St Vikings
CBBM,NCAAB,4f3d92888e3039c40b878e2fab83c4c6,2026-01-09 18:00:00 CST,FanDuel,h2h,Cleveland St Vikings,8.6,,Oakland Golden Grizzlies,Cleveland St Vikings
