sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,FanDuel,h2h,Boston Celtics,1.27,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,FanDuel,h2h,Toronto Raptors,4.0,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,BetOnline.ag,h2h,Boston Celtics,1.27,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,BetOnline.ag,h2h,Toronto Raptors,3.92,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,BetUS,h2h,Boston Celtics,1.29,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,BetUS,h2h,Toronto Raptors,3.78,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,Pinnacle,h2h,Boston Celtics,1.28,,Boston Celtics,Toronto Raptors
NBA,NBA,a3c377edabf29f3f3c05c1cd03c2701c,2026-01-09 18:10:00 CST,Pinnacle,h2h,Toronto Raptors,4.04,,Boston Celtics,Toronto Raptors
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,FanDuel,h2h,New Orleans Pelicans,1.68,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,FanDuel,h2h,Washington Wizards,2.24,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,BetOnline.ag,h2h,New Orleans Pelicans,1.71,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,BetOnline.ag,h2h,Washington Wizards,2.2,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,BetUS,h2h,New Orleans Pelicans,1.69,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,BetUS,h2h,Washington Wizards,2.25,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,Pinnacle,h2h,New Orleans Pelicans,1.72,,Washington Wizards,New Orleans Pelicans
NBA,NBA,fd952e8cdfea032fd925806405cfaec3,2026-01-09 18:10:00 CST,Pinnacle,h2h,Washington Wizards,2.25,,Washington Wizards,New Orleans Pelicans
NBA,NBA,9d66f595028bcd5407209c1aebd94b47,2026-01-09 18:10:00 CST,FanDuel,h2h,Orlando Magic,2.32,,Orlando Magic,Philadelphia 76ers
NBA,NBA,9d66f595028bcd5407209c1aebd94b47,2026-01-09 18:10:00 CST,FanDuel,h2h,Philadelphia 76ers,1.64,,Orlando Magic,Philadelphia 76ers
NBA,NBA,9d66f595028bcd5407209c1aebd94b47,2026-01-09 18:10:00 CST,BetOnline.ag,h2h,Orlando Magic,2.3,,Orlando Magic,Philadelphia 76ers
