sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBBM,NCAAB,4ad4d55ea57c0a8198c557840c87b3a1,2026-01-11 11:00:00 CST,FanDuel,spreads,Richmond Spiders,1.89,-8.5,Richmond Spiders,Saint Joseph's Hawks
CBBM,NCAAB,4ad4d55ea57c0a8198c557840c87b3a1,2026-01-11 11:00:00 CST,FanDuel,spreads,Saint Joseph's Hawks,1.93,8.5,Richmond Spiders,Saint Joseph's Hawks
CBBM,NCAAB,11b7d6f8701fcaeb15d1065646f64609,2026-01-11 11:00:14 CST,FanDuel,spreads,Illinois Fighting Illini,1.87,1.5,Iowa Hawkeyes,Illinois Fighting Illini
CBBM,NCAAB,11b7d6f8701fcaeb15d1065646f64609,2026-01-11 11:00:14 CST,FanDuel,spreads,Iowa Hawkeyes,1.95,-1.5,Iowa Hawkeyes,Illinois Fighting Illini
CBBM,NCAAB,6d191e78b454351bafcc0bcce3f6225b,2026-01-11 12:00:00 CST,FanDuel,spreads,Canisius Golden Griffins,1.91,12.5,Iona Gaels,Canisius Golden Griffins
CBBM,NCAAB,6d191e78b454351bafcc0bcce3f6225b,2026-01-11 12:00:00 CST,FanDuel,spreads,Iona Gaels,1.91,-12.5,Iona Gaels,Canisius Golden Griffins
CBBM,NCAAB,4bab32ccb192d924a553ae89fc4e2eca,2026-01-11 12:00:00 CST,FanDuel,spreads,Cleveland St Vikings,1.95,7.5,Detroit Mercy Titans,Cleveland St Vikings
CBBM,NCAAB,4bab32ccb192d924a553ae89fc4e2eca,2026-01-11 12:00:00 CST,FanDuel,spreads,Detroit Mercy Titans,1.87,-7.5,Detroit Mercy Titans,Cleveland St Vikings
CBBM,NCAAB,857964f461158ddee8fd3392f5d485aa,2026-01-11 12:00:00 CST,FanDuel,spreads,Florida Atlantic Owls,1.91,-1.5,Florida Atlantic Owls,Memphis Tigers
CBBM,NCAAB,857964f461158ddee8fd3392f5d485aa,2026-01-11 12:00:00 CST,FanDuel,spreads,Memphis Tigers,1.91,1.5,Florida Atlantic Owls,Memphis Tigers
CBBM,NCAAB,4a1d8a2609d2bd14cf4c6fba63b83b20,2026-01-11 13:00:00 CST,FanDuel,spreads,Charlotte 49ers,1.98,-1.5,Rice Owls,Charlotte 49ers
CBBM,NCAAB,4a1d8a2609d2bd14cf4c6fba63b83b20,2026-01-11 13:00:00 CST,FanDuel,spreads,Rice Owls,1.83,1.5,Rice Owls,Charlotte 49ers
CBBM,NCAAB,c8f1329c5005ebd7f1cc409ed112911e,2026-01-11 13:00:00 CST,FanDuel,spreads,East Carolina Pirates,1.91,7.5,East Carolina Pirates,UAB Blazers
CBBM,NCAAB,c8f1329c5005ebd7f1cc409ed112911e,2026-01-11 13:00:00 CST,FanDuel,spreads,UAB Blazers,1.91,-7.5,East Carolina Pirates,UAB Blazers
CBBM,NCAAB,9e6a4e255be1b7813448f63afef45f0a,2026-01-11 13:00:00 CST,FanDuel,spreads,Fort Wayne Mastodons,1.93,4.5,Robert Morris Colonials,Fort Wayne Mastodons
CBBM,NCAAB,9e6a4e255be1b7813448f63afef45f0a,2026-01-11 13:00:00 CST,FanDuel,spreads,Robert Morris Colonials,1.89,-4.5,Robert Morris Colonials,Fort Wayne Mastodons
CBBM,NCAAB,9cae01b465fea240fe5c477d21503b6e,2026-01-11 13:00:00 CST,FanDuel,spreads,Green Bay Phoenix,1.83,2.5,Green Bay Phoenix,Northern Kentucky Norse
CBBM,NCAAB,9cae01b465fea240fe5c477d21503b6e,2026-01-11 13:00:00 CST,FanDuel,spreads,Northern Kentucky Norse,1.98,-2.5,Green Bay Phoenix,Northern Kentucky Norse
CBBM,NCAAB,7ee90fcfb713b6a9e1bcd48a4129b294,2026-01-11 13:00:00 CST,FanDuel,spreads,Mt. St. Mary's Mountaineers,1.91,3.5,Mt. St. Mary's Mountaineers,Siena Saints
CBBM,NCAAB,7ee90fcfb713b6a9e1bcd48a4129b294,2026-01-11 13:00:00 CST,FanDuel,spreads,Siena Saints,1.91,-3.5,Mt. St. Mary's Mountaineers,Siena Saints
CBBM,NCAAB,e11da905a30f6a0c274892974e2817a7,2026-01-11 13:00:00 CST,FanDuel,spreads,Quinnipiac Bobcats,1.98,-5.5,Sacred Heart Pioneers,Quinnipiac Bobcats
CBBM,NCAAB,e11da905a30f6a0c274892974e2817a7,2026-01-11 13:00:00 CST,FanDuel,spreads,Sacred Heart Pioneers,1.83,5.5,Sacred Heart Pioneers,Quinnipiac Bobcats
CBBM,NCAAB,9a3437c1fbca4291153767aaf295e4e9,2026-01-11 16:00:06 CST,FanDuel,spreads,Cincinnati Bearcats,1.93,3.5,UCF Knights,Cincinnati Bearcats
CBBM,NCAAB,9a3437c1fbca4291153767aaf295e4e9,2026-01-11 16:00:06 CST,FanDuel,spreads,UCF Knights,1.89,-3.5,UCF Knights,Cincinnati Bearcats
CBBM,NCAAB,a8af1e51f85ee03aec7d8a0c7af4c6f7,2026-01-11 16:00:49 CST,FanDuel,spreads,Northwestern Wildcats,1.98,-4.5,Rutgers Scarlet Knights,Northwestern Wildcats
CBBM,NCAAB,a8af1e51f85ee03aec7d8a0c7af4c6f7,2026-01-11 16:00:49 CST,FanDuel,spreads,Rutgers Scarlet Knights,1.83,4.5,Rutgers Scarlet Knights,Northwestern Wildcats
CBBM,NCAAB,3afce209c75986d20d333036333e703c,2026-01-11 17:00:20 CST,FanDuel,spreads,Ohio State Buckeyes,1.87,2.5,Washington Huskies,Ohio State Buckeyes
CBBM,NCAAB,3afce209c75986d20d333036333e703c,2026-01-11 17:00:20 CST,FanDuel,spreads,Washington Huskies,1.95,-2.5,Washington Huskies,Ohio State Buckeyes
