sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,FanDuel,spreads,Indiana Pacers,1.94,6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,FanDuel,spreads,Miami Heat,1.88,-6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetOnline.ag,spreads,Indiana Pacers,1.89,6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetOnline.ag,spreads,Miami Heat,1.93,-6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetUS,spreads,Indiana Pacers,1.91,6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetUS,spreads,Miami Heat,1.91,-6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,Pinnacle,spreads,Indiana Pacers,1.97,6.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,Pinnacle,spreads,Miami Heat,1.93,-6.5,Indiana Pacers,Miami Heat
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,FanDuel,spreads,Detroit Pistons,1.89,-3.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,FanDuel,spreads,Los Angeles Clippers,1.93,3.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetUS,spreads,Detroit Pistons,1.87,-3.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetUS,spreads,Los Angeles Clippers,1.95,3.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetOnline.ag,spreads,Detroit Pistons,1.87,-3.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetOnline.ag,spreads,Los Angeles Clippers,1.95,3.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,Pinnacle,spreads,Detroit Pistons,1.94,-3.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,Pinnacle,spreads,Los Angeles Clippers,1.96,3.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,FanDuel,spreads,Boston Celtics,1.88,1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,FanDuel,spreads,San Antonio Spurs,1.94,-1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetOnline.ag,spreads,Boston Celtics,1.87,1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetOnline.ag,spreads,San Antonio Spurs,1.95,-1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetUS,spreads,Boston Celtics,1.87,1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetUS,spreads,San Antonio Spurs,1.95,-1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,Pinnacle,spreads,Boston Celtics,1.93,1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,Pinnacle,spreads,San Antonio Spurs,1.97,-1.0,Boston Celtics,San Antonio Spurs
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,FanDuel,spreads,Chicago Bulls,1.91,-2.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,FanDuel,spreads,Dallas Mavericks,1.91,2.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetOnline.ag,spreads,Chicago Bulls,1.87,-2.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetOnline.ag,spreads,Dallas Mavericks,1.95,2.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetUS,spreads,Chicago Bulls,1.91,-2.5,Chicago Bulls,Dallas Mavericks
