sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,FanDuel,totals,Over,1.93,236.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,FanDuel,totals,Under,1.89,236.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetOnline.ag,totals,Over,1.92,236.0,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetOnline.ag,totals,Under,1.9,236.0,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetUS,totals,Over,1.91,236.0,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,BetUS,totals,Under,1.91,236.0,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,Pinnacle,totals,Over,1.94,235.5,Indiana Pacers,Miami Heat
NBA,NBA,d78a7f53cae6e1e90ac824798a731dc0,2026-01-10 18:10:00 CST,Pinnacle,totals,Under,1.91,235.5,Indiana Pacers,Miami Heat
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,FanDuel,totals,Over,1.89,213.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,FanDuel,totals,Under,1.93,213.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetUS,totals,Over,1.87,213.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetUS,totals,Under,1.95,213.0,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetOnline.ag,totals,Over,1.91,213.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,BetOnline.ag,totals,Under,1.91,213.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,Pinnacle,totals,Over,1.97,213.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,dcf995525932e342bb6e393a4a14d3bc,2026-01-10 18:40:00 CST,Pinnacle,totals,Under,1.92,213.5,Detroit Pistons,Los Angeles Clippers
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,FanDuel,totals,Over,1.93,231.5,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,FanDuel,totals,Under,1.89,231.5,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetOnline.ag,totals,Over,1.91,231.5,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetOnline.ag,totals,Under,1.91,231.5,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetUS,totals,Over,1.91,231.5,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,BetUS,totals,Under,1.91,231.5,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,Pinnacle,totals,Over,1.99,232.0,Boston Celtics,San Antonio Spurs
NBA,NBA,740d5ef3c31a3948f4a431b936f33533,2026-01-10 19:10:00 CST,Pinnacle,totals,Under,1.89,232.0,Boston Celtics,San Antonio Spurs
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,FanDuel,totals,Over,1.89,233.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,FanDuel,totals,Under,1.93,233.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetOnline.ag,totals,Over,1.91,233.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetOnline.ag,totals,Under,1.91,233.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetUS,totals,Over,1.91,233.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,BetUS,totals,Under,1.91,233.5,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,Pinnacle,totals,Over,1.93,233.0,Chicago Bulls,Dallas Mavericks
NBA,NBA,abe4989954febfba84fb2bdcdd545df7,2026-01-10 19:10:00 CST,Pinnacle,totals,Under,1.96,233.0,Chicago Bulls,Dallas Mavericks
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,FanDuel,totals,Over,1.95,240.5,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,FanDuel,totals,Under,1.87,240.5,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,BetOnline.ag,totals,Over,1.91,239.0,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,BetOnline.ag,totals,Under,1.91,239.0,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,BetUS,totals,Over,1.91,239.5,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,BetUS,totals,Under,1.91,239.5,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,Pinnacle,totals,Over,1.99,239.5,Utah Jazz,Charlotte Hornets
NBA,NBA,01a2040061104221c5e77ce703c4fe5f,2026-01-10 20:40:00 CST,Pinnacle,totals,Under,1.9,239.5,Utah Jazz,Charlotte Hornets
