sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NBA,NBA,61fc2e0519808b7939ffa4b246abdc06,2026-01-13 18:40:00 CST,FanDuel,spreads,Miami Heat,1.91,-1.0,Miami Heat,Phoenix Suns
NBA,NBA,61fc2e0519808b7939ffa4b246abdc06,2026-01-13 18:40:00 CST,FanDuel,spreads,Phoenix Suns,1.91,1.0,Miami Heat,Phoenix Suns
NBA,NBA,bed2aa3c325290237960f892f5a097a6,2026-01-13 19:10:00 CST,FanDuel,spreads,Chicago Bulls,1.95,12.5,Houston Rockets,Chicago Bulls
NBA,NBA,bed2aa3c325290237960f892f5a097a6,2026-01-13 19:10:00 CST,FanDuel,spreads,Houston Rockets,1.87,-12.5,Houston Rockets,Chicago Bulls
NBA,NBA,bed2aa3c325290237960f892f5a097a6,2026-01-13 19:10:00 CST,BetOnline.ag,spreads,Chicago Bulls,1.91,12.5,Houston Rockets,Chicago Bulls
NBA,NBA,bed2aa3c325290237960f892f5a097a6,2026-01-13 19:10:00 CST,BetOnline.ag,spreads,Houston Rockets,1.91,-12.5,Houston Rockets,Chicago Bulls
NBA,NBA,e7bdcaa4eb0827e34ee88b6f7f4cfbf7,2026-01-13 19:10:00 CST,FanDuel,spreads,Milwaukee Bucks,1.88,-2.0,Milwaukee Bucks,Minnesota Timberwolves
NBA,NBA,e7bdcaa4eb0827e34ee88b6f7f4cfbf7,2026-01-13 19:10:00 CST,FanDuel,spreads,Minnesota Timberwolves,1.94,2.0,Milwaukee Bucks,Minnesota Timberwolves
NBA,NBA,a7a281e6b58fc8dcb4460426708635f0,2026-01-13 19:10:00 CST,FanDuel,spreads,Oklahoma City Thunder,1.91,-7.0,Oklahoma City Thunder,San Antonio Spurs
NBA,NBA,a7a281e6b58fc8dcb4460426708635f0,2026-01-13 19:10:00 CST,FanDuel,spreads,San Antonio Spurs,1.91,7.0,Oklahoma City Thunder,San Antonio Spurs
NBA,NBA,a7a281e6b58fc8dcb4460426708635f0,2026-01-13 19:10:00 CST,BetOnline.ag,spreads,Oklahoma City Thunder,1.87,-6.0,Oklahoma City Thunder,San Antonio Spurs
NBA,NBA,a7a281e6b58fc8dcb4460426708635f0,2026-01-13 19:10:00 CST,BetOnline.ag,spreads,San Antonio Spurs,1.95,6.0,Oklahoma City Thunder,San Antonio Spurs
