sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBBW,WNCAAB,17e49a9e817fa6aa0aa06273e17caa0a,2026-01-14 17:30:00 CST,FanDuel,spreads,Ohio State Buckeyes,1.88,-21.5,Ohio State Buckeyes,Penn State Nittany Lions
CBBW,WNCAAB,17e49a9e817fa6aa0aa06273e17caa0a,2026-01-14 17:30:00 CST,FanDuel,spreads,Penn State Nittany Lions,1.88,21.5,Ohio State Buckeyes,Penn State Nittany Lions
CBBW,WNCAAB,17e49a9e817fa6aa0aa06273e17caa0a,2026-01-14 17:30:00 CST,BetOnline.ag,spreads,Ohio State Buckeyes,1.91,-20.5,Ohio State Buckeyes,Penn State Nittany Lions
CBBW,WNCAAB,17e49a9e817fa6aa0aa06273e17caa0a,2026-01-14 17:30:00 CST,BetOnline.ag,spreads,Penn State Nittany Lions,1.83,20.5,Ohio State Buckeyes,Penn State Nittany Lions
CBBW,WNCAAB,7b0894936ac53f22b1496e80f3c67468,2026-01-14 18:00:00 CST,FanDuel,spreads,TCU Horned Frogs,1.8,-1.5,West Virginia Mountaineers,TCU Horned Frogs
CBBW,WNCAAB,7b0894936ac53f22b1496e80f3c67468,2026-01-14 18:00:00 CST,FanDuel,spreads,West Virginia Mountaineers,1.94,1.5,West Virginia Mountaineers,TCU Horned Frogs
CBBW,WNCAAB,7b0894936ac53f22b1496e80f3c67468,2026-01-14 18:00:00 CST,BetOnline.ag,spreads,TCU Horned Frogs,1.91,-2.5,West Virginia Mountaineers,TCU Horned Frogs
CBBW,WNCAAB,7b0894936ac53f22b1496e80f3c67468,2026-01-14 18:00:00 CST,BetOnline.ag,spreads,West Virginia Mountaineers,1.83,2.5,West Virginia Mountaineers,TCU Horned Frogs
CBBW,WNCAAB,06286ff13df25e7be180a058b769e187,2026-01-14 19:00:00 CST,FanDuel,spreads,Minnesota Golden Gophers,1.91,13.5,Minnesota Golden Gophers,UCLA Bruins
CBBW,WNCAAB,06286ff13df25e7be180a058b769e187,2026-01-14 19:00:00 CST,FanDuel,spreads,UCLA Bruins,1.83,-13.5,Minnesota Golden Gophers,UCLA Bruins
CBBW,WNCAAB,06286ff13df25e7be180a058b769e187,2026-01-14 19:00:00 CST,BetOnline.ag,spreads,Minnesota Golden Gophers,1.87,14.5,Minnesota Golden Gophers,UCLA Bruins
CBBW,WNCAAB,06286ff13df25e7be180a058b769e187,2026-01-14 19:00:00 CST,BetOnline.ag,spreads,UCLA Bruins,1.87,-14.5,Minnesota Golden Gophers,UCLA Bruins
CBBW,WNCAAB,6c8e67878a3f5d4c20b46372cd6c9f7c,2026-01-14 20:00:00 CST,FanDuel,spreads,Baylor Bears,1.88,-2.5,Utah Utes,Baylor Bears
CBBW,WNCAAB,6c8e67878a3f5d4c20b46372cd6c9f7c,2026-01-14 20:00:00 CST,FanDuel,spreads,Utah Utes,1.88,2.5,Utah Utes,Baylor Bears
CBBW,WNCAAB,6c8e67878a3f5d4c20b46372cd6c9f7c,2026-01-14 20:00:00 CST,BetOnline.ag,spreads,Baylor Bears,1.83,-2.5,Utah Utes,Baylor Bears
CBBW,WNCAAB,6c8e67878a3f5d4c20b46372cd6c9f7c,2026-01-14 20:00:00 CST,BetOnline.ag,spreads,Utah Utes,1.91,2.5,Utah Utes,Baylor Bears
CBBW,WNCAAB,96e1ea78b1f261595e453fd5c188c627,2026-01-14 20:00:00 CST,FanDuel,spreads,Colorado Buffaloes,1.88,2.5,Colorado Buffaloes,Iowa State Cyclones
CBBW,WNCAAB,96e1ea78b1f261595e453fd5c188c627,2026-01-14 20:00:00 CST,FanDuel,spreads,Iowa State Cyclones,1.88,-2.5,Colorado Buffaloes,Iowa State Cyclones
CBBW,WNCAAB,96e1ea78b1f261595e453fd5c188c627,2026-01-14 20:00:00 CST,BetOnline.ag,spreads,Colorado Buffaloes,1.91,3.5,Colorado Buffaloes,Iowa State Cyclones
CBBW,WNCAAB,96e1ea78b1f261595e453fd5c188c627,2026-01-14 20:00:00 CST,BetOnline.ag,spreads,Iowa State Cyclones,1.83,-3.5,Colorado Buffaloes,Iowa State Cyclones
