timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h,odds_home_team,odds_away_team,odds_start_time,odds_market_type,odds_team,odds_price,odds_point,odds_last_fetch_time
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14NYKSAC-SAC,New York at Sacramento Winner?,active,binary,,0.19,0.2,0.8,0.81,3551561.19,393700.0,Sacramento Kings,New York Knicks,2026-01-14 22:10:00 EST,h2h,Sacramento Kings,4.806,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14NYKSAC-NYK,New York at Sacramento Winner?,active,binary,,0.8,0.81,0.19,0.2,4025811.21,198717.0,Sacramento Kings,New York Knicks,2026-01-14 22:10:00 EST,h2h,New York Knicks,1.2109999999999999,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14WASLAC-WAS,Washington at Los Angeles C Winner?,active,binary,,0.19,0.2,0.8,0.81,2730827.2,206698.0,Los Angeles Clippers,Washington Wizards,2026-01-14 22:40:00 EST,h2h,Washington Wizards,4.678000000000001,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14WASLAC-LAC,Washington at Los Angeles C Winner?,active,binary,,0.8,0.81,0.19,0.2,2808868.38,62965.0,Los Angeles Clippers,Washington Wizards,2026-01-14 22:40:00 EST,h2h,Los Angeles Clippers,1.211,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14DENDAL-DEN,Denver at Dallas Winner?,active,binary,,0.45,0.46,0.54,0.55,3847938.24,283460.0,Dallas Mavericks,Denver Nuggets,2026-01-14 21:40:00 EST,h2h,Denver Nuggets,2.1810000000000005,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14DENDAL-DAL,Denver at Dallas Winner?,active,binary,,0.55,0.56,0.44,0.45,3906660.63,181781.0,Dallas Mavericks,Denver Nuggets,2026-01-14 21:40:00 EST,h2h,Dallas Mavericks,1.74,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14UTACHI-UTA,Utah at Chicago Winner?,active,binary,,0.36,0.37,0.63,0.64,3036163.42,147173.0,Chicago Bulls,Utah Jazz,2026-01-14 20:10:00 EST,h2h,Utah Jazz,2.6209999999999996,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14UTACHI-CHI,Utah at Chicago Winner?,active,binary,,0.63,0.64,0.36,0.37,3017885.22,152182.0,Chicago Bulls,Utah Jazz,2026-01-14 20:10:00 EST,h2h,Chicago Bulls,1.544,,2026-01-14T18:28:14.592841-05:00
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14BKNNOP-NOP,Brooklyn at New Orleans Winner?,active,binary,,0.52,0.53,0.47,0.48,3767116.34,101058.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNBAGAME-26JAN14BKNNOP-BKN,Brooklyn at New Orleans Winner?,active,binary,,0.47,0.49,0.51,0.53,3824995.07,49318.0,,,,,,,,
