timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-10-21T04:17:31.570718Z,KXATPMATCH-25OCT21NORRUB-RUB,Will Andrey Rublev win the Norrie vs Rublev match?,active,binary,0.63,0.88,0.64,0.02,0.36,0.98,0.37,0.12,0.01,0.01,14,9,20433.2,643.0
2025-10-21T04:17:31.695851Z,KXATPMATCH-25OCT21NORRUB-NOR,Will Cameron Norrie win the Norrie vs Rublev match?,active,binary,0.36,0.88,0.37,0.02,0.63,0.98,0.64,0.12,0.01,0.01,13,11,17895.96,362.0
2025-10-21T04:17:31.831069Z,KXATPMATCH-25OCT21MPEFON-MPE,Will Giovanni Mpetshi Perricard win the Mpetshi Perricard vs Fonseca match?,active,binary,0.53,0.88,0.55,0.02,0.45,0.98,0.47,0.12,0.02,0.02,11,8,16860.63,1158.0
2025-10-21T04:17:31.966656Z,KXATPMATCH-25OCT21MPEFON-FON,Will Joao Fonseca win the Mpetshi Perricard vs Fonseca match?,active,binary,0.45,0.88,0.47,0.02,0.53,0.98,0.55,0.12,0.02,0.02,11,10,15889.34,351.0
2025-10-21T04:17:32.101078Z,KXATPMATCH-25OCT21GIRSHA-GIR,Will Marcos Giron win the Giron vs Shapovalov match?,active,binary,0.4,0.97,0.41,0.02,0.59,0.98,0.6,0.03,0.01,0.01,11,10,15385.78,45.0
2025-10-21T04:17:32.237012Z,KXATPMATCH-25OCT21GIRSHA-SHA,Will Denis Shapovalov win the Giron vs Shapovalov match?,active,binary,0.59,0.98,0.6,0.02,0.4,0.98,0.41,0.02,0.01,0.01,13,9,14068.62,312.0
2025-10-21T04:17:32.368681Z,KXATPMATCH-25OCT21ETCBUD-ETC,Will Tomas Martin Etcheverry win the Etcheverry vs Budkov Kjaer match?,active,binary,0.56,0.98,0.58,0.02,0.42,0.98,0.44,0.02,0.02,0.02,11,9,12686.16,16.0
2025-10-21T04:17:32.520291Z,KXATPMATCH-25OCT21ETCBUD-BUD,Will Nicolai Budkov Kjaer win the Etcheverry vs Budkov Kjaer match?,active,binary,0.42,0.97,0.44,0.02,0.56,0.98,0.58,0.03,0.02,0.02,12,8,12529.78,33.0
2025-10-21T04:17:32.663097Z,KXDIDDYPUBLIC-25NOV01,"Will Sean Combs be seen in public before Nov 1, 2025?",active,binary,0.05,0.49,0.2,0.05,0.8,0.95,0.95,0.51,0.15,0.15,2,5,5621.97,0.0
2025-10-21T04:17:32.806491Z,KXMVENFLSINGLEGAME-S2025A53CD7C5BF5-91E81D0AB77,"yes C.J. Stroud: 175+,yes Cooper Kupp: 40+,yes Nick Chubb: 40+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,5046.0
2025-10-21T04:17:32.948241Z,KXMVENFLMULTIGAMEEXTENDED-S2025E8FA18D6ACD-3C9DF7A096A,"yes Jaxon Smith-Njigba,yes Sam Darnold: 200+,yes Seattle wins by over 6.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,4734.0
2025-10-21T04:17:33.091632Z,KXMVENFLSINGLEGAME-S2025B554168C63E-06F7BA5272C,"yes Nico Collins,yes C.J. Stroud: 175+,yes Sam Darnold: 200+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,4205.0
2025-10-21T04:17:33.230264Z,KXMVENFLSINGLEGAME-S2025FD2CB50955F-8556B027320,"yes Kenneth Walker III,yes Houston,yes C.J. Stroud: 175+,no Over 52.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,3333.0
2025-10-21T04:17:33.370080Z,KXMVENFLSINGLEGAME-S20255C9BD8C2ED4-4E75E9A79C6,"yes Seattle,yes Sam Darnold: 200+,yes Woody Marks: 20+,yes Kenneth Walker III: 50+,no Over 38.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,3012.0
2025-10-21T04:17:33.511937Z,KXMVENFLMULTIGAMEEXTENDED-S20256563B4CBEC7-8D53CA92335,"yes Kenneth Walker III,yes Sam Darnold: 200+,no Over 40.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,2341.0
2025-10-21T04:17:33.651623Z,KXMVENFLSINGLEGAME-S202574C937ABD68-41199182A2A,"yes Nick Chubb,yes Nico Collins,yes Jaxon Smith-Njigba,yes Seattle,yes C.J. Stroud: 200+,yes Sam Darnold: 200+,yes Nico Collins: 50+,yes Nick Chubb: 30+,yes Kenneth Walker III: 60+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,2336.0
2025-10-21T04:17:33.788374Z,KXMVENFLSINGLEGAME-S20254E73C47780A-070F999AC77,"yes Nico Collins,yes Elijah Arroyo,yes Seattle wins by over 13.5 points,yes Over 38.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,2309.0
2025-10-21T04:17:33.923835Z,KXMVENFLSINGLEGAME-S202524FB416FC08-1ED6D92FD20,"yes Dalton Schultz,yes Houston,yes C.J. Stroud: 200+,yes Sam Darnold: 200+,yes Nick Chubb: 30+,yes Kenneth Walker III: 30+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,2307.0
2025-10-21T04:17:34.060932Z,KXMVENFLSINGLEGAME-S2025EE78412CE4E-16B802B4424,"yes Kenneth Walker III,yes C.J. Stroud: 175+,yes Sam Darnold: 200+,yes Nico Collins: 50+,yes Cooper Kupp: 40+,yes Woody Marks: 30+,yes Seattle wins by over 7.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,2301.0
2025-10-21T04:17:34.205022Z,KXMVENFLSINGLEGAME-S2025570C142BA7D-728856ED0CA,"yes Jaxon Smith-Njigba,yes AJ Barner,yes Sam Darnold: 275+,yes Seattle wins by over 13.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,2299.0
