timestamp,sport_name,sport_id,league_id,league_name,event_id,event_type,live_status_id,starts,home_team,away_team,is_have_odds,moneyline_home,moneyline_draw,moneyline_away,spread_points,spread_home_price,spread_away_price,total_points,total_over_price,total_under_price,team_total_home_points,team_total_home_over,team_total_home_under,team_total_away_points,team_total_away_over,team_total_away_under,open_money_line,open_spreads,open_totals,open_team_total
2025-10-25T01:53:12.918436Z,Basketball,3,216740,Switzerland - SB League Women,1617553833,prematch,2,2025-10-25T15:30:00,BC Alte Kanti Aarau,Baden Basket 54,True,,,,22.5,2.24,1.523,144.5,1.568,2.19,,,,,,,False,True,True,False
2025-10-25T01:53:12.918530Z,Basketball,3,487,NBA,1617664338,prematch,2,2025-10-24T23:40:00,New York Knicks,Boston Celtics,True,1.628,,2.43,-1.0,1.649,2.35,228.5,1.671,2.28,117.5,1.98,1.877,113.5,1.847,2.01,False,False,False,False
2025-10-25T01:53:12.918554Z,Basketball,3,203908,Chile - LNB,1617664341,prematch,2,2025-10-24T23:30:00,CD Universidad De Concepcion,CD Espanol Osorno,True,1.268,,3.1,-6.5,1.813,1.847,155.5,1.854,1.813,,,,,,,False,False,False,False
2025-10-25T01:53:12.918569Z,Basketball,3,487,NBA,1617673450,prematch,2,2025-10-25T00:10:00,New Orleans Pelicans,San Antonio Spurs,True,2.47,,1.609,1.5,2.38,1.632,231.0,1.694,2.24,114.5,1.862,1.99,118.5,1.925,1.925,False,False,False,False
2025-10-25T01:53:12.918578Z,Basketball,3,487,NBA,1617664349,prematch,2,2025-10-25T00:10:00,Memphis Grizzlies,Miami Heat,True,1.704,,2.28,1.0,1.671,2.31,229.5,1.74,2.16,117.5,2.0,1.854,114.5,1.961,1.892,False,False,False,False
2025-10-25T01:53:12.918586Z,Basketball,3,487,NBA,1617668284,prematch,2,2025-10-25T00:10:00,Houston Rockets,Detroit Pistons,True,1.411,,3.13,-4.0,1.628,2.39,224.0,1.757,2.13,116.5,1.97,1.884,110.5,2.03,1.826,False,False,False,False
2025-10-25T01:53:12.918594Z,Basketball,3,242092,Mexico - Liga ABE Women,1617673467,prematch,2,2025-10-24T22:00:00,Universidad Modelo,Uvm Queretaro,True,2.98,,1.294,6.0,1.847,1.819,115.5,1.877,1.787,,,,,,,False,False,False,False
2025-10-25T01:53:12.918607Z,Basketball,3,487,NBA,1617673469,prematch,2,2025-10-25T00:40:00,Dallas Mavericks,Washington Wizards,True,1.235,,4.51,-7.0,1.671,2.3,226.0,1.714,2.21,118.5,1.9,1.952,109.5,1.9,1.952,False,False,False,False
2025-10-25T01:53:12.918617Z,Basketball,3,238265,Mexico - Liga ABE,1617673470,prematch,0,2025-10-25T00:30:00,UMAD,ANAHUAC Queretaro,True,1.294,,2.98,-6.0,1.806,1.862,148.0,1.847,1.819,,,,,,,False,False,False,False
2025-10-25T01:53:12.918624Z,Basketball,3,238265,Mexico - Liga ABE,1617668315,prematch,0,2025-10-25T01:00:00,UDLAP,Americana Del Noreste,True,1.05,,5.9,-13.5,1.854,1.813,149.5,1.819,1.847,,,,,,,False,False,False,False
2025-10-25T01:53:12.918630Z,Basketball,3,238265,Mexico - Liga ABE,1617668314,prematch,0,2025-10-25T01:00:00,TEC MTY Puebla,Universidad Montrer,True,1.289,,3.0,-6.0,1.793,1.877,158.0,1.84,1.826,,,,,,,False,False,False,False
2025-10-25T01:53:12.918637Z,Basketball,3,238265,Mexico - Liga ABE,1617673481,prematch,0,2025-10-25T01:00:00,UPAEP,TEC MTY Monterrey,True,1.159,,3.89,-9.0,1.854,1.806,145.0,1.84,1.826,,,,,,,False,False,False,False
2025-10-25T01:53:12.918650Z,Basketball,3,487,NBA,1617673504,prematch,2,2025-10-25T02:10:00,Sacramento Kings,Utah Jazz,True,1.485,,2.83,-3.5,1.653,2.34,232.0,1.709,2.21,119.5,1.862,2.0,114.5,1.917,1.934,True,True,True,True
2025-10-25T01:53:12.918658Z,Basketball,3,487,NBA,1617710808,prematch,2,2025-10-25T02:10:00,Portland Trail Blazers,Golden State Warriors,True,2.3,,1.694,1.0,2.23,1.709,226.0,1.729,2.18,113.5,1.97,1.877,114.5,1.84,2.02,True,True,True,True
2025-10-25T01:53:12.918666Z,Basketball,3,487,NBA,1617710805,prematch,2,2025-10-25T02:10:00,Los Angeles Lakers,Minnesota Timberwolves,True,2.06,,1.854,1.0,1.97,1.925,223.0,1.675,2.27,112.5,1.917,1.934,114.5,1.99,1.862,True,True,True,True
2025-10-25T01:53:12.918674Z,Basketball,3,487,NBA,1617727190,prematch,2,2025-10-25T02:40:00,Los Angeles Clippers,Phoenix Suns,True,1.235,,4.51,-7.5,1.645,2.36,221.0,1.694,2.24,116.5,1.892,1.961,106.5,1.862,2.0,True,True,True,True
2025-10-25T01:53:12.918682Z,Basketball,3,206701,Japan - B2 League,1617710829,prematch,2,2025-10-25T03:05:00,Kobe Storks,Kumamoto Volters,True,1.17,,4.2,-7.0,1.531,2.23,161.5,1.68,2.01,,,,,,,True,True,True,False
2025-10-25T01:53:12.918698Z,Basketball,3,293,Brazil - Novo Basquete Brasil,1617725518,prematch,2,2025-10-24T23:00:00,Vasco Da Gama,Unifacisa,True,4.2,,1.212,7.0,2.36,1.581,151.0,1.68,2.2,,,,,,,False,False,False,False
2025-10-25T01:53:12.918708Z,Basketball,3,478,Japan - WJB League Women,1617710845,prematch,2,2025-10-25T04:00:00,Toyota Boshoku Sunshine Rabbits,Denso Iris,True,3.8,,1.208,6.0,2.22,1.591,133.0,1.657,2.14,,,,,,,True,True,True,False
2025-10-25T01:53:12.918724Z,Basketball,3,478,Japan - WJB League Women,1617727244,prematch,2,2025-10-25T05:00:00,Fujitsu Red Wave,Chanson V-Magic,True,1.157,,4.36,-7.5,1.568,2.26,139.0,1.657,2.14,,,,,,,True,True,True,False
2025-10-25T01:53:12.918734Z,Basketball,3,206701,Japan - B2 League,1617725541,prematch,2,2025-10-25T05:05:00,Fukui Blowwinds,Yokohama Excellence,True,1.131,,4.74,-8.5,1.54,2.21,161.5,1.595,2.15,,,,,,,True,True,True,False
2025-10-25T01:53:12.918744Z,Basketball,3,206701,Japan - B2 League,1617727260,prematch,2,2025-10-25T06:05:00,Kagoshima Rebnise,Aomori Wats,True,1.219,,3.7,-5.5,1.515,2.26,166.0,1.613,2.11,,,,,,,True,True,True,False
2025-10-25T01:53:12.918754Z,Basketball,3,206701,Japan - B2 League,1617727261,prematch,2,2025-10-25T06:05:00,Yamagata Wyverns,Fukushima Fire Bonds,True,3.72,,1.217,5.5,2.18,1.558,160.0,1.552,2.22,,,,,,,True,True,True,False
2025-10-25T01:53:12.918764Z,Basketball,3,206701,Japan - B2 League,1617738302,prematch,2,2025-10-25T06:05:00,Iwate Big Bulls,Veltex Shizuoka,True,1.694,,2.08,-1.0,1.68,2.0,137.5,1.625,2.09,,,,,,,True,True,True,False
2025-10-25T01:53:12.918774Z,Basketball,3,206701,Japan - B2 League,1617727259,prematch,2,2025-10-25T06:05:00,Ehime Orange Vikings,Bambitious Nara,True,1.337,,2.98,-3.5,1.581,2.14,145.0,1.657,2.04,,,,,,,True,True,True,False
2025-10-25T01:53:12.918784Z,Basketball,3,478,Japan - WJB League Women,1617742797,prematch,2,2025-10-25T08:00:00,Haneda Vickies,Toyota Antelopes,True,4.92,,1.121,8.0,2.27,1.568,129.5,1.649,2.15,,,,,,,True,True,True,False
2025-10-25T01:53:12.918793Z,Basketball,3,216542,Sweden - Superettan,1617738386,prematch,2,2025-10-25T14:00:00,Malbas,Aros,True,1.138,,4.12,-7.5,1.531,2.23,154.5,1.621,2.1,,,,,,,True,True,True,False
2025-10-25T01:53:12.918803Z,Basketball,3,216542,Sweden - Superettan,1617738387,prematch,2,2025-10-25T13:00:00,Huddinge Basketklubb,AIK Basket,True,1.42,,2.52,-2.0,1.571,2.26,160.0,1.653,2.14,,,,,,,True,True,True,False
2025-10-25T01:53:12.918813Z,Basketball,3,319,Denmark - Kvindebasketligaen,1617742853,prematch,2,2025-10-25T12:30:00,BK Amager,Aabyhoj,True,4.82,,1.061,11.5,1.84,1.763,128.0,1.793,1.806,,,,,,,True,True,True,False
2025-10-25T01:53:12.918819Z,Basketball,3,319,Denmark - Kvindebasketligaen,1617742854,prematch,2,2025-10-25T11:00:00,BMS Herlev,Falcon,True,6.36,,1.017,17.0,1.869,1.735,134.5,1.8,1.8,,,,,,,True,True,True,False
2025-10-25T01:53:12.918826Z,Basketball,3,238365,Russia - Super League,1617752778,prematch,2,2025-10-25T11:00:00,BC Khimki,CSKA Moscow 2,True,1.122,,4.33,-7.5,1.595,2.11,146.5,1.617,2.11,,,,,,,True,True,True,False
2025-10-25T01:53:12.918836Z,Basketball,3,213155,Austria - Zweite Liga,1617752774,prematch,2,2025-10-25T13:00:00,Upper Austrian Ballers,Mattersburg Rocks,True,3.84,,1.128,9.5,1.806,1.793,152.0,1.854,1.746,,,,,,,True,True,True,False
2025-10-25T01:53:12.918842Z,Basketball,3,213155,Austria - Zweite Liga,1617743895,prematch,2,2025-10-25T12:30:00,Future Team Steiermark,Udw Alligators,True,,,,26.0,1.877,1.729,150.0,1.8,1.8,,,,,,,False,True,True,False
2025-10-25T01:53:12.918850Z,Basketball,3,501,Norway - BLNO,1617752771,prematch,2,2025-10-25T14:00:00,Centrum Tigers Oslo,Gimle BK,True,3.31,,1.274,4.5,2.35,1.526,174.0,1.628,2.19,,,,,,,True,True,True,False
2025-10-25T01:53:12.918860Z,Basketball,3,501,Norway - BLNO,1617743894,prematch,2,2025-10-25T14:00:00,TNT Towers,Nidaros Jets,True,2.27,,1.584,1.0,2.22,1.591,172.5,1.666,2.12,,,,,,,True,True,True,False
2025-10-25T01:53:12.918869Z,Basketball,3,439,Greece - Elite League,1617752779,prematch,2,2025-10-25T14:00:00,Ne Megaridas,AEPS Machites Peiramatiko,True,1.054,,5.76,-10.5,1.549,2.19,151.0,1.632,2.08,,,,,,,True,True,True,False
2025-10-25T01:53:12.918879Z,Basketball,3,439,Greece - Elite League,1617742867,prematch,2,2025-10-25T14:00:00,GS Lavrio,AS Papagou,True,2.08,,1.632,-1.0,2.17,1.621,161.0,1.653,2.14,,,,,,,True,True,True,False
2025-10-25T01:53:12.918889Z,Basketball,3,213155,Austria - Zweite Liga,1617752814,prematch,0,2025-10-25T14:00:00,KOS Celovec,BK Rapid Wien,True,4.73,,1.065,11.0,1.826,1.775,145.5,1.826,1.769,,,,,,,True,True,True,False
2025-10-25T01:53:12.918895Z,Basketball,3,210215,Czech Republic - ZBL Women,1617752813,prematch,0,2025-10-25T14:00:00,Sokol Hradec Kralove,Levharti Chomutov,True,1.552,,2.13,-2.5,1.793,1.806,143.0,1.819,1.781,,,,,,,True,True,True,False
2025-10-25T01:53:12.918902Z,Basketball,3,438,Greece - A1 Women,1617757366,prematch,2,2025-10-25T09:00:00,PAOK Thessaloniki,AEO Proteas Voulas,True,2.24,,1.54,1.0,2.15,1.571,134.5,1.613,2.11,,,,,,,True,True,True,False
2025-10-25T01:53:12.918912Z,Basketball,3,374,Europe - VTB United League,1617752815,prematch,2,2025-10-25T09:00:00,Enisey,Uralmash,True,2.71,,1.359,2.5,2.23,1.531,153.5,1.625,2.09,,,,,,,True,True,True,False
2025-10-25T01:53:12.918921Z,Basketball,3,439,Greece - Elite League,1617762207,prematch,2,2025-10-25T14:00:00,Psychikou,OS AGE Chalkidas,True,1.387,,2.62,-2.0,1.555,2.18,145.0,1.671,2.03,,,,,,,True,True,True,False
2025-10-25T01:53:12.918931Z,Basketball,3,210291,Turkey - Super League Women,1617752845,prematch,2,2025-10-25T10:00:00,Ogm Ormanspor,Kocaeli Kadin,True,1.42,,2.52,-2.0,1.571,2.26,146.0,1.653,2.14,,,,,,,True,True,True,False
2025-10-25T01:53:12.918940Z,Basketball,3,210291,Turkey - Super League Women,1617778498,prematch,2,2025-10-25T11:00:00,Emlak Konut SK,Canakkale Bld,True,1.163,,3.85,-6.5,1.485,2.33,146.0,1.555,2.21,,,,,,,True,True,True,False
2025-10-25T01:53:12.918950Z,Basketball,3,208618,Lithuania - National Basketball League,1617778505,prematch,2,2025-10-25T11:10:00,Kretingos Kretinga,Suduva-Mantinga,True,2.26,,1.531,1.5,2.15,1.571,159.5,1.628,2.09,,,,,,,True,True,True,False
2025-10-25T01:53:12.918959Z,Basketball,3,210233,Sweden - Basketligan Women,1617778430,prematch,2,2025-10-25T12:00:00,Brahe,Sodertalje,True,5.93,,1.025,15.5,1.806,1.793,144.5,1.806,1.793,,,,,,,True,True,True,False
2025-10-25T01:53:12.918966Z,Basketball,3,210247,Italy - Serie A2 Women,1617778459,prematch,2,2025-10-25T13:00:00,CUS Cagliari,Virtus Eirene Ragusa,True,7.93,,1.017,17.0,2.15,1.574,134.0,1.602,2.13,,,,,,,True,True,True,False
2025-10-25T01:53:12.918975Z,Basketball,3,210291,Turkey - Super League Women,1617778580,prematch,2,2025-10-25T13:00:00,Nesibe Aydin,Botas SK,True,1.746,,1.925,-1.0,1.806,1.934,152.5,1.662,2.13,,,,,,,True,True,True,False
2025-10-25T01:53:12.918985Z,Basketball,3,408,Finland - Korisliiga,1617778455,prematch,2,2025-10-25T13:00:00,Honka Espoo,Kouvot Kouvola,True,1.793,,2.04,-1.0,1.819,1.99,181.0,1.671,2.22,,,,,,,True,True,True,False
2025-10-25T01:53:12.918995Z,Basketball,3,408,Finland - Korisliiga,1617778579,prematch,2,2025-10-25T13:00:00,Kauhajoki Karhu Basket,Lahti Basketball,True,1.854,,1.97,-1.0,1.862,1.943,172.0,1.74,2.11,,,,,,,True,True,True,False
2025-10-25T01:53:12.919009Z,Basketball,3,437,Greek Basket League,1617778648,prematch,2,2025-10-25T13:00:00,PAOK BC,Peristeri BC,True,1.571,,2.42,-1.0,1.632,2.25,161.5,1.699,2.17,,,,,,,True,True,True,False
2025-10-25T01:53:12.919019Z,Basketball,3,208618,Lithuania - National Basketball League,1617778647,prematch,2,2025-10-25T15:30:00,Vytis-VDU Sakiai,Omega-Tauras,True,1.476,,2.38,-1.5,1.568,2.16,167.5,1.666,2.03,,,,,,,True,True,True,False
2025-10-25T01:53:12.919029Z,Basketball,3,208618,Lithuania - National Basketball League,1617778577,prematch,2,2025-10-25T13:00:00,BC Silute,Vilnius Rytas-2,True,1.925,,1.746,-1.0,2.04,1.645,164.0,1.641,2.07,,,,,,,True,True,True,False
2025-10-25T01:53:12.919038Z,Basketball,3,208618,Lithuania - National Basketball League,1617778578,prematch,2,2025-10-25T13:00:00,Ukmerges Stekas,Plunge Olimpas,True,1.757,,1.917,-1.0,1.781,1.869,165.5,1.574,2.18,,,,,,,True,True,True,False
2025-10-25T01:53:12.919048Z,Basketball,3,210233,Sweden - Basketligan Women,1617778475,prematch,2,2025-10-25T13:30:00,Visby,AIK Basket,True,,,,36.0,1.769,1.833,156.0,1.869,1.735,,,,,,,False,True,True,False
