timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-08T02:53:50.739696Z,KXEPLGAME-25NOV23LEEAVL-TIE,Leeds United vs Aston Villa Winner?,active,binary,2025-12-07T09:00:00-05:00,0.28,,0.3,,0.7,,0.72,,0.02,0.02,0,0,0,0,33320.76,0.0
2025-11-08T02:53:50.845134Z,KXEPLGAME-25NOV23LEEAVL-LEE,Leeds United vs Aston Villa Winner?,active,binary,2025-12-07T09:00:00-05:00,0.35,,0.37,,0.63,,0.65,,0.02,0.02,0,0,0,0,33221.03,0.0
2025-11-08T02:53:50.971840Z,KXEPLGAME-25NOV23LEEAVL-AVL,Leeds United vs Aston Villa Winner?,active,binary,2025-12-07T09:00:00-05:00,0.34,,0.36,,0.64,,0.66,,0.02,0.02,0,0,0,0,36379.66,45.0
2025-11-08T02:53:51.081911Z,KXEPLGAME-25NOV23ARSTOT-TOT,Arsenal vs Tottenham Winner?,active,binary,2025-12-07T11:30:00-05:00,0.1,,0.12,,0.88,,0.9,,0.02,0.02,0,0,0,0,45158.01,1284.0
2025-11-08T02:53:51.178409Z,KXEPLGAME-25NOV23ARSTOT-TIE,Arsenal vs Tottenham Winner?,active,binary,2025-12-07T11:30:00-05:00,0.17,,0.19,,0.81,,0.83,,0.02,0.02,0,0,0,0,34349.32,5.0
2025-11-08T02:53:51.266740Z,KXEPLGAME-25NOV23ARSTOT-ARS,Arsenal vs Tottenham Winner?,active,binary,2025-12-07T11:30:00-05:00,0.7,,0.71,,0.29,,0.3,,0.01,0.01,0,0,0,0,36268.42,42.0
2025-11-08T02:53:51.359044Z,KXEPLGAME-25NOV22NEWMCI-TIE,Newcastle vs Manchester City Winner?,active,binary,2025-12-06T12:30:00-05:00,0.24,,0.26,,0.74,,0.76,,0.02,0.02,0,0,0,0,31286.67,2.0
2025-11-08T02:53:51.461412Z,KXEPLGAME-25NOV22NEWMCI-NEW,Newcastle vs Manchester City Winner?,active,binary,2025-12-06T12:30:00-05:00,0.29,,0.31,,0.69,,0.71,,0.02,0.02,0,0,0,0,32929.69,0.0
2025-11-08T02:53:51.556492Z,KXEPLGAME-25NOV22NEWMCI-MCI,Newcastle vs Manchester City Winner?,active,binary,2025-12-06T12:30:00-05:00,0.44,,0.46,,0.54,,0.56,,0.02,0.02,0,0,0,0,62222.52,543.0
2025-11-08T02:53:51.653688Z,KXEPLGAME-25NOV22WOLCRY-WOL,Wolverhampton vs Crystal Palace Winner?,active,binary,2025-12-06T10:00:00-05:00,0.26,,0.28,,0.72,,0.74,,0.02,0.02,0,0,0,0,31560.7,0.0
2025-11-08T02:53:51.745418Z,KXEPLGAME-25NOV22WOLCRY-TIE,Wolverhampton vs Crystal Palace Winner?,active,binary,2025-12-06T10:00:00-05:00,0.25,,0.27,,0.73,,0.75,,0.02,0.02,0,0,0,0,35916.91,0.0
2025-11-08T02:53:51.833020Z,KXEPLGAME-25NOV22WOLCRY-CRY,Wolverhampton vs Crystal Palace Winner?,active,binary,2025-12-06T10:00:00-05:00,0.46,,0.48,,0.52,,0.54,,0.02,0.02,0,0,0,0,61682.9,391.0
2025-11-08T02:53:51.932766Z,KXEPLGAME-25NOV22FULSUN-TIE,Fulham vs Sunderland Winner?,active,binary,2025-12-06T10:00:00-05:00,0.27,,0.29,,0.71,,0.73,,0.02,0.02,0,0,0,0,35595.42,0.0
2025-11-08T02:53:52.030056Z,KXEPLGAME-25NOV22FULSUN-SUN,Fulham vs Sunderland Winner?,active,binary,2025-12-06T10:00:00-05:00,0.2,,0.22,,0.78,,0.8,,0.02,0.02,0,0,0,0,60844.23,1444.0
2025-11-08T02:53:52.129926Z,KXEPLGAME-25NOV22FULSUN-FUL,Fulham vs Sunderland Winner?,active,binary,2025-12-06T10:00:00-05:00,0.49,,0.51,,0.49,,0.51,,0.02,0.02,0,0,0,0,34919.09,24.0
2025-11-08T02:53:52.229268Z,KXEPLGAME-25NOV22LFCNFO-TIE,Liverpool vs Nottingham Winner?,active,binary,2025-12-06T10:00:00-05:00,0.17,,0.19,,0.81,,0.83,,0.02,0.02,0,0,0,0,63351.89,0.0
2025-11-08T02:53:52.322399Z,KXEPLGAME-25NOV22LFCNFO-NFO,Liverpool vs Nottingham Winner?,active,binary,2025-12-06T10:00:00-05:00,0.13,,0.15,,0.85,,0.87,,0.02,0.02,0,0,0,0,42688.02,10.0
2025-11-08T02:53:52.418291Z,KXEPLGAME-25NOV22LFCNFO-LFC,Liverpool vs Nottingham Winner?,active,binary,2025-12-06T10:00:00-05:00,0.67,,0.69,,0.31,,0.33,,0.02,0.02,0,0,0,0,62147.19,63.0
2025-11-08T02:53:52.524626Z,KXEPLGAME-25NOV22BOUWHU-WHU,Bournemouth vs West Ham Winner?,active,binary,2025-12-06T10:00:00-05:00,0.17,,0.19,,0.81,,0.83,,0.02,0.02,0,0,0,0,58713.15,210.0
2025-11-08T02:53:52.638706Z,KXEPLGAME-25NOV22BOUWHU-TIE,Bournemouth vs West Ham Winner?,active,binary,2025-12-06T10:00:00-05:00,0.21,,0.23,,0.77,,0.79,,0.02,0.02,0,0,0,0,35996.7,0.0
2025-11-08T02:53:52.739761Z,KXEPLGAME-25NOV22BOUWHU-BOU,Bournemouth vs West Ham Winner?,active,binary,2025-12-06T10:00:00-05:00,0.59,,0.6,,0.4,,0.41,,0.01,0.01,0,0,0,0,62514.74,6.0
2025-11-08T02:53:52.823414Z,KXEPLGAME-25NOV22BRIBRE-TIE,Brighton vs Brentford Winner?,active,binary,2025-12-06T10:00:00-05:00,0.26,,0.28,,0.72,,0.74,,0.02,0.02,0,0,0,0,32608.32,0.0
2025-11-08T02:53:52.915207Z,KXEPLGAME-25NOV22BRIBRE-BRI,Brighton vs Brentford Winner?,active,binary,2025-12-06T10:00:00-05:00,0.48,,0.5,,0.5,,0.52,,0.02,0.02,0,0,0,0,34943.12,6.0
2025-11-08T02:53:53.075405Z,KXEPLGAME-25NOV22BRIBRE-BRE,Brighton vs Brentford Winner?,active,binary,2025-12-06T10:00:00-05:00,0.23,,0.25,,0.75,,0.77,,0.02,0.02,0,0,0,0,36067.62,20.0
2025-11-08T02:53:53.168702Z,KXEPLGAME-25NOV22BURCFC-TIE,Burnley vs Chelsea Winner?,active,binary,2025-12-06T07:30:00-05:00,0.2,,0.22,,0.78,,0.8,,0.02,0.02,0,0,0,0,34645.73,0.0
2025-11-08T02:53:53.260805Z,KXEPLGAME-25NOV22BURCFC-CFC,Burnley vs Chelsea Winner?,active,binary,2025-12-06T07:30:00-05:00,0.62,,0.64,,0.36,,0.38,,0.02,0.02,0,0,0,0,62128.55,430.0
2025-11-08T02:53:53.362748Z,KXEPLGAME-25NOV22BURCFC-BUR,Burnley vs Chelsea Winner?,active,binary,2025-12-06T07:30:00-05:00,0.15,,0.17,,0.83,,0.85,,0.02,0.02,0,0,0,0,31357.28,20.0
2025-11-08T02:53:53.468818Z,KXEPLGAME-25NOV09CRYBRI-TIE,Crystal Palace vs Brighton Winner?,active,binary,2025-11-23T09:00:00-05:00,0.27,,0.28,,0.72,,0.73,,0.01,0.01,0,0,0,0,496002.84,127.0
2025-11-08T02:53:53.570434Z,KXEPLGAME-25NOV09CRYBRI-CRY,Crystal Palace vs Brighton Winner?,active,binary,2025-11-23T09:00:00-05:00,0.43,,0.45,,0.55,,0.57,,0.02,0.02,0,0,0,0,405826.56,2047.0
2025-11-08T02:53:53.664846Z,KXEPLGAME-25NOV09CRYBRI-BRI,Crystal Palace vs Brighton Winner?,active,binary,2025-11-23T09:00:00-05:00,0.28,,0.3,,0.7,,0.72,,0.02,0.02,0,0,0,0,368111.55,37.0
2025-11-08T02:53:53.777828Z,KXEPLGAME-25NOV09MCILFC-TIE,Manchester City vs Liverpool Winner?,active,binary,2025-11-23T11:30:00-05:00,0.23,,0.24,,0.76,,0.77,,0.01,0.01,0,0,0,0,522552.02,1316.0
2025-11-08T02:53:53.874652Z,KXEPLGAME-25NOV09MCILFC-MCI,Manchester City vs Liverpool Winner?,active,binary,2025-11-23T11:30:00-05:00,0.5,,0.52,,0.48,,0.5,,0.02,0.02,0,0,0,0,428161.65,4137.0
2025-11-08T02:53:53.974416Z,KXEPLGAME-25NOV09MCILFC-LFC,Manchester City vs Liverpool Winner?,active,binary,2025-11-23T11:30:00-05:00,0.25,,0.26,,0.74,,0.75,,0.01,0.01,0,0,0,0,373968.18,11413.0
2025-11-08T02:53:54.058732Z,KXEPLGAME-25NOV09NFOLEE-TIE,Nottingham vs Leeds United Winner?,active,binary,2025-11-23T09:00:00-05:00,0.27,,0.29,,0.71,,0.73,,0.02,0.02,0,0,0,0,490650.71,0.0
2025-11-08T02:53:54.158731Z,KXEPLGAME-25NOV09NFOLEE-NFO,Nottingham vs Leeds United Winner?,active,binary,2025-11-23T09:00:00-05:00,0.4,,0.42,,0.58,,0.6,,0.02,0.02,0,0,0,0,410540.71,2506.0
2025-11-08T02:53:54.251628Z,KXEPLGAME-25NOV09NFOLEE-LEE,Nottingham vs Leeds United Winner?,active,binary,2025-11-23T09:00:00-05:00,0.28,,0.29,,0.71,,0.72,,0.01,0.01,0,0,0,0,360926.85,2206.0
2025-11-08T02:53:54.343295Z,KXEPLGAME-25NOV09BRENEW-TIE,Brentford vs Newcastle Winner?,active,binary,2025-11-23T09:00:00-05:00,0.27,,0.29,,0.71,,0.73,,0.02,0.02,0,0,0,0,503038.1,25.0
2025-11-08T02:53:54.455288Z,KXEPLGAME-25NOV09BRENEW-NEW,Brentford vs Newcastle Winner?,active,binary,2025-11-23T09:00:00-05:00,0.39,,0.41,,0.59,,0.61,,0.02,0.02,0,0,0,0,381847.99,6177.0
2025-11-08T02:53:54.570514Z,KXEPLGAME-25NOV09BRENEW-BRE,Brentford vs Newcastle Winner?,active,binary,2025-11-23T09:00:00-05:00,0.32,,0.34,,0.66,,0.68,,0.02,0.02,0,0,0,0,382666.48,491.0
2025-11-08T02:53:54.674708Z,KXEPLGAME-25NOV09AVLBOU-TIE,Aston Villa vs Bournemouth Winner?,active,binary,2025-11-23T09:00:00-05:00,0.27,,0.29,,0.71,,0.73,,0.02,0.02,0,0,0,0,459838.16,214.0
2025-11-08T02:53:54.764558Z,KXEPLGAME-25NOV09AVLBOU-BOU,Aston Villa vs Bournemouth Winner?,active,binary,2025-11-23T09:00:00-05:00,0.29,,0.3,,0.7,,0.71,,0.01,0.01,0,0,0,0,379440.2,3081.0
2025-11-08T02:53:54.850162Z,KXEPLGAME-25NOV09AVLBOU-AVL,Aston Villa vs Bournemouth Winner?,active,binary,2025-11-23T09:00:00-05:00,0.41,,0.43,,0.57,,0.59,,0.02,0.02,0,0,0,0,375546.19,338.0
2025-11-08T02:53:54.940540Z,KXEPLGAME-25NOV08WHUBUR-WHU,West Ham vs Burnley Winner?,active,binary,2025-11-22T10:00:00-05:00,0.5,,0.52,,0.48,,0.5,,0.02,0.02,0,0,0,0,435424.35,29682.0
2025-11-08T02:53:55.406767Z,KXEPLGAME-25NOV08WHUBUR-TIE,West Ham vs Burnley Winner?,active,binary,2025-11-22T10:00:00-05:00,0.26,,0.27,,0.73,,0.74,,0.01,0.01,0,0,0,0,546970.18,769.0
2025-11-08T02:53:55.510579Z,KXEPLGAME-25NOV08WHUBUR-BUR,West Ham vs Burnley Winner?,active,binary,2025-11-22T10:00:00-05:00,0.22,,0.24,,0.76,,0.78,,0.02,0.02,0,0,0,0,403228.89,4149.0
2025-11-08T02:53:55.619825Z,KXEPLGAME-25NOV08EVEFUL-TIE,Everton vs Fulham Winner?,active,binary,2025-11-22T10:00:00-05:00,0.28,,0.29,,0.71,,0.72,,0.01,0.01,0,0,0,0,547194.21,230.0
2025-11-08T02:53:55.726963Z,KXEPLGAME-25NOV08EVEFUL-FUL,Everton vs Fulham Winner?,active,binary,2025-11-22T10:00:00-05:00,0.28,,0.29,,0.71,,0.72,,0.01,0.01,0,0,0,0,396725.51,1724.0
2025-11-08T02:53:55.819750Z,KXEPLGAME-25NOV08EVEFUL-EVE,Everton vs Fulham Winner?,active,binary,2025-11-22T10:00:00-05:00,0.43,,0.45,,0.55,,0.57,,0.02,0.02,0,0,0,0,480432.25,6268.0
2025-11-08T02:53:55.913075Z,KXEPLGAME-25NOV08CFCWOL-WOL,Chelsea vs Wolverhampton Winner?,active,binary,2025-11-22T15:00:00-05:00,0.09,,0.11,,0.89,,0.91,,0.02,0.02,0,0,0,0,432042.31,2157.0
2025-11-08T02:53:56.006867Z,KXEPLGAME-25NOV08CFCWOL-TIE,Chelsea vs Wolverhampton Winner?,active,binary,2025-11-22T15:00:00-05:00,0.17,,0.18,,0.82,,0.83,,0.01,0.01,0,0,0,0,577231.18,452.0
2025-11-08T02:53:56.105312Z,KXEPLGAME-25NOV08CFCWOL-CFC,Chelsea vs Wolverhampton Winner?,active,binary,2025-11-22T15:00:00-05:00,0.71,,0.73,,0.27,,0.29,,0.02,0.02,0,0,0,0,631062.41,28597.0
2025-11-08T02:53:56.199378Z,KXEPLGAME-25NOV08TOTMUN-TOT,Tottenham vs Manchester United Winner?,active,binary,2025-11-22T07:30:00-05:00,0.34,,0.36,,0.64,,0.66,,0.02,0.02,0,0,0,0,418756.64,17031.0
2025-11-08T02:53:56.296649Z,KXEPLGAME-25NOV08TOTMUN-TIE,Tottenham vs Manchester United Winner?,active,binary,2025-11-22T07:30:00-05:00,0.27,,0.28,,0.72,,0.73,,0.01,0.01,0,0,0,0,545802.77,4150.0
2025-11-08T02:53:56.393230Z,KXEPLGAME-25NOV08TOTMUN-MUN,Tottenham vs Manchester United Winner?,active,binary,2025-11-22T07:30:00-05:00,0.37,,0.39,,0.61,,0.63,,0.02,0.02,0,0,0,0,468440.15,25298.0
2025-11-08T02:53:56.499739Z,KXEPLGAME-25NOV08SUNARS-TIE,Sunderland vs Arsenal Winner?,active,binary,2025-11-22T12:30:00-05:00,0.17,,0.18,,0.82,,0.83,,0.01,0.01,0,0,0,0,629305.9,2402.0
2025-11-08T02:53:56.595279Z,KXEPLGAME-25NOV08SUNARS-SUN,Sunderland vs Arsenal Winner?,active,binary,2025-11-22T12:30:00-05:00,0.1,,0.11,,0.89,,0.9,,0.01,0.01,0,0,0,0,439378.18,13066.0
2025-11-08T02:53:56.743962Z,KXEPLGAME-25NOV08SUNARS-ARS,Sunderland vs Arsenal Winner?,active,binary,2025-11-22T12:30:00-05:00,0.69,,0.72,,0.28,,0.31,,0.03,0.03,0,0,0,0,508953.98,40329.0
