timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-11-07T23:17:47.432497Z,KXNBAGAME-25NOV09MINSAC-SAC,Minnesota vs Sacramento Winner?,active,binary,0.25,0.02,0.85,0.02,0.15,0.02,0.75,0.02,0.6,0.6,25,8,114875.97,0.0
2025-11-07T23:17:47.494396Z,KXNBAGAME-25NOV09MINSAC-MIN,Minnesota vs Sacramento Winner?,active,binary,0.25,0.02,0.72,0.02,0.28,0.02,0.75,0.02,0.47,0.47,25,8,113671.5,0.0
2025-11-07T23:17:47.556319Z,KXNBAGAME-25NOV09INDGSW-IND,Indiana vs Golden State Winner?,active,binary,0.25,0.02,0.86,0.02,0.14,0.02,0.75,0.02,0.61,0.61,25,8,115970.62,0.0
2025-11-07T23:17:47.618247Z,KXNBAGAME-25NOV09INDGSW-GSW,Indiana vs Golden State Winner?,active,binary,0.35,0.02,0.8,0.02,0.2,0.02,0.65,0.02,0.45,0.45,27,10,114534.63,0.0
2025-11-07T23:17:47.676117Z,KXNBAGAME-25NOV09DETPHI-PHI,Detroit vs Philadelphia Winner?,active,binary,0.31,0.02,0.86,0.02,0.14,0.02,0.69,0.02,0.55,0.55,27,7,114271.78,0.0
2025-11-07T23:17:47.763914Z,KXNBAGAME-25NOV09DETPHI-DET,Detroit vs Philadelphia Winner?,active,binary,0.28,0.02,0.66,0.02,0.34,0.02,0.72,0.02,0.38,0.38,27,10,114712.66,0.0
2025-11-07T23:17:47.878515Z,KXNBAGAME-25NOV09BKNNYK-NYK,Brooklyn vs New York K Winner?,active,binary,0.78,0.02,0.87,0.02,0.13,0.02,0.22,0.02,0.09,0.09,35,9,117731.14,0.0
2025-11-07T23:17:47.974852Z,KXNBAGAME-25NOV09BKNNYK-BKN,Brooklyn vs New York K Winner?,active,binary,0.15,0.02,0.2,0.02,0.8,0.02,0.85,0.02,0.05,0.05,15,16,119502.42,42.0
2025-11-07T23:17:48.066967Z,KXNBAGAME-25NOV09OKCMEM-OKC,Oklahoma City vs Memphis Winner?,active,binary,0.73,0.02,0.8,0.02,0.2,0.02,0.27,0.02,0.07,0.07,30,11,118813.03,8.0
2025-11-07T23:17:48.138503Z,KXNBAGAME-25NOV09OKCMEM-MEM,Oklahoma City vs Memphis Winner?,active,binary,0.24,0.02,0.27,0.02,0.73,0.02,0.76,0.02,0.03,0.03,24,11,117687.8,8.0
2025-11-07T23:17:48.244708Z,KXNBAGAME-25NOV09BOSORL-ORL,Boston vs Orlando Winner?,active,binary,0.55,0.02,0.62,0.02,0.38,0.02,0.45,0.02,0.07,0.07,29,9,115217.02,0.0
2025-11-07T23:17:48.355520Z,KXNBAGAME-25NOV09BOSORL-BOS,Boston vs Orlando Winner?,active,binary,0.38,0.02,0.43,0.02,0.57,0.02,0.62,0.02,0.05,0.05,27,13,115546.73,20.0
2025-11-07T23:17:48.495926Z,KXNBAGAME-25NOV09HOUMIL-MIL,Houston vs Milwaukee Winner?,active,binary,0.31,0.02,0.36,0.02,0.64,0.02,0.69,0.02,0.05,0.05,28,13,112869.84,117.0
2025-11-07T23:17:48.717303Z,KXNBAGAME-25NOV09HOUMIL-HOU,Houston vs Milwaukee Winner?,active,binary,0.64,0.02,0.68,0.02,0.32,0.02,0.36,0.02,0.04,0.04,31,14,112187.58,90.0
2025-11-07T23:17:48.857027Z,KXNBAGAME-25NOV08PHXLAC-PHX,Phoenix vs Los Angeles C Winner?,active,binary,0.44,0.02,0.47,0.02,0.53,0.02,0.56,0.02,0.03,0.03,34,21,340392.97,11658.0
2025-11-07T23:17:49.045827Z,KXNBAGAME-25NOV08PHXLAC-LAC,Phoenix vs Los Angeles C Winner?,active,binary,0.57,0.02,0.68,0.02,0.32,0.02,0.43,0.02,0.11,0.11,38,24,342538.73,8154.0
2025-11-07T23:17:49.279938Z,KXNBAGAME-25NOV08INDDEN-IND,Indiana vs Denver Winner?,active,binary,0.18,0.02,0.19,0.02,0.81,0.02,0.82,0.02,0.01,0.01,18,22,446231.31,4270.0
2025-11-07T23:17:49.358057Z,KXNBAGAME-25NOV08INDDEN-DEN,Indiana vs Denver Winner?,active,binary,0.82,0.02,0.84,0.02,0.16,0.02,0.18,0.02,0.02,0.02,42,10,449134.9,6299.0
2025-11-07T23:17:49.431506Z,KXNBAGAME-25NOV08NOPSAS-SAS,New Orleans vs San Antonio Winner?,active,binary,0.8,0.02,0.83,0.02,0.17,0.02,0.2,0.02,0.03,0.03,43,11,338154.31,2220.0
2025-11-07T23:17:49.488424Z,KXNBAGAME-25NOV08NOPSAS-NOP,New Orleans vs San Antonio Winner?,active,binary,0.17,0.02,0.21,0.02,0.79,0.02,0.83,0.02,0.04,0.04,17,24,339745.33,1531.0
2025-11-07T23:17:49.540920Z,KXNBAGAME-25NOV08PORMIA-POR,Portland vs Miami Winner?,active,binary,0.49,0.02,0.51,0.02,0.49,0.02,0.51,0.02,0.02,0.02,37,21,439607.0,1731.0
2025-11-07T23:17:49.597765Z,KXNBAGAME-25NOV08PORMIA-MIA,Portland vs Miami Winner?,active,binary,0.49,0.02,0.51,0.02,0.49,0.02,0.51,0.02,0.02,0.02,39,23,438300.77,2813.0
