timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-11-07T23:17:52.939618Z,KXNCAAFGAME-25NOV15CSUUNM-UNM,Colorado St. at New Mexico Winner?,active,binary,0.6,0.02,0.81,0.02,0.19,0.02,0.4,0.02,0.21,0.21,30,13,923711.18,0.0
2025-11-07T23:17:52.999512Z,KXNCAAFGAME-25NOV15CSUUNM-CSU,Colorado St. at New Mexico Winner?,active,binary,0.25,0.02,0.36,0.02,0.64,0.02,0.75,0.02,0.11,0.11,25,27,944689.76,0.0
2025-11-07T23:17:53.064771Z,KXNCAAFGAME-25NOV15UTEPMOSU-UTEP,UTEP at Missouri St. Winner?,active,binary,0.25,0.02,0.54,0.02,0.46,0.02,0.75,0.02,0.29,0.29,25,19,896727.33,0.0
2025-11-07T23:17:53.127583Z,KXNCAAFGAME-25NOV15UTEPMOSU-MOSU,UTEP at Missouri St. Winner?,active,binary,0.46,0.02,0.69,0.02,0.31,0.02,0.54,0.02,0.23,0.23,28,16,896254.32,0.0
2025-11-07T23:17:53.190150Z,KXNCAAFGAME-25NOV15KENNJVST-KENN,Kennesaw St. at Jacksonville St. Winner?,active,binary,0.35,0.02,0.64,0.02,0.36,0.02,0.65,0.02,0.29,0.29,28,14,900815.9,0.0
2025-11-07T23:17:53.253058Z,KXNCAAFGAME-25NOV15KENNJVST-JVST,Kennesaw St. at Jacksonville St. Winner?,active,binary,0.27,0.02,0.57,0.02,0.43,0.02,0.73,0.02,0.3,0.3,26,17,902433.43,0.0
2025-11-07T23:17:53.310836Z,KXNCAAFGAME-25NOV15NDPITT-PITT,Notre Dame at Pittsburgh Winner?,active,binary,0.2,0.02,0.25,0.02,0.75,0.02,0.8,0.02,0.05,0.05,20,30,1156162.3,554.0
2025-11-07T23:17:53.376089Z,KXNCAAFGAME-25NOV15NDPITT-ND,Notre Dame at Pittsburgh Winner?,active,binary,0.72,0.02,0.86,0.02,0.14,0.02,0.28,0.02,0.14,0.14,35,12,1148237.02,125.0
2025-11-07T23:17:53.437342Z,KXNCAAFGAME-25NOV15APPJMU-JMU,Appalachian St. at James Madison Winner?,active,binary,0.6,0.02,0.86,0.02,0.14,0.02,0.4,0.02,0.26,0.26,31,10,971336.91,0.0
2025-11-07T23:17:53.504694Z,KXNCAAFGAME-25NOV15APPJMU-APP,Appalachian St. at James Madison Winner?,active,binary,0.18,0.02,0.37,0.02,0.63,0.02,0.82,0.02,0.19,0.19,18,26,996900.66,94.0
2025-11-07T23:17:53.568202Z,KXNCAAFGAME-25NOV15TXSTUSM-USM,Texas St. at Southern Miss Winner?,active,binary,0.32,0.02,0.69,0.02,0.31,0.02,0.68,0.02,0.37,0.37,27,15,830209.99,0.0
2025-11-07T23:17:53.637277Z,KXNCAAFGAME-25NOV15TXSTUSM-TXST,Texas St. at Southern Miss Winner?,active,binary,0.26,0.02,0.5,0.02,0.5,0.02,0.74,0.02,0.24,0.24,26,16,831607.65,0.0
2025-11-07T23:17:53.695135Z,KXNCAAFGAME-25NOV15WVUASU-WVU,West Virginia at Arizona St. Winner?,active,binary,0.26,0.02,0.44,0.02,0.56,0.02,0.74,0.02,0.18,0.18,26,24,1002306.84,0.0
2025-11-07T23:17:53.752906Z,KXNCAAFGAME-25NOV15WVUASU-ASU,West Virginia at Arizona St. Winner?,active,binary,0.55,0.02,0.73,0.02,0.27,0.02,0.45,0.02,0.18,0.18,38,18,1005390.51,3534.0
2025-11-07T23:17:53.823960Z,KXNCAAFGAME-25NOV15EMUBALL-EMU,Eastern Michigan at Ball St. Winner?,active,binary,0.27,0.02,0.6,0.02,0.4,0.02,0.73,0.02,0.33,0.33,26,16,810967.66,4.0
2025-11-07T23:17:53.891606Z,KXNCAAFGAME-25NOV15EMUBALL-BALL,Eastern Michigan at Ball St. Winner?,active,binary,0.26,0.02,0.59,0.02,0.41,0.02,0.74,0.02,0.33,0.33,26,15,811268.77,0.0
2025-11-07T23:17:53.969788Z,KXNCAAFGAME-25NOV15UNCWAKE-WAKE,North Carolina at Wake Forest Winner?,active,binary,0.66,0.02,0.72,0.02,0.28,0.02,0.34,0.02,0.06,0.06,38,21,1012969.99,3021.0
2025-11-07T23:17:54.032931Z,KXNCAAFGAME-25NOV15UNCWAKE-UNC,North Carolina at Wake Forest Winner?,active,binary,0.28,0.02,0.59,0.02,0.41,0.02,0.72,0.02,0.31,0.31,26,25,1013175.05,0.0
2025-11-07T23:17:54.092353Z,KXNCAAFGAME-25NOV15GTBC-GT,Georgia Tech at Boston College Winner?,active,binary,0.58,0.02,0.88,0.02,0.12,0.02,0.42,0.02,0.3,0.3,32,10,1005894.93,163.0
2025-11-07T23:17:54.151567Z,KXNCAAFGAME-25NOV15GTBC-BC,Georgia Tech at Boston College Winner?,active,binary,0.18,0.02,0.21,0.02,0.79,0.02,0.82,0.02,0.03,0.03,18,29,1019469.32,161.0
2025-11-07T23:17:54.208441Z,KXNCAAFGAME-25NOV15MEMECU-MEM,Memphis at East Carolina Winner?,active,binary,0.35,0.02,0.59,0.02,0.41,0.02,0.65,0.02,0.24,0.24,28,22,958237.41,236.0
2025-11-07T23:17:54.267925Z,KXNCAAFGAME-25NOV15MEMECU-ECU,Memphis at East Carolina Winner?,active,binary,0.35,0.02,0.62,0.02,0.38,0.02,0.65,0.02,0.27,0.27,28,17,933364.95,0.0
