timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-15T00:47:20.653023Z,KXNCAAMBTOTAL-25NOV14ALBYURI-166,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.01,,0.71,,0.29,,0.99,,0.7,0.7,0,0,0,0,3867.2,0.0
2025-11-15T00:47:21.783773Z,KXNCAAMBTOTAL-25NOV14ALBYURI-163,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.02,,0.89,,0.11,,0.98,,0.87,0.87,0,0,0,0,3953.19,0.0
2025-11-15T00:47:21.896145Z,KXNCAAMBTOTAL-25NOV14ALBYURI-160,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.02,,0.95,,0.05,,0.98,,0.93,0.93,0,0,0,0,4470.08,0.0
2025-11-15T00:47:21.981349Z,KXNCAAMBTOTAL-25NOV14ALBYURI-157,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.02,,0.96,,0.04,,0.98,,0.94,0.94,0,0,0,0,540.54,0.0
2025-11-15T00:47:23.064868Z,KXNCAAMBTOTAL-25NOV14ALBYURI-154,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.02,,0.95,,0.05,,0.98,,0.93,0.93,0,0,0,0,547.07,0.0
2025-11-15T00:47:23.165594Z,KXNCAAMBTOTAL-25NOV14ALBYURI-151,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.04,,0.96,,0.04,,0.96,,0.92,0.92,0,0,0,0,690.16,913.0
2025-11-15T00:47:23.267084Z,KXNCAAMBTOTAL-25NOV14ALBYURI-148,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.32,,0.39,,0.61,,0.68,,0.07,0.07,0,0,0,0,863.14,5.0
2025-11-15T00:47:23.394277Z,KXNCAAMBTOTAL-25NOV14ALBYURI-145,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.4,,0.46,,0.54,,0.6,,0.06,0.06,0,0,0,0,809.72,60.0
2025-11-15T00:47:23.601218Z,KXNCAAMBTOTAL-25NOV14ALBYURI-142,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.49,,0.54,,0.46,,0.51,,0.05,0.05,0,0,0,0,816.62,7.0
2025-11-15T00:47:24.017816Z,KXNCAAMBTOTAL-25NOV14ALBYURI-139,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.58,,0.64,,0.36,,0.42,,0.06,0.06,0,0,0,0,3731.47,0.0
2025-11-15T00:47:24.128271Z,KXNCAAMBTOTAL-25NOV14ALBYURI-136,University at Albany at Rhode Island: Total Points,active,binary,2025-11-28T19:00:00-05:00,0.04,,0.99,,0.01,,0.96,,0.95,0.95,0,0,0,0,4498.75,0.0
2025-11-15T00:47:24.234901Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-175,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:24.341716Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-172,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.2,,0.26,,0.74,,0.8,,0.06,0.06,0,0,0,0,4225.56,0.0
2025-11-15T00:47:24.613591Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-169,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.26,,0.31,,0.69,,0.74,,0.05,0.05,0,0,0,0,5744.38,0.0
2025-11-15T00:47:24.766058Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-166,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.32,,0.36,,0.64,,0.68,,0.04,0.04,0,0,0,0,7292.91,0.0
2025-11-15T00:47:24.870201Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-163,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.39,,0.42,,0.58,,0.61,,0.03,0.03,0,0,0,0,7197.42,0.0
2025-11-15T00:47:24.968165Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-160,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.47,,0.49,,0.51,,0.53,,0.02,0.02,0,0,0,0,8051.23,0.0
2025-11-15T00:47:25.059885Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-157,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.54,,0.57,,0.43,,0.46,,0.03,0.03,0,0,0,0,7263.91,0.0
2025-11-15T00:47:25.181511Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-154,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.61,,0.65,,0.35,,0.39,,0.04,0.04,0,0,0,0,7358.69,0.0
2025-11-15T00:47:25.290961Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-151,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.67,,0.72,,0.28,,0.33,,0.05,0.05,0,0,0,0,5831.02,0.0
2025-11-15T00:47:25.385621Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-148,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.73,,0.79,,0.21,,0.27,,0.06,0.06,0,0,0,0,5578.25,0.0
2025-11-15T00:47:25.466126Z,KXNCAAMBTOTAL-25NOV14NCCUUNC-145,North Carolina Central at North Carolina: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.66,,0.99,,0.01,,0.34,,0.33,0.33,0,0,0,0,4016.0,0.0
2025-11-15T00:47:25.562969Z,KXNCAAMBTOTAL-25NOV14COLGILL-178,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:25.660638Z,KXNCAAMBTOTAL-25NOV14COLGILL-175,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.22,,0.28,,0.72,,0.78,,0.06,0.06,0,0,0,0,5620.57,0.0
2025-11-15T00:47:25.741473Z,KXNCAAMBTOTAL-25NOV14COLGILL-172,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.29,,0.33,,0.67,,0.71,,0.04,0.04,0,0,0,0,3533.85,144.0
2025-11-15T00:47:25.827537Z,KXNCAAMBTOTAL-25NOV14COLGILL-169,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.36,,0.4,,0.6,,0.64,,0.04,0.04,0,0,0,0,7135.39,0.0
2025-11-15T00:47:26.031421Z,KXNCAAMBTOTAL-25NOV14COLGILL-166,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.43,,0.46,,0.54,,0.57,,0.03,0.03,0,0,0,0,6925.87,85.0
2025-11-15T00:47:26.150046Z,KXNCAAMBTOTAL-25NOV14COLGILL-163,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.51,,0.53,,0.47,,0.49,,0.02,0.02,0,0,0,0,6221.12,425.0
2025-11-15T00:47:26.236859Z,KXNCAAMBTOTAL-25NOV14COLGILL-160,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.57,,0.6,,0.4,,0.43,,0.03,0.03,0,0,0,0,6958.65,0.0
2025-11-15T00:47:26.329963Z,KXNCAAMBTOTAL-25NOV14COLGILL-157,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.63,,0.67,,0.33,,0.37,,0.04,0.04,0,0,0,0,6897.2,0.0
2025-11-15T00:47:26.447287Z,KXNCAAMBTOTAL-25NOV14COLGILL-154,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.69,,0.74,,0.26,,0.31,,0.05,0.05,0,0,0,0,5380.83,0.0
2025-11-15T00:47:26.537838Z,KXNCAAMBTOTAL-25NOV14COLGILL-151,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:26.672855Z,KXNCAAMBTOTAL-25NOV14COLGILL-148,Colgate at Illinois: Total Points,active,binary,2025-11-28T21:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:26.778708Z,KXNCAAMBTOTAL-25NOV14UMESCREI-157,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:26.867936Z,KXNCAAMBTOTAL-25NOV14UMESCREI-154,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:26.980732Z,KXNCAAMBTOTAL-25NOV14UMESCREI-151,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:27.083526Z,KXNCAAMBTOTAL-25NOV14UMESCREI-148,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,396.0,0.0
2025-11-15T00:47:27.173279Z,KXNCAAMBTOTAL-25NOV14UMESCREI-145,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.23,,0.28,,0.72,,0.77,,0.05,0.05,0,0,0,0,5282.04,0.0
2025-11-15T00:47:27.279830Z,KXNCAAMBTOTAL-25NOV14UMESCREI-142,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.3,,0.34,,0.66,,0.7,,0.04,0.04,0,0,0,0,4937.02,930.0
2025-11-15T00:47:27.385783Z,KXNCAAMBTOTAL-25NOV14UMESCREI-139,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.38,,0.41,,0.59,,0.62,,0.03,0.03,0,0,0,0,4765.47,288.0
2025-11-15T00:47:27.486763Z,KXNCAAMBTOTAL-25NOV14UMESCREI-136,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.45,,0.48,,0.52,,0.55,,0.03,0.03,0,0,0,0,5818.04,195.0
2025-11-15T00:47:27.566439Z,KXNCAAMBTOTAL-25NOV14UMESCREI-133,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.53,,0.56,,0.44,,0.47,,0.03,0.03,0,0,0,0,6936.41,0.0
2025-11-15T00:47:27.672156Z,KXNCAAMBTOTAL-25NOV14UMESCREI-130,Maryland-Eastern Shore at Creighton: Total Points,active,binary,2025-11-28T20:00:00-05:00,0.61,,0.64,,0.36,,0.39,,0.03,0.03,0,0,0,0,6805.66,0.0
