timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-24T19:07:52.187094Z,KXNBAGAME-25NOV24MINSAC-SAC,Minnesota vs Sacramento Winner?,active,binary,2025-12-08T22:00:00-05:00,0.21,,0.22,,0.78,,0.79,,0.01,0.01,0,0,0,0,3094958.58,33307.0
2025-11-24T19:07:52.333522Z,KXNBAGAME-25NOV24MINSAC-MIN,Minnesota vs Sacramento Winner?,active,binary,2025-12-08T22:00:00-05:00,0.78,,0.79,,0.21,,0.22,,0.01,0.01,0,0,0,0,3524384.0,23651.0
2025-11-24T19:07:52.496440Z,KXNBAGAME-25NOV24UTAGSW-UTA,Utah vs Golden State Winner?,active,binary,2025-12-08T22:00:00-05:00,0.12,,0.13,,0.87,,0.88,,0.01,0.01,0,0,0,0,2465349.78,124081.0
2025-11-24T19:07:52.727213Z,KXNBAGAME-25NOV24UTAGSW-GSW,Utah vs Golden State Winner?,active,binary,2025-12-08T22:00:00-05:00,0.88,,0.89,,0.11,,0.12,,0.01,0.01,0,0,0,0,2935948.18,28555.0
2025-11-24T19:07:52.919254Z,KXNBAGAME-25NOV24HOUPHX-PHX,Houston vs Phoenix Winner?,active,binary,2025-12-08T21:30:00-05:00,0.33,,0.35,,0.65,,0.67,,0.02,0.02,0,0,0,0,2708370.46,279451.0
2025-11-24T19:07:53.040074Z,KXNBAGAME-25NOV24HOUPHX-HOU,Houston vs Phoenix Winner?,active,binary,2025-12-08T21:30:00-05:00,0.65,,0.67,,0.33,,0.35,,0.02,0.02,0,0,0,0,2824418.86,76662.0
2025-11-24T19:07:53.175468Z,KXNBAGAME-25NOV24DENMEM-MEM,Denver vs Memphis Winner?,active,binary,2025-12-08T20:00:00-05:00,0.24,,0.25,,0.75,,0.76,,0.01,0.01,0,0,0,0,2924491.99,9104.0
2025-11-24T19:07:53.316701Z,KXNBAGAME-25NOV24DENMEM-DEN,Denver vs Memphis Winner?,active,binary,2025-12-08T20:00:00-05:00,0.76,,0.77,,0.23,,0.24,,0.01,0.01,0,0,0,0,2988768.49,137651.0
2025-11-24T19:07:53.449788Z,KXNBAGAME-25NOV24PORMIL-POR,Portland vs Milwaukee Winner?,active,binary,2025-12-08T20:00:00-05:00,0.46,,0.47,,0.53,,0.54,,0.01,0.01,0,0,0,0,2727818.66,39686.0
2025-11-24T19:07:53.599065Z,KXNBAGAME-25NOV24PORMIL-MIL,Portland vs Milwaukee Winner?,active,binary,2025-12-08T20:00:00-05:00,0.53,,0.54,,0.46,,0.47,,0.01,0.01,0,0,0,0,2627261.46,116776.0
2025-11-24T19:07:53.738179Z,KXNBAGAME-25NOV24CHINOP-NOP,Chicago vs New Orleans Winner?,active,binary,2025-12-08T20:00:00-05:00,0.32,,0.33,,0.67,,0.68,,0.01,0.01,0,0,0,0,2816173.36,53798.0
2025-11-24T19:07:53.980498Z,KXNBAGAME-25NOV24CHINOP-CHI,Chicago vs New Orleans Winner?,active,binary,2025-12-08T20:00:00-05:00,0.67,,0.68,,0.32,,0.33,,0.01,0.01,0,0,0,0,3017890.61,220042.0
2025-11-24T19:07:54.153544Z,KXNBAGAME-25NOV24DALMIA-MIA,Dallas vs Miami Winner?,active,binary,2025-12-08T19:30:00-05:00,0.72,,0.73,,0.27,,0.28,,0.01,0.01,0,0,0,0,3114521.71,206656.0
2025-11-24T19:07:54.341814Z,KXNBAGAME-25NOV24DALMIA-DAL,Dallas vs Miami Winner?,active,binary,2025-12-08T19:30:00-05:00,0.27,,0.28,,0.72,,0.73,,0.01,0.01,0,0,0,0,2934230.34,218175.0
2025-11-24T19:07:54.486229Z,KXNBAGAME-25NOV24CLETOR-TOR,Cleveland vs Toronto Winner?,active,binary,2025-12-08T19:00:00-05:00,0.49,,0.5,,0.5,,0.51,,0.01,0.01,0,0,0,0,4362828.88,580427.0
2025-11-24T19:07:54.628148Z,KXNBAGAME-25NOV24CLETOR-CLE,Cleveland vs Toronto Winner?,active,binary,2025-12-08T19:00:00-05:00,0.5,,0.51,,0.49,,0.5,,0.01,0.01,0,0,0,0,4398441.32,270179.0
2025-11-24T19:07:54.770149Z,KXNBAGAME-25NOV24NYKBKN-NYK,New York K vs Brooklyn Winner?,active,binary,2025-12-08T19:30:00-05:00,0.85,,0.86,,0.14,,0.15,,0.01,0.01,0,0,0,0,3735891.35,86868.0
2025-11-24T19:07:54.911986Z,KXNBAGAME-25NOV24NYKBKN-BKN,New York K vs Brooklyn Winner?,active,binary,2025-12-08T19:30:00-05:00,0.13,,0.15,,0.85,,0.87,,0.02,0.02,0,0,0,0,3319325.31,411633.0
2025-11-24T19:07:55.064680Z,KXNBAGAME-25NOV24DETIND-IND,Detroit vs Indiana Winner?,active,binary,2025-12-08T19:00:00-05:00,0.2,,0.21,,0.79,,0.8,,0.01,0.01,0,0,0,0,3338949.61,114427.0
2025-11-24T19:07:55.209197Z,KXNBAGAME-25NOV24DETIND-DET,Detroit vs Indiana Winner?,active,binary,2025-12-08T19:00:00-05:00,0.8,,0.81,,0.19,,0.2,,0.01,0.01,0,0,0,0,4143657.12,589377.0
