timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-25T17:38:27.124573Z,KXNBATOTAL-25NOV25ORLPHI-242,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.21,,0.27,,0.73,,0.79,,0.06,0.06,0,0,0,0,15388.89,0.0
2025-11-25T17:38:27.243915Z,KXNBATOTAL-25NOV25ORLPHI-239,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.27,,0.31,,0.69,,0.73,,0.04,0.04,0,0,0,0,14474.26,3.0
2025-11-25T17:38:27.357528Z,KXNBATOTAL-25NOV25ORLPHI-236,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.33,,0.37,,0.63,,0.67,,0.04,0.04,0,0,0,0,12412.29,0.0
2025-11-25T17:38:27.462843Z,KXNBATOTAL-25NOV25ORLPHI-233,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.39,,0.42,,0.58,,0.61,,0.03,0.03,0,0,0,0,12686.86,392.0
2025-11-25T17:38:27.570254Z,KXNBATOTAL-25NOV25ORLPHI-230,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.45,,0.48,,0.52,,0.55,,0.03,0.03,0,0,0,0,29451.39,6346.0
2025-11-25T17:38:27.678672Z,KXNBATOTAL-25NOV25ORLPHI-227,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.53,,0.55,,0.45,,0.47,,0.02,0.02,0,0,0,0,49706.17,5627.0
2025-11-25T17:38:27.795698Z,KXNBATOTAL-25NOV25ORLPHI-224,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.59,,0.62,,0.38,,0.41,,0.03,0.03,0,0,0,0,15064.0,1255.0
2025-11-25T17:38:27.906211Z,KXNBATOTAL-25NOV25ORLPHI-221,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.63,,0.67,,0.33,,0.37,,0.04,0.04,0,0,0,0,13471.32,143.0
2025-11-25T17:38:28.012122Z,KXNBATOTAL-25NOV25ORLPHI-218,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.68,,0.73,,0.27,,0.32,,0.05,0.05,0,0,0,0,13886.57,217.0
2025-11-25T17:38:28.120854Z,KXNBATOTAL-25NOV25ORLPHI-215,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.73,,0.79,,0.21,,0.27,,0.06,0.06,0,0,0,0,14615.17,0.0
2025-11-25T17:38:28.236773Z,KXNBATOTAL-25NOV25ORLPHI-212,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.78,,0.85,,0.15,,0.22,,0.07,0.07,0,0,0,0,10593.67,0.0
2025-11-25T17:38:28.347949Z,KXNBATOTAL-25NOV25LACLAL-243,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.2,,0.25,,0.75,,0.8,,0.05,0.05,0,0,0,0,535440.05,245.0
2025-11-25T17:38:28.464230Z,KXNBATOTAL-25NOV25LACLAL-240,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.26,,0.31,,0.69,,0.74,,0.05,0.05,0,0,0,0,332514.33,23.0
2025-11-25T17:38:28.612541Z,KXNBATOTAL-25NOV25LACLAL-237,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.32,,0.36,,0.64,,0.68,,0.04,0.04,0,0,0,0,405743.26,0.0
2025-11-25T17:38:28.731035Z,KXNBATOTAL-25NOV25LACLAL-234,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.38,,0.41,,0.59,,0.62,,0.03,0.03,0,0,0,0,439742.09,19.0
2025-11-25T17:38:28.842009Z,KXNBATOTAL-25NOV25LACLAL-231,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.43,,0.46,,0.54,,0.57,,0.03,0.03,0,0,0,0,473441.32,208.0
2025-11-25T17:38:28.950790Z,KXNBATOTAL-25NOV25LACLAL-228,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.51,,0.52,,0.48,,0.49,,0.01,0.01,0,0,0,0,531773.65,9500.0
2025-11-25T17:38:29.057988Z,KXNBATOTAL-25NOV25LACLAL-225,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.57,,0.59,,0.41,,0.43,,0.02,0.02,0,0,0,0,478126.97,397.0
2025-11-25T17:38:29.172499Z,KXNBATOTAL-25NOV25LACLAL-222,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.62,,0.65,,0.35,,0.38,,0.03,0.03,0,0,0,0,429561.56,9.0
2025-11-25T17:38:29.299856Z,KXNBATOTAL-25NOV25LACLAL-219,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.68,,0.72,,0.28,,0.32,,0.04,0.04,0,0,0,0,336333.49,0.0
2025-11-25T17:38:29.413760Z,KXNBATOTAL-25NOV25LACLAL-216,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.73,,0.79,,0.21,,0.27,,0.06,0.06,0,0,0,0,368776.1,79.0
2025-11-25T17:38:29.537445Z,KXNBATOTAL-25NOV25LACLAL-213,Los Angeles C at Los Angeles L: Total Points,active,binary,2025-12-09T23:00:00-05:00,0.78,,0.85,,0.15,,0.22,,0.07,0.07,0,0,0,0,566276.16,0.0
2025-11-25T17:38:29.654666Z,KXNBATOTAL-25NOV25ATLWAS-251,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.19,,0.24,,0.76,,0.81,,0.05,0.05,0,0,0,0,533312.6,3.0
2025-11-25T17:38:29.755722Z,KXNBATOTAL-25NOV25ATLWAS-248,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.25,,0.3,,0.7,,0.75,,0.05,0.05,0,0,0,0,334354.24,15.0
2025-11-25T17:38:29.870446Z,KXNBATOTAL-25NOV25ATLWAS-245,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.31,,0.35,,0.65,,0.69,,0.04,0.04,0,0,0,0,406825.33,0.0
2025-11-25T17:38:29.985716Z,KXNBATOTAL-25NOV25ATLWAS-242,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.37,,0.4,,0.6,,0.63,,0.03,0.03,0,0,0,0,439932.75,2.0
2025-11-25T17:38:30.098998Z,KXNBATOTAL-25NOV25ATLWAS-239,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.43,,0.44,,0.56,,0.57,,0.01,0.01,0,0,0,0,472499.25,1405.0
2025-11-25T17:38:30.210776Z,KXNBATOTAL-25NOV25ATLWAS-236,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.49,,0.51,,0.49,,0.51,,0.02,0.02,0,0,0,0,535838.19,3792.0
2025-11-25T17:38:30.321204Z,KXNBATOTAL-25NOV25ATLWAS-233,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.56,,0.58,,0.42,,0.44,,0.02,0.02,0,0,0,0,471111.16,1863.0
2025-11-25T17:38:30.441969Z,KXNBATOTAL-25NOV25ATLWAS-230,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.62,,0.65,,0.35,,0.38,,0.03,0.03,0,0,0,0,431903.23,402.0
2025-11-25T17:38:30.559524Z,KXNBATOTAL-25NOV25ATLWAS-227,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.67,,0.71,,0.29,,0.33,,0.04,0.04,0,0,0,0,338053.88,14.0
2025-11-25T17:38:30.677572Z,KXNBATOTAL-25NOV25ATLWAS-224,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.71,,0.76,,0.24,,0.29,,0.05,0.05,0,0,0,0,371104.09,115.0
2025-11-25T17:38:30.789484Z,KXNBATOTAL-25NOV25ATLWAS-221,Atlanta at Washington: Total Points,active,binary,2025-12-09T19:00:00-05:00,0.77,,0.83,,0.17,,0.23,,0.06,0.06,0,0,0,0,558676.79,490.0
2025-11-25T17:41:28.455801Z,KXNBATOTAL-25NOV25ORLPHI-242,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.21,,0.27,,0.73,,0.79,,0.06,0.06,0,0,0,0,15306.41,0.0
2025-11-25T17:41:28.560187Z,KXNBATOTAL-25NOV25ORLPHI-239,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.27,,0.32,,0.68,,0.73,,0.05,0.05,0,0,0,0,14427.31,3.0
2025-11-25T17:41:28.660959Z,KXNBATOTAL-25NOV25ORLPHI-236,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.33,,0.37,,0.63,,0.67,,0.04,0.04,0,0,0,0,12537.12,0.0
2025-11-25T17:41:28.770518Z,KXNBATOTAL-25NOV25ORLPHI-233,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.39,,0.42,,0.58,,0.61,,0.03,0.03,0,0,0,0,17597.49,392.0
2025-11-25T17:41:28.873860Z,KXNBATOTAL-25NOV25ORLPHI-230,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.46,,0.49,,0.51,,0.54,,0.03,0.03,0,0,0,0,32682.76,6346.0
2025-11-25T17:41:28.987607Z,KXNBATOTAL-25NOV25ORLPHI-227,Orlando at Philadelphia: Total Points,active,binary,2025-12-09T20:00:00-05:00,0.53,,0.56,,0.44,,0.47,,0.03,0.03,0,0,0,0,65722.69,5627.0
