timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-27T21:48:09.190789Z,KXNCAAMBSPREAD-25NOV27CSUWICH-WICH8,Wichita St. wins by over 8.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.14,,0.35,,0.65,,0.86,,0.21,0.21,0,0,0,0,5236.64,0.0
2025-11-27T21:48:10.131236Z,KXNCAAMBSPREAD-25NOV27CSUWICH-WICH5,Wichita St. wins by over 5.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.2,,0.41,,0.59,,0.8,,0.21,0.21,0,0,0,0,5404.82,0.0
2025-11-27T21:48:08.751422Z,KXNCAAMBSPREAD-25NOV27CSUWICH-WICH2,Wichita St. wins by over 2.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.28,,0.49,,0.51,,0.72,,0.21,0.21,0,0,0,0,5419.96,0.0
2025-11-27T21:48:09.955416Z,KXNCAAMBSPREAD-25NOV27CSUWICH-WICH14,Wichita St. wins by over 14.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.03,,0.5,,0.5,,0.97,,0.47,0.47,0,0,0,0,3725.61,0.0
2025-11-27T21:48:08.867677Z,KXNCAAMBSPREAD-25NOV27CSUWICH-WICH11,Wichita St. wins by over 11.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.08,,0.29,,0.71,,0.92,,0.21,0.21,0,0,0,0,5269.57,0.0
2025-11-27T21:48:10.061896Z,KXNCAAMBSPREAD-25NOV27CSUWICH-CSU7,Colorado St. wins by over 7.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.2,,0.41,,0.59,,0.8,,0.21,0.21,0,0,0,0,5419.78,0.0
2025-11-27T21:48:10.056710Z,KXNCAAMBSPREAD-25NOV27CSUWICH-CSU4,Colorado St. wins by over 4.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.27,,0.48,,0.52,,0.73,,0.21,0.21,0,0,0,0,5375.6,0.0
2025-11-27T21:48:08.940175Z,KXNCAAMBSPREAD-25NOV27CSUWICH-CSU16,Colorado St. wins by over 16.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.03,,0.5,,0.5,,0.97,,0.47,0.47,0,0,0,0,3735.26,0.0
2025-11-27T21:48:09.032226Z,KXNCAAMBSPREAD-25NOV27CSUWICH-CSU13,Colorado St. wins by over 13.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.09,,0.3,,0.7,,0.91,,0.21,0.21,0,0,0,0,5280.57,0.0
2025-11-27T21:48:10.064523Z,KXNCAAMBSPREAD-25NOV27CSUWICH-CSU10,Colorado St. wins by over 10.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.13,,0.34,,0.66,,0.87,,0.21,0.21,0,0,0,0,5282.52,0.0
2025-11-27T21:48:10.063113Z,KXNCAAMBSPREAD-25NOV27CSUWICH-CSU1,Colorado St. wins by over 1.5 Points?,active,binary,2025-12-11T20:00:00-05:00,0.5,,0.53,,0.47,,0.5,,0.03,0.03,0,0,0,0,6055.99,199.0
2025-11-27T21:48:10.060320Z,KXNCAAMBSPREAD-25NOV27WKUUSF-WKU7,Western Kentucky wins by over 7.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.03,,0.5,,0.5,,0.97,,0.47,0.47,0,0,0,0,3682.75,0.0
2025-11-27T21:48:09.156278Z,KXNCAAMBSPREAD-25NOV27WKUUSF-WKU4,Western Kentucky wins by over 4.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.03,,0.6,,0.4,,0.97,,0.57,0.57,0,0,0,0,3145.72,0.0
2025-11-27T21:48:09.231828Z,KXNCAAMBSPREAD-25NOV27WKUUSF-WKU10,Western Kentucky wins by over 10.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.03,,0.5,,0.5,,0.97,,0.47,0.47,0,0,0,0,2037.43,0.0
2025-11-27T21:48:10.057697Z,KXNCAAMBSPREAD-25NOV27WKUUSF-WKU1,Western Kentucky wins by over 1.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.11,,0.32,,0.68,,0.89,,0.21,0.21,0,0,0,0,5248.3,0.0
2025-11-27T21:48:10.062513Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF8,South Florida wins by over 8.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.46,,0.48,,0.52,,0.54,,0.02,0.02,0,0,0,0,21770.75,1357.0
2025-11-27T21:48:10.106387Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF5,South Florida wins by over 5.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.55,,0.58,,0.42,,0.45,,0.03,0.03,0,0,0,0,22989.31,10.0
2025-11-27T21:48:11.137845Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF20,South Florida wins by over 20.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.14,,0.35,,0.65,,0.86,,0.21,0.21,0,0,0,0,5286.88,0.0
2025-11-27T21:48:10.147662Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF2,South Florida wins by over 2.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.58,,0.79,,0.21,,0.42,,0.21,0.21,0,0,0,0,4168.48,8.0
2025-11-27T21:48:10.135956Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF17,South Florida wins by over 17.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.16,,0.37,,0.63,,0.84,,0.21,0.21,0,0,0,0,5259.62,0.0
2025-11-27T21:48:10.144195Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF14,South Florida wins by over 14.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.23,,0.44,,0.56,,0.77,,0.21,0.21,0,0,0,0,5428.57,0.0
2025-11-27T21:48:10.133066Z,KXNCAAMBSPREAD-25NOV27WKUUSF-USF11,South Florida wins by over 11.5 Points?,active,binary,2025-12-11T17:30:00-05:00,0.29,,0.5,,0.5,,0.71,,0.21,0.21,0,0,0,0,5453.21,0.0
2025-11-27T21:48:10.150625Z,KXNCAAMBSPREAD-25NOV27VTSMC-VT8,Virginia Tech wins by over 8.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.0,,0.84,,0.16,,1.0,,0.84,0.84,0,0,0,0,442.79,255.0
2025-11-27T21:48:11.140299Z,KXNCAAMBSPREAD-25NOV27VTSMC-VT5,Virginia Tech wins by over 5.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.0,,0.96,,0.04,,1.0,,0.96,0.96,0,0,0,0,406.82,398.0
2025-11-27T21:48:10.146487Z,KXNCAAMBSPREAD-25NOV27VTSMC-VT2,Virginia Tech wins by over 2.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.0,,0.04,,0.96,,1.0,,0.04,0.04,0,0,0,0,413.98,0.0
2025-11-27T21:48:11.139020Z,KXNCAAMBSPREAD-25NOV27VTSMC-VT11,Virginia Tech wins by over 11.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.0,,0.11,,0.89,,1.0,,0.11,0.11,0,0,0,0,424.99,250.0
2025-11-27T21:48:10.184905Z,KXNCAAMBSPREAD-25NOV27VTSMC-SMC7,Saint Mary's wins by over 7.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.04,,0.89,,0.11,,0.96,,0.85,0.85,0,0,0,0,1140.58,1310.0
2025-11-27T21:48:11.146671Z,KXNCAAMBSPREAD-25NOV27VTSMC-SMC4,Saint Mary's wins by over 4.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.5,,0.93,,0.07,,0.5,,0.43,0.43,0,0,0,0,1730.05,10298.0
2025-11-27T21:48:11.143210Z,KXNCAAMBSPREAD-25NOV27VTSMC-SMC19,Saint Mary's wins by over 19.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.0,,0.52,,0.48,,1.0,,0.52,0.52,0,0,0,0,575.76,59.0
2025-11-27T21:48:11.147756Z,KXNCAAMBSPREAD-25NOV27VTSMC-SMC16,Saint Mary's wins by over 16.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.0,,0.96,,0.04,,1.0,,0.96,0.96,0,0,0,0,573.38,51.0
2025-11-27T21:48:11.145104Z,KXNCAAMBSPREAD-25NOV27VTSMC-SMC13,Saint Mary's wins by over 13.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.01,,0.97,,0.03,,0.99,,0.96,0.96,0,0,0,0,703.52,712.0
2025-11-27T21:48:10.219466Z,KXNCAAMBSPREAD-25NOV27VTSMC-SMC10,Saint Mary's wins by over 10.5 Points?,active,binary,2025-12-11T14:30:00-05:00,0.05,,0.95,,0.05,,0.95,,0.9,0.9,0,0,0,0,911.21,2198.0
