timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-27T21:48:00.665393Z,KXNCAAFSPREAD-25NOV27NAVYMEM-NAVY9,Navy wins by over 9.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.11,,0.19,,0.81,,0.89,,0.08,0.08,0,0,0,0,1357961.09,0.0
2025-11-27T21:48:00.739604Z,KXNCAAFSPREAD-25NOV27NAVYMEM-NAVY7,Navy wins by over 7.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.16,,0.21,,0.79,,0.84,,0.05,0.05,0,0,0,0,1307665.99,104.0
2025-11-27T21:48:00.815364Z,KXNCAAFSPREAD-25NOV27NAVYMEM-NAVY6,Navy wins by over 6.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.16,,0.25,,0.75,,0.84,,0.09,0.09,0,0,0,0,1273774.61,1.0
2025-11-27T21:48:01.372868Z,KXNCAAFSPREAD-25NOV27NAVYMEM-NAVY3,Navy wins by over 3.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.12,,0.27,,0.73,,0.88,,0.15,0.15,0,0,0,0,963834.58,339.0
2025-11-27T21:48:01.371267Z,KXNCAAFSPREAD-25NOV27NAVYMEM-NAVY2,Navy wins by over 2.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.33,,0.47,,0.53,,0.67,,0.14,0.14,0,0,0,0,962513.31,190.0
2025-11-27T21:48:00.932204Z,KXNCAAFSPREAD-25NOV27NAVYMEM-NAVY10,Navy wins by over 10.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.07,,0.16,,0.84,,0.93,,0.09,0.09,0,0,0,0,1394430.85,3.0
2025-11-27T21:48:01.432247Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM9,Memphis wins by over 9.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.34,,0.45,,0.55,,0.66,,0.11,0.11,0,0,0,0,1015904.07,448.0
2025-11-27T21:48:01.011599Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM7,Memphis wins by over 7.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.37,,0.4,,0.6,,0.63,,0.03,0.03,0,0,0,0,1034771.45,2229.0
2025-11-27T21:48:01.566948Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM6,Memphis wins by over 6.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.38,,0.41,,0.59,,0.62,,0.03,0.03,0,0,0,0,1065694.92,11033.0
2025-11-27T21:48:03.679031Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM3,Memphis wins by over 3.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.48,,0.5,,0.5,,0.52,,0.02,0.02,0,0,0,0,1266041.4,49125.0
2025-11-27T21:48:01.161364Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM2,Memphis wins by over 2.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.57,,0.59,,0.41,,0.43,,0.02,0.02,0,0,0,0,1147381.05,1577.0
2025-11-27T21:48:02.602944Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM17,Memphis wins by over 17.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.17,,0.33,,0.67,,0.83,,0.16,0.16,0,0,0,0,1022599.61,62.0
2025-11-27T21:48:01.295369Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM14,Memphis wins by over 14.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.21,,0.37,,0.63,,0.79,,0.16,0.16,0,0,0,0,965347.43,172.0
2025-11-27T21:48:02.676622Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM13,Memphis wins by over 13.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.24,,0.4,,0.6,,0.76,,0.16,0.16,0,0,0,0,992407.8,0.0
2025-11-27T21:48:02.750108Z,KXNCAAFSPREAD-25NOV27NAVYMEM-MEM10,Memphis wins by over 10.5 points?,active,binary,2025-12-11T19:30:00-05:00,0.3,,0.33,,0.67,,0.7,,0.03,0.03,0,0,0,0,1039748.89,553.0
