timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-27T18:00:42.386810Z,KXNFLSPREAD-25NOV27CINBAL-CIN7,Cincinnati wins by over 7.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.07,,0.08,,0.92,,0.93,,0.01,0.01,0,0,0,0,1013954.63,533.0
2025-11-27T18:00:41.945439Z,KXNFLSPREAD-25NOV27CINBAL-CIN6,Cincinnati wins by over 6.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.09,,0.12,,0.88,,0.91,,0.03,0.03,0,0,0,0,1103876.63,506.0
2025-11-27T18:00:42.446247Z,KXNFLSPREAD-25NOV27CINBAL-CIN3,Cincinnati wins by over 3.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.13,,0.16,,0.84,,0.87,,0.03,0.03,0,0,0,0,790663.77,285.0
2025-11-27T18:00:42.032964Z,KXNFLSPREAD-25NOV27CINBAL-CIN2,Cincinnati wins by over 2.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.2,,0.21,,0.79,,0.8,,0.01,0.01,0,0,0,0,971388.13,1047.0
2025-11-27T18:00:42.119058Z,KXNFLSPREAD-25NOV27CINBAL-BAL9,Baltimore wins by over 9.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.43,,0.44,,0.56,,0.57,,0.01,0.01,0,0,0,0,1126411.68,6059.0
2025-11-27T18:00:42.196844Z,KXNFLSPREAD-25NOV27CINBAL-BAL7,Baltimore wins by over 7.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.48,,0.49,,0.51,,0.52,,0.01,0.01,0,0,0,0,2193513.87,89367.0
2025-11-27T18:00:42.751031Z,KXNFLSPREAD-25NOV27CINBAL-BAL6,Baltimore wins by over 6.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.56,,0.57,,0.43,,0.44,,0.01,0.01,0,0,0,0,1133088.4,105884.0
2025-11-27T18:00:43.659359Z,KXNFLSPREAD-25NOV27CINBAL-BAL3,Baltimore wins by over 3.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.64,,0.65,,0.35,,0.36,,0.01,0.01,0,0,0,0,1068156.18,4717.0
2025-11-27T18:00:42.789990Z,KXNFLSPREAD-25NOV27CINBAL-BAL23,Baltimore wins by over 23.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.1,,0.12,,0.88,,0.9,,0.02,0.02,0,0,0,0,1133690.92,134.0
2025-11-27T18:00:42.335696Z,KXNFLSPREAD-25NOV27CINBAL-BAL20,Baltimore wins by over 20.5 points?,active,binary,2025-12-11T20:20:00-05:00,0.16,,0.17,,0.83,,0.84,,0.01,0.01,0,0,0,0,927041.78,1615.0
