timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-27T21:48:00.463807Z,KXNFLTOTAL-25NOV27CINBAL-62,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.23,,0.26,,0.74,,0.77,,0.03,0.03,0,0,0,0,829079.91,9114.0
2025-11-27T21:47:57.953035Z,KXNFLTOTAL-25NOV27CINBAL-59,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.29,,0.31,,0.69,,0.71,,0.02,0.02,0,0,0,0,914469.86,2044.0
2025-11-27T21:47:58.032281Z,KXNFLTOTAL-25NOV27CINBAL-56,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.36,,0.38,,0.62,,0.64,,0.02,0.02,0,0,0,0,974055.56,1060.0
2025-11-27T21:47:58.121828Z,KXNFLTOTAL-25NOV27CINBAL-53,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.44,,0.46,,0.54,,0.56,,0.02,0.02,0,0,0,0,1231068.13,138688.0
2025-11-27T21:47:58.204360Z,KXNFLTOTAL-25NOV27CINBAL-50,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.54,,0.56,,0.44,,0.46,,0.02,0.02,0,0,0,0,1147955.79,22878.0
2025-11-27T21:47:58.298464Z,KXNFLTOTAL-25NOV27CINBAL-47,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.61,,0.64,,0.36,,0.39,,0.03,0.03,0,0,0,0,894982.99,2473.0
2025-11-27T21:47:58.840054Z,KXNFLTOTAL-25NOV27CINBAL-44,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.71,,0.72,,0.28,,0.29,,0.01,0.01,0,0,0,0,668466.83,3818.0
2025-11-27T21:47:58.374739Z,KXNFLTOTAL-25NOV27CINBAL-41,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.78,,0.79,,0.21,,0.22,,0.01,0.01,0,0,0,0,997562.22,1745.0
2025-11-27T21:47:58.863605Z,KXNFLTOTAL-25NOV27CINBAL-38,Cincinnati at Baltimore: Total Points,active,binary,2025-12-11T20:20:00-05:00,0.85,,0.87,,0.13,,0.15,,0.02,0.02,0,0,0,0,1040547.25,1402.0
2025-11-27T21:47:58.883265Z,KXNFLTOTAL-25NOV27KCDAL-63,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.33,,0.34,,0.66,,0.67,,0.01,0.01,0,0,0,0,669843.02,30744.0
2025-11-27T21:47:58.884764Z,KXNFLTOTAL-25NOV27KCDAL-60,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.41,,0.43,,0.57,,0.59,,0.02,0.02,0,0,0,0,643405.75,49666.0
2025-11-27T21:47:58.451736Z,KXNFLTOTAL-25NOV27KCDAL-57,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.5,,0.51,,0.49,,0.5,,0.01,0.01,0,0,0,0,1097998.34,49815.0
2025-11-27T21:47:58.535427Z,KXNFLTOTAL-25NOV27KCDAL-54,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.59,,0.6,,0.4,,0.41,,0.01,0.01,0,0,0,0,992934.88,469095.0
2025-11-27T21:47:58.622321Z,KXNFLTOTAL-25NOV27KCDAL-51,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.67,,0.69,,0.31,,0.33,,0.02,0.02,0,0,0,0,967044.78,232094.0
2025-11-27T21:47:58.705721Z,KXNFLTOTAL-25NOV27KCDAL-48,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.74,,0.76,,0.24,,0.26,,0.02,0.02,0,0,0,0,1021129.59,56390.0
2025-11-27T21:47:58.780447Z,KXNFLTOTAL-25NOV27KCDAL-45,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.82,,0.83,,0.17,,0.18,,0.01,0.01,0,0,0,0,659621.37,14107.0
2025-11-27T21:47:58.860612Z,KXNFLTOTAL-25NOV27KCDAL-42,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.87,,0.89,,0.11,,0.13,,0.02,0.02,0,0,0,0,672150.8,68771.0
2025-11-27T21:47:59.387117Z,KXNFLTOTAL-25NOV27KCDAL-39,Kansas City at Dallas: Total Points,active,binary,2025-12-11T16:30:00-05:00,0.91,,0.93,,0.07,,0.09,,0.02,0.02,0,0,0,0,1071697.31,60934.0
