timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-28T15:12:37.178432Z,KXNCAAMBTOTAL-25NOV28BYUDAY-165,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.992708Z,KXNCAAMBTOTAL-25NOV28BYUDAY-162,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:36.076315Z,KXNCAAMBTOTAL-25NOV28BYUDAY-159,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:34.646068Z,KXNCAAMBTOTAL-25NOV28BYUDAY-156,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:34.797891Z,KXNCAAMBTOTAL-25NOV28BYUDAY-153,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:34.753571Z,KXNCAAMBTOTAL-25NOV28BYUDAY-150,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.45,,0.55,,0.45,,0.55,,0.1,0.1,0,0,0,0,930.26,0.0
2025-11-28T15:12:34.860802Z,KXNCAAMBTOTAL-25NOV28BYUDAY-147,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:34.919138Z,KXNCAAMBTOTAL-25NOV28BYUDAY-144,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.025795Z,KXNCAAMBTOTAL-25NOV28BYUDAY-141,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.035253Z,KXNCAAMBTOTAL-25NOV28BYUDAY-138,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.563017Z,KXNCAAMBTOTAL-25NOV28BYUDAY-135,BYU at Dayton: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.048433Z,KXNCAAMBTOTAL-25NOV28MINNSCU-155,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.679554Z,KXNCAAMBTOTAL-25NOV28MINNSCU-152,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.149723Z,KXNCAAMBTOTAL-25NOV28MINNSCU-149,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:37.804200Z,KXNCAAMBTOTAL-25NOV28MINNSCU-146,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.742834Z,KXNCAAMBTOTAL-25NOV28MINNSCU-143,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
2025-11-28T15:12:35.260893Z,KXNCAAMBTOTAL-25NOV28MINNSCU-140,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.48,,0.52,,0.48,,0.52,,0.04,0.04,0,0,0,0,3788.17,0.0
2025-11-28T15:12:35.322040Z,KXNCAAMBTOTAL-25NOV28MINNSCU-137,Minnesota at Santa Clara: Total Points,active,binary,2025-12-12T21:30:00-05:00,0.01,,0.99,,0.01,,0.99,,0.98,0.98,0,0,0,0,594.0,0.0
