timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-28T15:12:25.762115Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU9,Utah St. wins by over 9.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.15,,0.25,,0.75,,0.85,,0.1,0.1,0,0,0,0,1254841.54,400.0
2025-11-28T15:12:25.825272Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU7,Utah St. wins by over 7.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.17,,0.27,,0.73,,0.83,,0.1,0.1,0,0,0,0,801171.37,0.0
2025-11-28T15:12:25.878386Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU6,Utah St. wins by over 6.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.23,,0.31,,0.69,,0.77,,0.08,0.08,0,0,0,0,781441.8,0.0
2025-11-28T15:12:26.002846Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU3,Utah St. wins by over 3.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.31,,0.36,,0.64,,0.69,,0.05,0.05,0,0,0,0,842343.38,0.0
2025-11-28T15:12:25.983808Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU2,Utah St. wins by over 2.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.38,,0.39,,0.61,,0.62,,0.01,0.01,0,0,0,0,828345.05,0.0
2025-11-28T15:12:25.989195Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU14,Utah St. wins by over 14.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.08,,0.17,,0.83,,0.92,,0.09,0.09,0,0,0,0,1817664.58,11.0
2025-11-28T15:12:26.088149Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU13,Utah St. wins by over 13.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.1,,0.19,,0.81,,0.9,,0.09,0.09,0,0,0,0,1751265.88,0.0
2025-11-28T15:12:26.090943Z,KXNCAAFSPREAD-25NOV28BSUUSU-USU10,Utah St. wins by over 10.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.12,,0.22,,0.78,,0.88,,0.1,0.1,0,0,0,0,1594492.39,0.0
2025-11-28T15:12:27.527375Z,KXNCAAFSPREAD-25NOV28BSUUSU-BSU9,Boise St. wins by over 9.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.26,,0.32,,0.68,,0.74,,0.06,0.06,0,0,0,0,833285.79,0.0
2025-11-28T15:12:26.648280Z,KXNCAAFSPREAD-25NOV28BSUUSU-BSU7,Boise St. wins by over 7.5 points?,active,binary,2025-12-12T16:00:00-05:00,0.29,,0.33,,0.67,,0.71,,0.04,0.04,0,0,0,0,828316.89,610.0
