timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-28T15:12:20.367484Z,KXNCAAFTOTAL-25NOV28BSUUSU-67,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.21,,0.27,,0.73,,0.79,,0.06,0.06,0,0,0,0,924752.8,63.0
2025-11-28T15:12:21.793046Z,KXNCAAFTOTAL-25NOV28BSUUSU-64,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.28,,0.32,,0.68,,0.72,,0.04,0.04,0,0,0,0,860254.49,0.0
2025-11-28T15:12:21.059415Z,KXNCAAFTOTAL-25NOV28BSUUSU-61,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.35,,0.37,,0.63,,0.65,,0.02,0.02,0,0,0,0,954584.79,0.0
2025-11-28T15:12:20.481044Z,KXNCAAFTOTAL-25NOV28BSUUSU-58,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.42,,0.43,,0.57,,0.58,,0.01,0.01,0,0,0,0,984667.95,0.0
2025-11-28T15:12:20.603984Z,KXNCAAFTOTAL-25NOV28BSUUSU-55,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.51,,0.52,,0.48,,0.49,,0.01,0.01,0,0,0,0,1025717.21,215.0
2025-11-28T15:12:23.304447Z,KXNCAAFTOTAL-25NOV28BSUUSU-52,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.57,,0.58,,0.42,,0.43,,0.01,0.01,0,0,0,0,947888.99,0.0
2025-11-28T15:12:22.099977Z,KXNCAAFTOTAL-25NOV28BSUUSU-49,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.65,,0.68,,0.32,,0.35,,0.03,0.03,0,0,0,0,895092.17,0.0
2025-11-28T15:12:23.302288Z,KXNCAAFTOTAL-25NOV28BSUUSU-46,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.69,,0.77,,0.23,,0.31,,0.08,0.08,0,0,0,0,686175.91,0.0
2025-11-28T15:12:20.717886Z,KXNCAAFTOTAL-25NOV28BSUUSU-43,Boise St. at Utah St.: Total Points,active,binary,2025-12-12T16:00:00-05:00,0.74,,0.82,,0.18,,0.26,,0.08,0.08,0,0,0,0,1121183.73,23.0
2025-11-28T15:12:21.233018Z,KXNCAAFTOTAL-25NOV28SDSUUNM-53,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.18,,0.26,,0.74,,0.82,,0.08,0.08,0,0,0,0,588289.11,10.0
2025-11-28T15:12:20.778578Z,KXNCAAFTOTAL-25NOV28SDSUUNM-50,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.23,,0.31,,0.69,,0.77,,0.08,0.08,0,0,0,0,429555.99,0.0
2025-11-28T15:12:20.837052Z,KXNCAAFTOTAL-25NOV28SDSUUNM-47,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.31,,0.36,,0.64,,0.69,,0.05,0.05,0,0,0,0,476789.41,0.0
2025-11-28T15:12:20.831131Z,KXNCAAFTOTAL-25NOV28SDSUUNM-44,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.4,,0.43,,0.57,,0.6,,0.03,0.03,0,0,0,0,484313.91,0.0
2025-11-28T15:12:20.893099Z,KXNCAAFTOTAL-25NOV28SDSUUNM-41,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.49,,0.5,,0.5,,0.51,,0.01,0.01,0,0,0,0,544738.27,1371.0
2025-11-28T15:12:21.009097Z,KXNCAAFTOTAL-25NOV28SDSUUNM-38,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.58,,0.61,,0.39,,0.42,,0.03,0.03,0,0,0,0,474287.95,10.0
2025-11-28T15:12:21.533386Z,KXNCAAFTOTAL-25NOV28SDSUUNM-35,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.66,,0.72,,0.28,,0.34,,0.06,0.06,0,0,0,0,453552.27,0.0
2025-11-28T15:12:21.012552Z,KXNCAAFTOTAL-25NOV28SDSUUNM-32,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.72,,0.79,,0.21,,0.28,,0.07,0.07,0,0,0,0,364331.34,0.0
2025-11-28T15:12:21.643089Z,KXNCAAFTOTAL-25NOV28SDSUUNM-29,San Diego St. at New Mexico: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.78,,0.86,,0.14,,0.22,,0.08,0.08,0,0,0,0,757806.61,31.0
2025-11-28T15:12:21.120675Z,KXNCAAFTOTAL-25NOV28TEMUNT-78,Temple at North Texas: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.19,,0.28,,0.72,,0.81,,0.09,0.09,0,0,0,0,599389.41,0.0
2025-11-28T15:12:21.168761Z,KXNCAAFTOTAL-25NOV28TEMUNT-75,Temple at North Texas: Total Points,active,binary,2025-12-12T15:30:00-05:00,0.25,,0.32,,0.68,,0.75,,0.07,0.07,0,0,0,0,509677.32,0.0
