timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-28T15:12:04.078361Z,KXNCAAFGAME-25NOV28TEMUNT-UNT,Temple at North Texas Winner?,active,binary,2025-12-12T15:30:00-05:00,0.91,,0.93,,0.07,,0.09,,0.02,0.02,0,0,0,0,3289141.83,33225.0
2025-11-28T15:12:04.119253Z,KXNCAAFGAME-25NOV28TEMUNT-TEM,Temple at North Texas Winner?,active,binary,2025-12-12T15:30:00-05:00,0.08,,0.09,,0.91,,0.92,,0.01,0.01,0,0,0,0,3062582.11,15925.0
2025-11-28T15:12:06.865868Z,KXNCAAFGAME-25NOV28ARIZASU-ASU,Arizona at Arizona St. Winner?,active,binary,2025-12-12T21:00:00-05:00,0.47,,0.48,,0.52,,0.53,,0.01,0.01,0,0,0,0,6278000.56,22730.0
2025-11-28T15:12:04.649862Z,KXNCAAFGAME-25NOV28ARIZASU-ARIZ,Arizona at Arizona St. Winner?,active,binary,2025-12-12T21:00:00-05:00,0.53,,0.54,,0.46,,0.47,,0.01,0.01,0,0,0,0,6514168.95,18279.0
2025-11-28T15:12:04.136455Z,KXNCAAFGAME-25NOV28INDPUR-PUR,Indiana at Purdue Winner?,active,binary,2025-12-12T19:30:00-05:00,0.03,,0.04,,0.96,,0.97,,0.01,0.01,0,0,0,0,3259186.6,107921.0
2025-11-28T15:12:06.864554Z,KXNCAAFGAME-25NOV28INDPUR-IND,Indiana at Purdue Winner?,active,binary,2025-12-12T19:30:00-05:00,0.96,,0.98,,0.02,,0.04,,0.02,0.02,0,0,0,0,4198159.65,76676.0
2025-11-28T15:12:04.648651Z,KXNCAAFGAME-25NOV28TXAMTEX-TXAM,Texas A&M at Texas Winner?,active,binary,2025-12-12T19:30:00-05:00,0.56,,0.57,,0.43,,0.44,,0.01,0.01,0,0,0,0,7202080.18,299600.0
2025-11-28T15:12:05.598227Z,KXNCAAFGAME-25NOV28TXAMTEX-TEX,Texas A&M at Texas Winner?,active,binary,2025-12-12T19:30:00-05:00,0.43,,0.44,,0.56,,0.57,,0.01,0.01,0,0,0,0,7340410.06,193872.0
2025-11-28T15:12:04.192940Z,KXNCAAFGAME-25NOV28BSUUSU-USU,Boise St. at Utah St. Winner?,active,binary,2025-12-12T16:00:00-05:00,0.41,,0.42,,0.58,,0.59,,0.01,0.01,0,0,0,0,5350604.19,25300.0
2025-11-28T15:12:06.926263Z,KXNCAAFGAME-25NOV28BSUUSU-BSU,Boise St. at Utah St. Winner?,active,binary,2025-12-12T16:00:00-05:00,0.58,,0.59,,0.41,,0.42,,0.01,0.01,0,0,0,0,5455764.2,9763.0
2025-11-28T15:12:06.864047Z,KXNCAAFGAME-25NOV28SDSUUNM-UNM,San Diego St. at New Mexico Winner?,active,binary,2025-12-12T15:30:00-05:00,0.49,,0.5,,0.5,,0.51,,0.01,0.01,0,0,0,0,5072338.12,14166.0
2025-11-28T15:12:06.924900Z,KXNCAAFGAME-25NOV28SDSUUNM-SDSU,San Diego St. at New Mexico Winner?,active,binary,2025-12-12T15:30:00-05:00,0.5,,0.51,,0.49,,0.5,,0.01,0.01,0,0,0,0,5068913.07,10103.0
2025-11-28T15:12:06.865151Z,KXNCAAFGAME-25NOV28UGAGT-UGA,Georgia at Georgia Tech Winner?,active,binary,2025-12-12T15:30:00-05:00,0.84,,0.85,,0.15,,0.16,,0.01,0.01,0,0,0,0,8097410.04,70549.0
2025-11-28T15:12:04.244533Z,KXNCAAFGAME-25NOV28UGAGT-GT,Georgia at Georgia Tech Winner?,active,binary,2025-12-12T15:30:00-05:00,0.16,,0.17,,0.83,,0.84,,0.01,0.01,0,0,0,0,6660095.93,183228.0
2025-11-28T15:12:04.364152Z,KXNCAAFGAME-25NOV28AFACSU-CSU,Air Force at Colorado St. Winner?,active,binary,2025-12-12T15:00:00-05:00,0.44,,0.45,,0.55,,0.56,,0.01,0.01,0,0,0,0,4060573.49,3957.0
2025-11-28T15:12:04.429927Z,KXNCAAFGAME-25NOV28AFACSU-AFA,Air Force at Colorado St. Winner?,active,binary,2025-12-12T15:00:00-05:00,0.55,,0.56,,0.44,,0.45,,0.01,0.01,0,0,0,0,4059749.32,9317.0
2025-11-28T15:12:04.474800Z,KXNCAAFGAME-25NOV28OHIOBUFF-OHIO,Ohio at Buffalo Winner?,active,binary,2025-12-12T12:00:00-05:00,0.71,,0.72,,0.28,,0.29,,0.01,0.01,0,0,0,0,3930583.5,21674.0
2025-11-28T15:12:04.535647Z,KXNCAAFGAME-25NOV28OHIOBUFF-BUFF,Ohio at Buffalo Winner?,active,binary,2025-12-12T12:00:00-05:00,0.28,,0.3,,0.7,,0.72,,0.02,0.02,0,0,0,0,3905215.89,14879.0
2025-11-28T15:12:04.585362Z,KXNCAAFGAME-25NOV28UTAHKU-UTAH,Utah at Kansas Winner?,active,binary,2025-12-12T12:00:00-05:00,0.79,,0.8,,0.2,,0.21,,0.01,0.01,0,0,0,0,5718328.95,263734.0
2025-11-28T15:12:05.309194Z,KXNCAAFGAME-25NOV28UTAHKU-KU,Utah at Kansas Winner?,active,binary,2025-12-12T12:00:00-05:00,0.2,,0.21,,0.79,,0.8,,0.01,0.01,0,0,0,0,4886004.51,61121.0
2025-11-28T15:12:04.701682Z,KXNCAAFGAME-25NOV28MISSMSST-MSST,Ole Miss at Mississippi St. Winner?,active,binary,2025-12-12T12:00:00-05:00,0.26,,0.27,,0.73,,0.74,,0.01,0.01,0,0,0,0,6572890.36,116025.0
2025-11-28T15:12:04.762897Z,KXNCAAFGAME-25NOV28MISSMSST-MISS,Ole Miss at Mississippi St. Winner?,active,binary,2025-12-12T12:00:00-05:00,0.73,,0.74,,0.26,,0.27,,0.01,0.01,0,0,0,0,7199734.23,968904.0
2025-11-28T15:12:07.423069Z,KXNCAAFGAME-25NOV28IOWANEB-NEB,Iowa at Nebraska Winner?,active,binary,2025-12-12T12:00:00-05:00,0.31,,0.32,,0.68,,0.69,,0.01,0.01,0,0,0,0,5285165.56,92997.0
2025-11-28T15:12:05.307993Z,KXNCAAFGAME-25NOV28IOWANEB-IOWA,Iowa at Nebraska Winner?,active,binary,2025-12-12T12:00:00-05:00,0.68,,0.7,,0.3,,0.32,,0.02,0.02,0,0,0,0,6129899.8,113478.0
2025-11-28T15:12:04.822202Z,KXNCAAFGAME-25NOV28KENTNIU-NIU,Kent St. at Northern Illinois Winner?,active,binary,2025-12-12T12:00:00-05:00,0.65,,0.66,,0.34,,0.35,,0.01,0.01,0,0,0,0,3790100.3,87916.0
2025-11-28T15:12:04.882134Z,KXNCAAFGAME-25NOV28KENTNIU-KENT,Kent St. at Northern Illinois Winner?,active,binary,2025-12-12T12:00:00-05:00,0.34,,0.35,,0.65,,0.66,,0.01,0.01,0,0,0,0,3812665.98,31071.0
