timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-29T13:11:04.802243Z,KXNCAAMBGAME-25NOV29DEPLSU-LSU,DePaul at LSU Winner?,active,binary,2025-12-13T19:00:00-05:00,0.25,,0.95,,0.05,,0.75,,0.7,0.7,0,0,0,0,5734.98,0.0
2025-11-29T13:11:03.499614Z,KXNCAAMBGAME-25NOV29DEPLSU-DEP,DePaul at LSU Winner?,active,binary,2025-12-13T19:00:00-05:00,0.25,,0.96,,0.04,,0.75,,0.71,0.71,0,0,0,0,6077.65,0.0
2025-11-29T13:11:03.567092Z,KXNCAAMBGAME-25NOV29GTDRKE-GT,Georgia Tech at Drake Winner?,active,binary,2025-12-13T16:00:00-05:00,0.25,,0.93,,0.07,,0.75,,0.68,0.68,0,0,0,0,6803.9,0.0
2025-11-29T13:11:03.628568Z,KXNCAAMBGAME-25NOV29GTDRKE-DRKE,Georgia Tech at Drake Winner?,active,binary,2025-12-13T16:00:00-05:00,0.25,,0.95,,0.05,,0.75,,0.7,0.7,0,0,0,0,6768.39,0.0
2025-11-29T13:11:03.695653Z,KXNCAAMBGAME-25NOV29SEAUCSB-UCSB,Seattle at UC Santa Barbara Winner?,active,binary,2025-12-13T16:30:00-05:00,0.25,,0.49,,0.51,,0.75,,0.24,0.24,0,0,0,0,20230.86,0.0
2025-11-29T13:11:03.755366Z,KXNCAAMBGAME-25NOV29SEAUCSB-SEA,Seattle at UC Santa Barbara Winner?,active,binary,2025-12-13T16:30:00-05:00,0.41,,0.72,,0.28,,0.59,,0.31,0.31,0,0,0,0,20034.94,1.0
2025-11-29T13:11:03.819774Z,KXNCAAMBGAME-25NOV29CBUORST-ORST,California Baptist at Oregon St. Winner?,active,binary,2025-12-13T22:00:00-05:00,0.51,,0.54,,0.46,,0.49,,0.03,0.03,0,0,0,0,943079.17,2804.0
2025-11-29T13:11:04.335658Z,KXNCAAMBGAME-25NOV29CBUORST-CBU,California Baptist at Oregon St. Winner?,active,binary,2025-12-13T22:00:00-05:00,0.5,,0.51,,0.49,,0.5,,0.01,0.01,0,0,0,0,941844.03,818.0
2025-11-29T13:11:03.907888Z,KXNCAAMBGAME-25NOV29SACPAC-SAC,Sacramento St. at Pacific Winner?,active,binary,2025-12-13T22:00:00-05:00,0.17,,0.19,,0.81,,0.83,,0.02,0.02,0,0,0,0,1248749.14,1020.0
2025-11-29T13:11:06.459306Z,KXNCAAMBGAME-25NOV29SACPAC-PAC,Sacramento St. at Pacific Winner?,active,binary,2025-12-13T22:00:00-05:00,0.82,,0.84,,0.16,,0.18,,0.02,0.02,0,0,0,0,1262087.12,577.0
