timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-11-30T15:20:36.689995Z,KXNFLGAME-25NOV30DENWAS-WAS,Denver at Washington Winner?,active,binary,2025-12-14T20:20:00-05:00,0.26,,0.27,,0.73,,0.74,,0.01,0.01,0,0,0,0,6752420.65,40253.0
2025-11-30T15:20:36.834368Z,KXNFLGAME-25NOV30DENWAS-DEN,Denver at Washington Winner?,active,binary,2025-12-14T20:20:00-05:00,0.73,,0.74,,0.26,,0.27,,0.01,0.01,0,0,0,0,6808330.78,242501.0
2025-11-30T15:20:36.881615Z,KXNFLGAME-25NOV30LVLAC-LV,Las Vegas at Los Angeles C Winner?,active,binary,2025-12-14T16:25:00-05:00,0.18,,0.19,,0.81,,0.82,,0.01,0.01,0,0,0,0,7076128.46,50803.0
2025-11-30T15:20:36.881309Z,KXNFLGAME-25NOV30LVLAC-LAC,Las Vegas at Los Angeles C Winner?,active,binary,2025-12-14T16:25:00-05:00,0.81,,0.82,,0.18,,0.19,,0.01,0.01,0,0,0,0,8527506.24,94137.0
2025-11-30T15:20:36.874760Z,KXNFLGAME-25NOV30BUFPIT-PIT,Buffalo at Pittsburgh Winner?,active,binary,2025-12-14T16:25:00-05:00,0.39,,0.4,,0.6,,0.61,,0.01,0.01,0,0,0,0,6714683.85,106591.0
2025-11-30T15:20:37.142976Z,KXNFLGAME-25NOV30BUFPIT-BUF,Buffalo at Pittsburgh Winner?,active,binary,2025-12-14T16:25:00-05:00,0.6,,0.61,,0.39,,0.4,,0.01,0.01,0,0,0,0,7214903.73,112558.0
2025-11-30T15:20:36.868427Z,KXNFLGAME-25NOV30SFCLE-SF,San Francisco at Cleveland Winner?,active,binary,2025-12-14T13:00:00-05:00,0.7,,0.71,,0.29,,0.3,,0.01,0.01,0,0,0,0,8120033.37,837209.0
2025-11-30T15:20:36.894488Z,KXNFLGAME-25NOV30SFCLE-CLE,San Francisco at Cleveland Winner?,active,binary,2025-12-14T13:00:00-05:00,0.3,,0.31,,0.69,,0.7,,0.01,0.01,0,0,0,0,6861549.93,582822.0
2025-11-30T15:20:36.852394Z,KXNFLGAME-25NOV30MINSEA-SEA,Minnesota at Seattle Winner?,active,binary,2025-12-14T16:05:00-05:00,0.85,,0.86,,0.14,,0.15,,0.01,0.01,0,0,0,0,9251346.65,135662.0
2025-11-30T15:20:36.882716Z,KXNFLGAME-25NOV30MINSEA-MIN,Minnesota at Seattle Winner?,active,binary,2025-12-14T16:05:00-05:00,0.14,,0.15,,0.85,,0.86,,0.01,0.01,0,0,0,0,7213461.1,307850.0
2025-11-30T15:20:36.879531Z,KXNFLGAME-25NOV30HOUIND-IND,Houston at Indianapolis Winner?,active,binary,2025-12-14T13:00:00-05:00,0.6,,0.61,,0.39,,0.4,,0.01,0.01,0,0,0,0,6881526.65,46130.0
