timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-05T21:19:28.883764Z,KXNCAAMBGAME-25DEC05USDSJSU-USD,San Diego at San Jose St. Winner?,active,binary,2025-12-19T22:00:00-05:00,0.25,,0.27,,0.73,,0.75,,0.02,0.02,0,0,0,0,2453479.96,935.0
2025-12-05T21:19:31.401640Z,KXNCAAMBGAME-25DEC05USDSJSU-SJSU,San Diego at San Jose St. Winner?,active,binary,2025-12-19T22:00:00-05:00,0.73,,0.75,,0.25,,0.27,,0.02,0.02,0,0,0,0,2496293.31,307.0
2025-12-05T21:19:31.404786Z,KXNCAAMBGAME-25DEC05NDTCU-TCU,Notre Dame at TCU Winner?,active,binary,2025-12-19T20:00:00-05:00,0.73,,0.74,,0.26,,0.27,,0.01,0.01,0,0,0,0,2694206.58,669.0
2025-12-05T21:19:28.941191Z,KXNCAAMBGAME-25DEC05NDTCU-ND,Notre Dame at TCU Winner?,active,binary,2025-12-19T20:00:00-05:00,0.27,,0.28,,0.72,,0.73,,0.01,0.01,0,0,0,0,2647138.64,104.0
2025-12-05T21:19:28.993694Z,KXNCAAMBGAME-25DEC05CINXAV-XAV,Cincinnati at Xavier Winner?,active,binary,2025-12-19T19:30:00-05:00,0.49,,0.5,,0.5,,0.51,,0.01,0.01,0,0,0,0,2451036.03,447.0
2025-12-05T21:19:29.046298Z,KXNCAAMBGAME-25DEC05CINXAV-CIN,Cincinnati at Xavier Winner?,active,binary,2025-12-19T19:30:00-05:00,0.5,,0.52,,0.48,,0.5,,0.02,0.02,0,0,0,0,2428263.85,764.0
2025-12-05T21:19:29.110242Z,KXNCAAMBGAME-25DEC05ETAMCONN-ETAM,East Texas A&M at UConn Winner?,active,binary,2025-12-19T19:30:00-05:00,0.0,,0.01,,0.99,,1.0,,0.01,0.01,0,0,0,0,3035937.77,78043.0
2025-12-05T21:19:29.179108Z,KXNCAAMBGAME-25DEC05ETAMCONN-CONN,East Texas A&M at UConn Winner?,active,binary,2025-12-19T19:30:00-05:00,0.99,,1.0,,0.0,,0.01,,0.01,0.01,0,0,0,0,3605788.7,2204.0
2025-12-05T21:19:29.238829Z,KXNCAAMBGAME-25DEC05UABDRKE-UAB,UAB at Drake Winner?,active,binary,2025-12-19T19:30:00-05:00,0.41,,0.43,,0.57,,0.59,,0.02,0.02,0,0,0,0,2241230.01,63.0
2025-12-05T21:19:29.791586Z,KXNCAAMBGAME-25DEC05UABDRKE-DRKE,UAB at Drake Winner?,active,binary,2025-12-19T19:30:00-05:00,0.57,,0.59,,0.41,,0.43,,0.02,0.02,0,0,0,0,1472082.16,254.0
2025-12-05T21:19:29.793415Z,KXNCAAMBGAME-25DEC05SAMVCU-VCU,Samford at VCU Winner?,active,binary,2025-12-19T19:00:00-05:00,0.95,,0.96,,0.04,,0.05,,0.01,0.01,0,0,0,0,1934323.18,216.0
2025-12-05T21:19:29.336305Z,KXNCAAMBGAME-25DEC05SAMVCU-SAM,Samford at VCU Winner?,active,binary,2025-12-19T19:00:00-05:00,0.04,,0.05,,0.95,,0.96,,0.01,0.01,0,0,0,0,1321928.25,7423.0
2025-12-05T21:19:29.394946Z,KXNCAAMBGAME-25DEC05GONZUK-UK,Gonzaga at Kentucky Winner?,active,binary,2025-12-19T19:00:00-05:00,0.32,,0.34,,0.66,,0.68,,0.02,0.02,0,0,0,0,2867654.38,1528.0
2025-12-05T21:19:29.461880Z,KXNCAAMBGAME-25DEC05GONZUK-GONZ,Gonzaga at Kentucky Winner?,active,binary,2025-12-19T19:00:00-05:00,0.67,,0.68,,0.32,,0.33,,0.01,0.01,0,0,0,0,2834143.94,4322.0
