timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-06T16:08:50.417083Z,KXNCAAWBGAME-25DEC06BYUPORT-PORT,BYU at Portland Winner?,active,binary,2025-12-20T20:00:00-05:00,0.25,,0.31,,0.69,,0.75,,0.06,0.06,0,0,0,0,1179755.01,819.0
2025-12-06T16:08:50.464340Z,KXNCAAWBGAME-25DEC06BYUPORT-BYU,BYU at Portland Winner?,active,binary,2025-12-20T20:00:00-05:00,0.66,,0.78,,0.22,,0.34,,0.12,0.12,0,0,0,0,1178056.72,211.0
2025-12-06T16:08:50.488287Z,KXNCAAWBGAME-25DEC06UCDGONZ-UCD,UC Davis at Gonzaga Winner?,active,binary,2025-12-20T21:00:00-05:00,0.14,,0.28,,0.72,,0.86,,0.14,0.14,0,0,0,0,1382179.55,3.0
2025-12-06T16:08:52.025780Z,KXNCAAWBGAME-25DEC06UCDGONZ-GONZ,UC Davis at Gonzaga Winner?,active,binary,2025-12-20T21:00:00-05:00,0.78,,0.86,,0.14,,0.22,,0.08,0.08,0,0,0,0,1382419.73,28.0
2025-12-06T16:08:50.535854Z,KXNCAAWBGAME-25DEC06PEPPFRES-PEPP,Pepperdine at Fresno St. Winner?,active,binary,2025-12-20T20:00:00-05:00,0.15,,0.3,,0.7,,0.85,,0.15,0.15,0,0,0,0,1401854.32,3.0
2025-12-06T16:08:50.737460Z,KXNCAAWBGAME-25DEC06PEPPFRES-FRES,Pepperdine at Fresno St. Winner?,active,binary,2025-12-20T20:00:00-05:00,0.72,,0.84,,0.16,,0.28,,0.12,0.12,0,0,0,0,1401579.1,3.0
2025-12-06T16:08:51.099869Z,KXNCAAWBGAME-25DEC06IOWARUTG-RUTG,Iowa at Rutgers Winner?,active,binary,2025-12-20T18:00:00-05:00,0.08,,0.14,,0.86,,0.92,,0.06,0.06,0,0,0,0,1114729.93,159.0
2025-12-06T16:08:51.133640Z,KXNCAAWBGAME-25DEC06IOWARUTG-IOWA,Iowa at Rutgers Winner?,active,binary,2025-12-20T18:00:00-05:00,0.91,,0.92,,0.08,,0.09,,0.01,0.01,0,0,0,0,1114439.09,102.0
2025-12-06T16:08:52.055217Z,KXNCAAWBGAME-25DEC06SFASU-SF,San Francisco at Arizona St. Winner?,active,binary,2025-12-20T16:30:00-05:00,0.13,,0.22,,0.78,,0.87,,0.09,0.09,0,0,0,0,1188809.47,38.0
2025-12-06T16:08:50.798093Z,KXNCAAWBGAME-25DEC06SFASU-ASU,San Francisco at Arizona St. Winner?,active,binary,2025-12-20T16:30:00-05:00,0.78,,0.8,,0.2,,0.22,,0.02,0.02,0,0,0,0,1203405.27,481.0
2025-12-06T16:08:50.832863Z,KXNCAAWBGAME-25DEC06AFAUVU-UVU,Air Force at Utah Valley Winner?,active,binary,2025-12-20T16:00:00-05:00,0.63,,0.77,,0.23,,0.37,,0.14,0.14,0,0,0,0,1335648.26,37.0
2025-12-06T16:08:51.332449Z,KXNCAAWBGAME-25DEC06AFAUVU-AFA,Air Force at Utah Valley Winner?,active,binary,2025-12-20T16:00:00-05:00,0.25,,0.37,,0.63,,0.75,,0.12,0.12,0,0,0,0,1337454.04,5.0
2025-12-06T16:08:50.899026Z,KXNCAAWBGAME-25DEC06SIMPSCU-SIMP,Simpson University at Santa Clara Winner?,active,binary,2025-12-20T16:00:00-05:00,0.0,,0.01,,0.99,,1.0,,0.01,0.01,0,0,0,0,980995.61,10247.0
2025-12-06T16:08:50.966941Z,KXNCAAWBGAME-25DEC06SIMPSCU-SCU,Simpson University at Santa Clara Winner?,active,binary,2025-12-20T16:00:00-05:00,0.99,,1.0,,0.0,,0.01,,0.01,0.01,0,0,0,0,979740.82,1518.0
2025-12-06T16:08:51.032353Z,KXNCAAWBGAME-25DEC06TXSOUNT-UNT,Texas Southern at North Texas Winner?,active,binary,2025-12-20T15:00:00-05:00,0.9,,0.96,,0.04,,0.1,,0.06,0.06,0,0,0,0,1082124.24,162.0
2025-12-06T16:08:51.100916Z,KXNCAAWBGAME-25DEC06TXSOUNT-TXSO,Texas Southern at North Texas Winner?,active,binary,2025-12-20T15:00:00-05:00,0.04,,0.1,,0.9,,0.96,,0.06,0.06,0,0,0,0,1086885.31,353.0
2025-12-06T16:08:53.756888Z,KXNCAAWBGAME-25DEC06UNLVRICE-UNLV,UNLV at Rice Winner?,active,binary,2025-12-20T15:00:00-05:00,0.42,,0.68,,0.32,,0.58,,0.26,0.26,0,0,0,0,1573598.22,492.0
2025-12-06T16:08:51.649820Z,KXNCAAWBGAME-25DEC06UNLVRICE-RICE,UNLV at Rice Winner?,active,binary,2025-12-20T15:00:00-05:00,0.35,,0.58,,0.42,,0.65,,0.23,0.23,0,0,0,0,1574892.04,56.0
2025-12-06T16:08:51.200445Z,KXNCAAWBGAME-25DEC06CBUBSU-CBU,California Baptist at Boise St. Winner?,active,binary,2025-12-20T15:00:00-05:00,0.23,,0.33,,0.67,,0.77,,0.1,0.1,0,0,0,0,1374914.08,0.0
2025-12-06T16:08:51.253146Z,KXNCAAWBGAME-25DEC06CBUBSU-BSU,California Baptist at Boise St. Winner?,active,binary,2025-12-20T15:00:00-05:00,0.66,,0.75,,0.25,,0.34,,0.09,0.09,0,0,0,0,1375638.26,9.0
2025-12-06T16:08:51.337500Z,KXNCAAWBGAME-25DEC06MVSUOKST-OKST,Mississippi Valley St. at Oklahoma St. Winner?,active,binary,2025-12-20T15:00:00-05:00,0.99,,1.0,,0.0,,0.01,,0.01,0.01,0,0,0,0,1032122.45,518.0
2025-12-06T16:08:51.411155Z,KXNCAAWBGAME-25DEC06MVSUOKST-MVSU,Mississippi Valley St. at Oklahoma St. Winner?,active,binary,2025-12-20T15:00:00-05:00,0.0,,0.01,,0.99,,1.0,,0.01,0.01,0,0,0,0,4995927.81,35063.0
2025-12-06T16:08:51.895245Z,KXNCAAWBGAME-25DEC06UTEPTCU-UTEP,UTEP at TCU Winner?,active,binary,2025-12-20T14:00:00-05:00,0.0,,0.02,,0.98,,1.0,,0.02,0.02,0,0,0,0,984119.43,66411.0
2025-12-06T16:08:51.481550Z,KXNCAAWBGAME-25DEC06UTEPTCU-TCU,UTEP at TCU Winner?,active,binary,2025-12-20T14:00:00-05:00,0.99,,1.0,,0.0,,0.01,,0.01,0.01,0,0,0,0,980791.76,465.0
2025-12-06T16:08:52.945673Z,KXNCAAWBGAME-25DEC06FORHOF-HOF,Fordham at Hofstra Winner?,active,binary,2025-12-20T14:00:00-05:00,0.25,,0.31,,0.69,,0.75,,0.06,0.06,0,0,0,0,1256567.78,0.0
2025-12-06T16:08:51.625476Z,KXNCAAWBGAME-25DEC06FORHOF-FOR,Fordham at Hofstra Winner?,active,binary,2025-12-20T14:00:00-05:00,0.69,,0.75,,0.25,,0.31,,0.06,0.06,0,0,0,0,1257040.04,10.0
2025-12-06T16:08:51.625654Z,KXNCAAWBGAME-25DEC06MCNSNEV-NEV,McNeese at Nevada Winner?,active,binary,2025-12-20T14:00:00-05:00,0.29,,0.31,,0.69,,0.71,,0.02,0.02,0,0,0,0,1258156.22,9.0
2025-12-06T16:08:51.690031Z,KXNCAAWBGAME-25DEC06MCNSNEV-MCNS,McNeese at Nevada Winner?,active,binary,2025-12-20T14:00:00-05:00,0.69,,0.71,,0.29,,0.31,,0.02,0.02,0,0,0,0,1259888.5,1163.0
2025-12-06T16:08:53.048592Z,KXNCAAWBGAME-25DEC06BRWNGW-GW,Brown at George Washington Winner?,active,binary,2025-12-20T13:00:00-05:00,0.43,,0.49,,0.51,,0.57,,0.06,0.06,0,0,0,0,1575550.21,74.0
2025-12-06T16:08:53.248793Z,KXNCAAWBGAME-25DEC06BRWNGW-BRWN,Brown at George Washington Winner?,active,binary,2025-12-20T13:00:00-05:00,0.51,,0.55,,0.45,,0.49,,0.04,0.04,0,0,0,0,1574834.53,298.0
2025-12-06T16:08:52.260986Z,KXNCAAWBGAME-25DEC06SBONLMC-SBON,St. Bonaventure at Le Moyne Winner?,active,binary,2025-12-20T13:00:00-05:00,0.82,,0.84,,0.16,,0.18,,0.02,0.02,0,0,0,0,1086407.8,1291.0
2025-12-06T16:08:51.815795Z,KXNCAAWBGAME-25DEC06SBONLMC-LMC,St. Bonaventure at Le Moyne Winner?,active,binary,2025-12-20T13:00:00-05:00,0.19,,0.21,,0.79,,0.81,,0.02,0.02,0,0,0,0,1079361.46,1320.0
2025-12-06T16:08:51.828291Z,KXNCAAWBGAME-25DEC06NEBPSU-PSU,Nebraska at Penn St. Winner?,active,binary,2025-12-20T13:00:00-05:00,0.14,,0.17,,0.83,,0.86,,0.03,0.03,0,0,0,0,1179655.68,295.0
2025-12-06T16:08:52.363152Z,KXNCAAWBGAME-25DEC06NEBPSU-NEB,Nebraska at Penn St. Winner?,active,binary,2025-12-20T13:00:00-05:00,0.83,,0.87,,0.13,,0.17,,0.04,0.04,0,0,0,0,1181468.29,103.0
2025-12-06T16:08:54.450782Z,KXNCAAWBGAME-25DEC06INDILL-IND,Indiana at Illinois Winner?,active,binary,2025-12-20T12:00:00-05:00,0.31,,0.33,,0.67,,0.69,,0.02,0.02,0,0,0,0,1345449.04,5874.0
2025-12-06T16:08:51.957596Z,KXNCAAWBGAME-25DEC06INDILL-ILL,Indiana at Illinois Winner?,active,binary,2025-12-20T12:00:00-05:00,0.67,,0.69,,0.31,,0.33,,0.02,0.02,0,0,0,0,1348061.83,5359.0
