timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-06T16:08:58.989374Z,KXNCAAFTOTAL-25DEC06UGAALA-59,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.2,,0.27,,0.73,,0.8,,0.07,0.07,0,0,0,0,1857727.05,2739.0
2025-12-06T16:08:59.058519Z,KXNCAAFTOTAL-25DEC06UGAALA-56,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.29,,0.31,,0.69,,0.71,,0.02,0.02,0,0,0,0,2757426.3,595.0
2025-12-06T16:08:59.728957Z,KXNCAAFTOTAL-25DEC06UGAALA-53,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.35,,0.38,,0.62,,0.65,,0.03,0.03,0,0,0,0,2808314.79,7434.0
2025-12-06T16:08:59.124001Z,KXNCAAFTOTAL-25DEC06UGAALA-50,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.42,,0.44,,0.56,,0.58,,0.02,0.02,0,0,0,0,2899744.5,16410.0
2025-12-06T16:09:01.973929Z,KXNCAAFTOTAL-25DEC06UGAALA-47,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.51,,0.53,,0.47,,0.49,,0.02,0.02,0,0,0,0,3025504.94,50765.0
2025-12-06T16:08:59.293714Z,KXNCAAFTOTAL-25DEC06UGAALA-44,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.6,,0.61,,0.39,,0.4,,0.01,0.01,0,0,0,0,2836666.54,1844.0
2025-12-06T16:09:00.706927Z,KXNCAAFTOTAL-25DEC06UGAALA-41,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.66,,0.67,,0.33,,0.34,,0.01,0.01,0,0,0,0,2706562.16,1910.0
2025-12-06T16:09:01.972838Z,KXNCAAFTOTAL-25DEC06UGAALA-38,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.72,,0.78,,0.22,,0.28,,0.06,0.06,0,0,0,0,1923791.88,346.0
2025-12-06T16:09:01.977277Z,KXNCAAFTOTAL-25DEC06UGAALA-35,Georgia at Alabama: Total Points,active,binary,2025-12-20T16:00:00-05:00,0.78,,0.81,,0.19,,0.22,,0.03,0.03,0,0,0,0,3441550.15,960.0
2025-12-06T16:09:00.111334Z,KXNCAAFTOTAL-25DEC06DUKEUVA-69,Duke at Virginia: Total Points,active,binary,2025-12-20T20:00:00-05:00,0.2,,0.28,,0.72,,0.8,,0.08,0.08,0,0,0,0,2806731.81,343.0
2025-12-06T16:08:59.474548Z,KXNCAAFTOTAL-25DEC06DUKEUVA-66,Duke at Virginia: Total Points,active,binary,2025-12-20T20:00:00-05:00,0.28,,0.32,,0.68,,0.72,,0.04,0.04,0,0,0,0,1866504.19,350.0
2025-12-06T16:09:00.110833Z,KXNCAAFTOTAL-25DEC06DUKEUVA-63,Duke at Virginia: Total Points,active,binary,2025-12-20T20:00:00-05:00,0.35,,0.38,,0.62,,0.65,,0.03,0.03,0,0,0,0,2750295.99,112.0
2025-12-06T16:08:59.731846Z,KXNCAAFTOTAL-25DEC06DUKEUVA-60,Duke at Virginia: Total Points,active,binary,2025-12-20T20:00:00-05:00,0.43,,0.45,,0.55,,0.57,,0.02,0.02,0,0,0,0,2859088.88,505.0
