timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-06T16:08:48.853271Z,KXNCAAFGAME-25DEC06DUKEUVA-UVA,Duke at Virginia Winner?,active,binary,2025-12-20T20:00:00-05:00,0.63,,0.64,,0.36,,0.37,,0.01,0.01,0,0,0,0,9320000.05,369846.0
2025-12-06T16:08:46.439784Z,KXNCAAFGAME-25DEC06DUKEUVA-DUKE,Duke at Virginia Winner?,active,binary,2025-12-20T20:00:00-05:00,0.37,,0.38,,0.62,,0.63,,0.01,0.01,0,0,0,0,8446378.76,46833.0
2025-12-06T16:08:46.120368Z,KXNCAAFGAME-25DEC06UGAALA-UGA,Georgia at Alabama Winner?,active,binary,2025-12-20T16:00:00-05:00,0.52,,0.53,,0.47,,0.48,,0.01,0.01,0,0,0,0,11902746.04,547709.0
2025-12-06T16:08:46.126246Z,KXNCAAFGAME-25DEC06UGAALA-ALA,Georgia at Alabama Winner?,active,binary,2025-12-20T16:00:00-05:00,0.47,,0.48,,0.52,,0.53,,0.01,0.01,0,0,0,0,10994593.87,423475.0
2025-12-06T16:08:46.129743Z,KXNCAAFGAME-25DEC06INDOSU-OSU,Indiana at Ohio St. Winner?,active,binary,2025-12-20T20:00:00-05:00,0.63,,0.64,,0.36,,0.37,,0.01,0.01,0,0,0,0,12065183.29,822302.0
2025-12-06T16:08:46.123999Z,KXNCAAFGAME-25DEC06INDOSU-IND,Indiana at Ohio St. Winner?,active,binary,2025-12-20T20:00:00-05:00,0.36,,0.37,,0.63,,0.64,,0.01,0.01,0,0,0,0,11058023.55,307880.0
2025-12-06T16:08:46.128373Z,KXNCAAFGAME-25DEC06BYUTTU-TTU,BYU at Texas Tech Winner?,active,binary,2025-12-20T12:00:00-05:00,0.81,,0.82,,0.18,,0.19,,0.01,0.01,0,0,0,0,10666334.7,1065080.0
2025-12-06T16:08:46.126674Z,KXNCAAFGAME-25DEC06BYUTTU-BYU,BYU at Texas Tech Winner?,active,binary,2025-12-20T12:00:00-05:00,0.18,,0.19,,0.81,,0.82,,0.01,0.01,0,0,0,0,8645160.6,1117419.0
2025-12-06T16:08:46.127094Z,KXNCAAFGAME-25DEC06M-OHWMU-WMU,Miami (OH) at Western Michigan Winner?,active,binary,2025-12-20T12:00:00-05:00,0.54,,0.55,,0.45,,0.46,,0.01,0.01,0,0,0,0,7442610.6,466062.0
2025-12-06T16:08:46.125187Z,KXNCAAFGAME-25DEC06M-OHWMU-M-OH,Miami (OH) at Western Michigan Winner?,active,binary,2025-12-20T12:00:00-05:00,0.45,,0.46,,0.54,,0.55,,0.01,0.01,0,0,0,0,7038894.68,184962.0
