timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-07T16:10:15.290064Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ58,Gonzaga wins by over 58.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.03,,0.56,,0.44,,0.97,,0.53,0.53,0,0,0,0,665454.99,0.0
2025-12-07T16:10:15.764559Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ55,Gonzaga wins by over 55.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.03,,0.63,,0.37,,0.97,,0.6,0.6,0,0,0,0,724304.15,0.0
2025-12-07T16:10:16.625803Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ52,Gonzaga wins by over 52.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.04,,0.69,,0.31,,0.96,,0.65,0.65,0,0,0,0,730493.81,0.0
2025-12-07T16:10:15.786624Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ49,Gonzaga wins by over 49.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.08,,0.73,,0.27,,0.92,,0.65,0.65,0,0,0,0,756932.75,0.0
2025-12-07T16:10:16.631668Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ46,Gonzaga wins by over 46.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.48,,0.53,,0.47,,0.52,,0.05,0.05,0,0,0,0,766317.78,0.0
2025-12-07T16:10:15.344347Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ43,Gonzaga wins by over 43.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.21,,0.79,,0.21,,0.79,,0.58,0.58,0,0,0,0,835372.32,2.0
2025-12-07T16:10:15.387585Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ40,Gonzaga wins by over 40.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.23,,0.88,,0.12,,0.77,,0.65,0.65,0,0,0,0,763535.9,0.0
2025-12-07T16:10:15.871219Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ37,Gonzaga wins by over 37.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.27,,0.92,,0.08,,0.73,,0.65,0.65,0,0,0,0,756941.27,0.0
2025-12-07T16:10:15.637499Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ34,Gonzaga wins by over 34.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.31,,0.95,,0.05,,0.69,,0.64,0.64,0,0,0,0,756052.37,0.0
2025-12-07T16:10:15.685063Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ31,Gonzaga wins by over 31.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.37,,0.97,,0.03,,0.63,,0.6,0.6,0,0,0,0,724303.11,0.0
2025-12-07T16:10:15.707758Z,KXNCAAMBSPREAD-25DEC07UNFGONZ-GONZ28,Gonzaga wins by over 28.5 Points?,active,binary,2025-12-21T21:00:00-05:00,0.45,,0.97,,0.03,,0.55,,0.52,0.52,0,0,0,0,665435.39,0.0
2025-12-07T16:10:15.729911Z,KXNCAAMBSPREAD-25DEC07UTEPSEA-UTEP4,UTEP wins by over 4.5 Points?,active,binary,2025-12-21T20:00:00-05:00,0.05,,0.11,,0.89,,0.95,,0.06,0.06,0,0,0,0,2592.29,0.0
2025-12-07T16:10:15.752476Z,KXNCAAMBSPREAD-25DEC07UTEPSEA-UTEP1,UTEP wins by over 1.5 Points?,active,binary,2025-12-21T20:00:00-05:00,0.08,,0.15,,0.85,,0.92,,0.07,0.07,0,0,0,0,5076.16,0.0
2025-12-07T16:10:17.086334Z,KXNCAAMBSPREAD-25DEC07UTEPSEA-SEA8,Seattle wins by over 8.5 Points?,active,binary,2025-12-21T20:00:00-05:00,0.61,,0.68,,0.32,,0.39,,0.07,0.07,0,0,0,0,3997.12,0.0
2025-12-07T16:10:16.237488Z,KXNCAAMBSPREAD-25DEC07UTEPSEA-SEA5,Seattle wins by over 5.5 Points?,active,binary,2025-12-21T20:00:00-05:00,0.71,,0.78,,0.22,,0.29,,0.07,0.07,0,0,0,0,3465.45,0.0
