timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-08T17:24:09.730094Z,KXNBASPREAD-25DEC08SASNOP-SAS9,San Antonio wins by over 9.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.48,,0.51,,0.49,,0.52,,0.03,0.03,0,0,0,0,613123.41,0.0
2025-12-08T17:24:10.196478Z,KXNBASPREAD-25DEC08SASNOP-SAS6,San Antonio wins by over 6.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.6,,0.62,,0.38,,0.4,,0.02,0.02,0,0,0,0,475112.72,0.0
2025-12-08T17:24:11.077318Z,KXNBASPREAD-25DEC08SASNOP-SAS3,San Antonio wins by over 3.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.69,,0.74,,0.26,,0.31,,0.05,0.05,0,0,0,0,460334.33,0.0
2025-12-08T17:24:09.717652Z,KXNBASPREAD-25DEC08SASNOP-SAS24,San Antonio wins by over 24.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.12,,0.13,,0.87,,0.88,,0.01,0.01,0,0,0,0,557554.13,0.0
2025-12-08T17:24:10.198174Z,KXNBASPREAD-25DEC08SASNOP-SAS21,San Antonio wins by over 21.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.14,,0.19,,0.81,,0.86,,0.05,0.05,0,0,0,0,435177.4,0.0
2025-12-08T17:24:09.732588Z,KXNBASPREAD-25DEC08SASNOP-SAS18,San Antonio wins by over 18.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.21,,0.26,,0.74,,0.79,,0.05,0.05,0,0,0,0,429442.22,0.0
2025-12-08T17:24:11.117086Z,KXNBASPREAD-25DEC08SASNOP-SAS15,San Antonio wins by over 15.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.29,,0.34,,0.66,,0.71,,0.05,0.05,0,0,0,0,460356.72,0.0
2025-12-08T17:24:11.118621Z,KXNBASPREAD-25DEC08SASNOP-SAS12,San Antonio wins by over 12.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.38,,0.42,,0.58,,0.62,,0.04,0.04,0,0,0,0,454105.81,0.0
2025-12-08T17:24:11.118017Z,KXNBASPREAD-25DEC08SASNOP-NOP6,New Orleans wins by over 6.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.11,,0.12,,0.88,,0.89,,0.01,0.01,0,0,0,0,630776.34,0.0
2025-12-08T17:24:09.774990Z,KXNBASPREAD-25DEC08SASNOP-NOP3,New Orleans wins by over 3.5 Points?,active,binary,2025-12-22T20:00:00-05:00,0.13,,0.18,,0.82,,0.87,,0.05,0.05,0,0,0,0,534100.39,0.0
2025-12-08T17:24:10.242368Z,KXNBASPREAD-25DEC08SACIND-SAC9,Sacramento wins by over 9.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.12,,0.15,,0.85,,0.88,,0.03,0.03,0,0,0,0,539726.2,0.0
2025-12-08T17:24:09.944165Z,KXNBASPREAD-25DEC08SACIND-SAC6,Sacramento wins by over 6.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.2,,0.24,,0.76,,0.8,,0.04,0.04,0,0,0,0,331715.53,0.0
2025-12-08T17:24:11.119381Z,KXNBASPREAD-25DEC08SACIND-SAC3,Sacramento wins by over 3.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.3,,0.32,,0.68,,0.7,,0.02,0.02,0,0,0,0,476789.21,0.0
2025-12-08T17:24:10.274187Z,KXNBASPREAD-25DEC08SACIND-SAC12,Sacramento wins by over 12.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.08,,0.1,,0.9,,0.92,,0.02,0.02,0,0,0,0,628031.13,0.0
2025-12-08T17:24:10.001963Z,KXNBASPREAD-25DEC08SACIND-IND9,Indiana wins by over 9.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.29,,0.32,,0.68,,0.71,,0.03,0.03,0,0,0,0,477927.64,0.0
2025-12-08T17:24:10.065264Z,KXNBASPREAD-25DEC08SACIND-IND6,Indiana wins by over 6.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.39,,0.41,,0.59,,0.61,,0.02,0.02,0,0,0,0,511229.74,0.0
2025-12-08T17:24:10.126242Z,KXNBASPREAD-25DEC08SACIND-IND3,Indiana wins by over 3.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.53,,0.54,,0.46,,0.47,,0.01,0.01,0,0,0,0,584252.36,0.0
2025-12-08T17:24:10.191621Z,KXNBASPREAD-25DEC08SACIND-IND18,Indiana wins by over 18.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.11,,0.13,,0.87,,0.89,,0.02,0.02,0,0,0,0,570060.24,0.0
2025-12-08T17:24:10.717765Z,KXNBASPREAD-25DEC08SACIND-IND15,Indiana wins by over 15.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.15,,0.18,,0.82,,0.85,,0.03,0.03,0,0,0,0,446109.57,0.0
2025-12-08T17:24:10.716194Z,KXNBASPREAD-25DEC08SACIND-IND12,Indiana wins by over 12.5 Points?,active,binary,2025-12-22T19:00:00-05:00,0.21,,0.24,,0.76,,0.79,,0.03,0.03,0,0,0,0,434674.22,0.0
2025-12-08T17:24:11.576286Z,KXNBASPREAD-25DEC08PHXMIN-PHX6,Phoenix wins by over 6.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.11,,0.12,,0.88,,0.89,,0.01,0.01,0,0,0,0,628861.27,0.0
2025-12-08T17:24:11.579272Z,KXNBASPREAD-25DEC08PHXMIN-PHX3,Phoenix wins by over 3.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.13,,0.16,,0.84,,0.87,,0.03,0.03,0,0,0,0,545531.05,0.0
2025-12-08T17:24:11.627649Z,KXNBASPREAD-25DEC08PHXMIN-MIN9,Minnesota wins by over 9.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.51,,0.53,,0.47,,0.49,,0.02,0.02,0,0,0,0,597015.93,0.0
2025-12-08T17:24:10.332851Z,KXNBASPREAD-25DEC08PHXMIN-MIN6,Minnesota wins by over 6.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.62,,0.63,,0.37,,0.38,,0.01,0.01,0,0,0,0,484921.42,0.0
2025-12-08T17:24:10.398144Z,KXNBASPREAD-25DEC08PHXMIN-MIN3,Minnesota wins by over 3.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.71,,0.72,,0.28,,0.29,,0.01,0.01,0,0,0,0,493097.75,0.0
2025-12-08T17:24:10.479390Z,KXNBASPREAD-25DEC08PHXMIN-MIN24,Minnesota wins by over 24.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.12,,0.14,,0.86,,0.88,,0.02,0.02,0,0,0,0,558434.59,0.0
2025-12-08T17:24:10.536025Z,KXNBASPREAD-25DEC08PHXMIN-MIN21,Minnesota wins by over 21.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.18,,0.2,,0.8,,0.82,,0.02,0.02,0,0,0,0,435621.7,0.0
2025-12-08T17:24:10.607227Z,KXNBASPREAD-25DEC08PHXMIN-MIN18,Minnesota wins by over 18.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.24,,0.27,,0.73,,0.76,,0.03,0.03,0,0,0,0,457462.23,0.0
2025-12-08T17:24:10.675600Z,KXNBASPREAD-25DEC08PHXMIN-MIN15,Minnesota wins by over 15.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.32,,0.35,,0.65,,0.68,,0.03,0.03,0,0,0,0,464974.24,0.0
2025-12-08T17:24:10.725137Z,KXNBASPREAD-25DEC08PHXMIN-MIN12,Minnesota wins by over 12.5 Points?,active,binary,2025-12-22T19:30:00-05:00,0.39,,0.41,,0.59,,0.61,,0.02,0.02,0,0,0,0,505227.94,0.0
