timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth_bids,yes_depth_asks,no_depth_bids,no_depth_asks,liquidity_dollars,volume_24h
2025-12-08T17:14:35.570573Z,KXNCAAMBTOTAL-25DEC08SOUTEX-169,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.14,,0.21,,0.79,,0.86,,0.07,0.07,0,0,0,0,1483899.8,0.0
2025-12-08T17:14:36.068002Z,KXNCAAMBTOTAL-25DEC08SOUTEX-166,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.2,,0.27,,0.73,,0.8,,0.07,0.07,0,0,0,0,944469.87,0.0
2025-12-08T17:14:36.272358Z,KXNCAAMBTOTAL-25DEC08SOUTEX-163,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.26,,0.34,,0.66,,0.74,,0.08,0.08,0,0,0,0,1303068.07,0.0
2025-12-08T17:14:35.682577Z,KXNCAAMBTOTAL-25DEC08SOUTEX-160,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.33,,0.41,,0.59,,0.67,,0.08,0.08,0,0,0,0,1321774.23,0.0
2025-12-08T17:14:35.752527Z,KXNCAAMBTOTAL-25DEC08SOUTEX-157,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.41,,0.47,,0.53,,0.59,,0.06,0.06,0,0,0,0,1394961.5,0.0
2025-12-08T17:14:35.830528Z,KXNCAAMBTOTAL-25DEC08SOUTEX-154,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.49,,0.52,,0.48,,0.51,,0.03,0.03,0,0,0,0,1394408.49,0.0
2025-12-08T17:14:36.111540Z,KXNCAAMBTOTAL-25DEC08SOUTEX-151,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.55,,0.61,,0.39,,0.45,,0.06,0.06,0,0,0,0,1337813.64,0.0
2025-12-08T17:14:36.067355Z,KXNCAAMBTOTAL-25DEC08SOUTEX-148,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.61,,0.69,,0.31,,0.39,,0.08,0.08,0,0,0,0,1197272.91,0.0
2025-12-08T17:14:36.090629Z,KXNCAAMBTOTAL-25DEC08SOUTEX-145,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.67,,0.74,,0.26,,0.33,,0.07,0.07,0,0,0,0,1012519.94,0.0
2025-12-08T17:14:37.474005Z,KXNCAAMBTOTAL-25DEC08SOUTEX-142,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.72,,0.79,,0.21,,0.28,,0.07,0.07,0,0,0,0,1571154.68,0.0
2025-12-08T17:14:37.473198Z,KXNCAAMBTOTAL-25DEC08SOUTEX-139,Southern University at Texas: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.77,,0.84,,0.16,,0.23,,0.07,0.07,0,0,0,0,1654454.4,0.0
2025-12-08T17:14:37.501251Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-168,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.01,,0.52,,0.48,,0.99,,0.51,0.51,0,0,0,0,1482585.49,0.0
2025-12-08T17:14:36.614787Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-165,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.01,,0.64,,0.36,,0.99,,0.63,0.63,0,0,0,0,943543.95,0.0
2025-12-08T17:14:36.168599Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-162,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.37,,0.43,,0.57,,0.63,,0.06,0.06,0,0,0,0,1302858.24,0.0
2025-12-08T17:14:36.236983Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-159,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.47,,0.49,,0.51,,0.53,,0.02,0.02,0,0,0,0,1328743.92,0.0
2025-12-08T17:14:36.307860Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-156,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.55,,0.57,,0.43,,0.45,,0.02,0.02,0,0,0,0,1402806.3,0.0
2025-12-08T17:14:36.805945Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-153,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.56,,0.74,,0.26,,0.44,,0.18,0.18,0,0,0,0,1386450.18,0.0
2025-12-08T17:14:36.383038Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-150,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.24,,0.95,,0.05,,0.76,,0.71,0.71,0,0,0,0,1309959.06,0.0
2025-12-08T17:14:36.450611Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-147,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.32,,0.99,,0.01,,0.68,,0.67,0.67,0,0,0,0,1196412.34,0.0
2025-12-08T17:14:36.520879Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-144,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.8,,0.99,,0.01,,0.2,,0.19,0.19,0,0,0,0,1010647.15,0.0
2025-12-08T17:14:37.011402Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-141,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.47,,0.99,,0.01,,0.53,,0.52,0.52,0,0,0,0,1568960.85,0.0
2025-12-08T17:14:36.606120Z,KXNCAAMBTOTAL-25DEC08MVSUKSU-138,Mississippi Valley St. at Kansas St.: Total Points,active,binary,2025-12-22T20:00:00-05:00,0.8,,0.99,,0.01,,0.2,,0.19,0.19,0,0,0,0,1625962.47,0.0
