timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-161,Texas at UConn: Total Points,active,binary,,0.14,0.22,0.78,0.86,0.08,0.08,1505729.16,122.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-158,Texas at UConn: Total Points,active,binary,,0.19,0.26,0.74,0.81,0.07,0.07,1484635.85,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-155,Texas at UConn: Total Points,active,binary,,0.25,0.29,0.71,0.75,0.04,0.04,947061.97,339.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-152,Texas at UConn: Total Points,active,binary,,0.32,0.38,0.62,0.68,0.06,0.06,1293681.79,57.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-149,Texas at UConn: Total Points,active,binary,,0.39,0.45,0.55,0.61,0.06,0.06,1326939.93,87.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-146,Texas at UConn: Total Points,active,binary,,0.49,0.51,0.49,0.51,0.02,0.02,1391900.33,9409.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-143,Texas at UConn: Total Points,active,binary,,0.57,0.59,0.41,0.43,0.02,0.02,1383677.08,2128.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-140,Texas at UConn: Total Points,active,binary,,0.6,0.66,0.34,0.4,0.06,0.06,1313494.21,397.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-137,Texas at UConn: Total Points,active,binary,,0.67,0.74,0.26,0.33,0.07,0.07,1200080.91,81.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-134,Texas at UConn: Total Points,active,binary,,0.73,0.8,0.2,0.27,0.07,0.07,1014906.52,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12TEXCONN-131,Texas at UConn: Total Points,active,binary,,0.78,0.86,0.14,0.22,0.08,0.08,1585355.86,128.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-162,Missouri St. at Xavier: Total Points,active,binary,,0.23,0.25,0.75,0.77,0.02,0.02,1491759.51,10.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-159,Missouri St. at Xavier: Total Points,active,binary,,0.28,0.32,0.68,0.72,0.04,0.04,953868.03,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-156,Missouri St. at Xavier: Total Points,active,binary,,0.33,0.38,0.62,0.67,0.05,0.05,1301519.13,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-153,Missouri St. at Xavier: Total Points,active,binary,,0.39,0.45,0.55,0.61,0.06,0.06,1332734.96,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-150,Missouri St. at Xavier: Total Points,active,binary,,0.51,0.52,0.48,0.49,0.01,0.01,1399248.98,7123.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-147,Missouri St. at Xavier: Total Points,active,binary,,0.57,0.6,0.4,0.43,0.03,0.03,1398264.93,1059.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-144,Missouri St. at Xavier: Total Points,active,binary,,0.61,0.67,0.33,0.39,0.06,0.06,1321128.41,60.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-141,Missouri St. at Xavier: Total Points,active,binary,,0.67,0.72,0.28,0.33,0.05,0.05,1207403.12,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-138,Missouri St. at Xavier: Total Points,active,binary,,0.73,0.79,0.21,0.27,0.06,0.06,1025003.82,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-135,Missouri St. at Xavier: Total Points,active,binary,,0.77,0.84,0.16,0.23,0.07,0.07,1589954.36,0.0
2025-12-12T17:51:44.100141-05:00,KXNCAAMBTOTAL-25DEC12MOSUXAV-132,Missouri St. at Xavier: Total Points,active,binary,,0.81,0.88,0.12,0.19,0.07,0.07,1647522.38,171.0
