timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-SAS5,San Antonio wins by over 5.5 Points?,active,binary,,0.09,0.12,0.88,0.91,0.03,0.03,602130.38,55441.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-SAS2,San Antonio wins by over 2.5 Points?,active,binary,,0.13,0.17,0.83,0.87,0.04,0.04,538353.68,510.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC7,Oklahoma City wins by over 7.5 Points?,active,binary,,0.61,0.64,0.36,0.39,0.03,0.03,493908.67,5353.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC4,Oklahoma City wins by over 4.5 Points?,active,binary,,0.7,0.75,0.25,0.3,0.05,0.05,485290.18,1119.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC25,Oklahoma City wins by over 25.5 Points?,active,binary,,0.1,0.2,0.8,0.9,0.1,0.1,598500.22,7104.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC22,Oklahoma City wins by over 22.5 Points?,active,binary,,0.16,0.2,0.8,0.84,0.04,0.04,540423.79,733.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC19,Oklahoma City wins by over 19.5 Points?,active,binary,,0.23,0.27,0.73,0.77,0.04,0.04,433809.02,906.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC16,Oklahoma City wins by over 16.5 Points?,active,binary,,0.3,0.34,0.66,0.7,0.04,0.04,455816.86,112.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC13,Oklahoma City wins by over 13.5 Points?,active,binary,,0.39,0.4,0.6,0.61,0.01,0.01,529257.5,1408.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC10,Oklahoma City wins by over 10.5 Points?,active,binary,,0.5,0.51,0.49,0.5,0.01,0.01,533798.06,74071.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13SASOKC-OKC1,Oklahoma City wins by over 1.5 Points?,active,binary,,0.77,0.82,0.18,0.23,0.05,0.05,477007.3,105.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-ORL8,Orlando wins by over 8.5 Points?,active,binary,,0.13,0.17,0.83,0.87,0.04,0.04,544682.08,260.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-ORL5,Orlando wins by over 5.5 Points?,active,binary,,0.2,0.25,0.75,0.8,0.05,0.05,435721.96,364.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-ORL2,Orlando wins by over 2.5 Points?,active,binary,,0.28,0.33,0.67,0.72,0.05,0.05,417899.81,1798.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-ORL11,Orlando wins by over 11.5 Points?,active,binary,,0.08,0.12,0.88,0.92,0.04,0.04,622497.78,399.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK7,New York K wins by over 7.5 Points?,active,binary,,0.39,0.4,0.6,0.61,0.01,0.01,606286.84,57864.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK4,New York K wins by over 4.5 Points?,active,binary,,0.51,0.52,0.48,0.49,0.01,0.01,799946.8,108208.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK19,New York K wins by over 19.5 Points?,active,binary,,0.1,0.13,0.87,0.9,0.03,0.03,548650.69,403.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK16,New York K wins by over 16.5 Points?,active,binary,,0.14,0.18,0.82,0.86,0.04,0.04,326163.96,50.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK13,New York K wins by over 13.5 Points?,active,binary,,0.2,0.25,0.75,0.8,0.05,0.05,444090.86,239.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK10,New York K wins by over 10.5 Points?,active,binary,,0.28,0.33,0.67,0.72,0.05,0.05,471127.45,310.0
2025-12-13T14:44:00.431129-05:00,KXNBASPREAD-25DEC13NYKORL-NYK1,New York K wins by over 1.5 Points?,active,binary,,0.6,0.64,0.36,0.4,0.04,0.04,457477.67,853.0
