timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH9,Washington wins by over 9.5 points?,active,binary,,0.5,0.51,0.49,0.5,0.01,0.01,2901226.04,44635.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH7,Washington wins by over 7.5 points?,active,binary,,0.53,0.56,0.44,0.47,0.03,0.03,2745054.29,4958.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH6,Washington wins by over 6.5 points?,active,binary,,0.6,0.62,0.38,0.4,0.02,0.02,2614752.96,11489.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH3,Washington wins by over 3.5 points?,active,binary,,0.67,0.68,0.32,0.33,0.01,0.01,2502928.2,5.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH20,Washington wins by over 20.5 points?,active,binary,,0.16,0.32,0.68,0.84,0.16,0.16,1783771.66,291.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH2,Washington wins by over 2.5 points?,active,binary,,0.71,0.73,0.27,0.29,0.02,0.02,2621918.73,280.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH17,Washington wins by over 17.5 points?,active,binary,,0.29,0.31,0.69,0.71,0.02,0.02,2714013.01,258.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH14,Washington wins by over 14.5 points?,active,binary,,0.36,0.38,0.62,0.64,0.02,0.02,2612390.38,1255.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH13,Washington wins by over 13.5 points?,active,binary,,0.39,0.43,0.57,0.61,0.04,0.04,2559344.62,1413.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-WASH10,Washington wins by over 10.5 points?,active,binary,,0.45,0.46,0.54,0.55,0.01,0.01,2768614.77,27321.0
2025-12-13T14:44:13.744653-05:00,KXNCAAFSPREAD-25DEC13BSUWASH-BSU9,Boise St. wins by over 9.5 points?,active,binary,,0.07,0.22,0.78,0.93,0.15,0.15,3332736.36,0.0
