timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-59,Minnesota at Dallas: Total Points,active,binary,,0.18,0.2,0.8,0.82,0.02,0.02,2803609.98,225.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-56,Minnesota at Dallas: Total Points,active,binary,,0.25,0.27,0.73,0.75,0.02,0.02,2624878.38,45.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-53,Minnesota at Dallas: Total Points,active,binary,,0.32,0.35,0.65,0.68,0.03,0.03,2884675.84,10.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-50,Minnesota at Dallas: Total Points,active,binary,,0.41,0.42,0.58,0.59,0.01,0.01,2976955.3,689.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-47,Minnesota at Dallas: Total Points,active,binary,,0.5,0.52,0.48,0.5,0.02,0.02,3179193.84,10426.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-44,Minnesota at Dallas: Total Points,active,binary,,0.6,0.61,0.39,0.4,0.01,0.01,2840798.45,229.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-41,Minnesota at Dallas: Total Points,active,binary,,0.68,0.7,0.3,0.32,0.02,0.02,2671384.51,37.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-38,Minnesota at Dallas: Total Points,active,binary,,0.74,0.79,0.21,0.26,0.05,0.05,1886338.63,160.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14MINDAL-35,Minnesota at Dallas: Total Points,active,binary,,0.83,0.86,0.14,0.17,0.03,0.03,3528873.77,10.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-62,Detroit at Los Angeles R: Total Points,active,binary,,0.29,0.32,0.68,0.71,0.03,0.03,2335883.86,241.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-59,Detroit at Los Angeles R: Total Points,active,binary,,0.36,0.39,0.61,0.64,0.03,0.03,2331113.29,831.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-56,Detroit at Los Angeles R: Total Points,active,binary,,0.44,0.45,0.55,0.56,0.01,0.01,2614840.61,18385.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-53,Detroit at Los Angeles R: Total Points,active,binary,,0.54,0.55,0.45,0.46,0.01,0.01,2854603.52,8152.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-50,Detroit at Los Angeles R: Total Points,active,binary,,0.6,0.62,0.38,0.4,0.02,0.02,2377519.69,4618.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-47,Detroit at Los Angeles R: Total Points,active,binary,,0.69,0.7,0.3,0.31,0.01,0.01,2446942.49,461.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-44,Detroit at Los Angeles R: Total Points,active,binary,,0.78,0.79,0.21,0.22,0.01,0.01,1405931.84,220.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-41,Detroit at Los Angeles R: Total Points,active,binary,,0.83,0.86,0.14,0.17,0.03,0.03,2459634.27,542.0
2025-12-14T12:07:12.455261-05:00,KXNFLTOTAL-25DEC14DETLA-38,Detroit at Los Angeles R: Total Points,active,binary,,0.89,0.9,0.1,0.11,0.01,0.01,2521038.63,190.0
