timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT9,Pittsburgh wins by over 9.5 points?,active,binary,,0.28,0.29,0.71,0.72,0.01,0.01,2670556.06,2131.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT7,Pittsburgh wins by over 7.5 points?,active,binary,,0.32,0.33,0.67,0.68,0.01,0.01,2746333.32,2398.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT6,Pittsburgh wins by over 6.5 points?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2766996.08,22772.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT3,Pittsburgh wins by over 3.5 points?,active,binary,,0.47,0.48,0.52,0.53,0.01,0.01,4111174.6,308283.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT2,Pittsburgh wins by over 2.5 points?,active,binary,,0.56,0.58,0.42,0.44,0.02,0.02,2988201.68,28694.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT17,Pittsburgh wins by over 17.5 points?,active,binary,,0.13,0.14,0.86,0.87,0.01,0.01,3266122.58,476.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT14,Pittsburgh wins by over 14.5 points?,active,binary,,0.17,0.18,0.82,0.83,0.01,0.01,3037624.76,573.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT13,Pittsburgh wins by over 13.5 points?,active,binary,,0.19,0.21,0.79,0.81,0.02,0.02,1877953.61,109.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-PIT10,Pittsburgh wins by over 10.5 points?,active,binary,,0.25,0.26,0.74,0.75,0.01,0.01,2568299.27,23067.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA9,Miami wins by over 9.5 points?,active,binary,,0.13,0.15,0.85,0.87,0.02,0.02,2504930.92,3181.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA7,Miami wins by over 7.5 points?,active,binary,,0.15,0.17,0.83,0.85,0.02,0.02,2193290.47,39043.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA6,Miami wins by over 6.5 points?,active,binary,,0.19,0.21,0.79,0.81,0.02,0.02,2369759.78,4292.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA3,Miami wins by over 3.5 points?,active,binary,,0.26,0.29,0.71,0.74,0.03,0.03,2600655.33,51596.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA2,Miami wins by over 2.5 points?,active,binary,,0.33,0.35,0.65,0.67,0.02,0.02,2533624.63,14407.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA14,Miami wins by over 14.5 points?,active,binary,,0.07,0.09,0.91,0.93,0.02,0.02,3327281.28,181.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA13,Miami wins by over 13.5 points?,active,binary,,0.08,0.1,0.9,0.92,0.02,0.02,3253166.78,1230.0
2025-12-15T12:51:29.788058-05:00,KXNFLSPREAD-25DEC15MIAPIT-MIA10,Miami wins by over 10.5 points?,active,binary,,0.11,0.13,0.87,0.89,0.02,0.02,3044993.87,261.0
