timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31POROKC-POR,Portland vs Oklahoma City Winner?,active,binary,,0.1,0.12,0.88,0.9,0.02,0.02,2605118.87,133900.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31POROKC-OKC,Portland vs Oklahoma City Winner?,active,binary,,0.88,0.89,0.11,0.12,0.01,0.01,3045537.78,51848.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31NYKSAS-SAS,New York vs San Antonio Winner?,active,binary,,0.55,0.56,0.44,0.45,0.01,0.01,3812443.74,113202.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31NYKSAS-NYK,New York vs San Antonio Winner?,active,binary,,0.44,0.45,0.55,0.56,0.01,0.01,3797610.3,76281.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31NOPCHI-NOP,New Orleans vs Chicago Winner?,active,binary,,0.46,0.47,0.53,0.54,0.01,0.01,2538989.4,58260.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31NOPCHI-CHI,New Orleans vs Chicago Winner?,active,binary,,0.53,0.54,0.46,0.47,0.01,0.01,2554228.15,30684.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31WASMIL-WAS,Washington vs Milwaukee Winner?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,2738162.21,30851.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31WASMIL-MIL,Washington vs Milwaukee Winner?,active,binary,,0.81,0.82,0.18,0.19,0.01,0.01,532175.95,5385.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31DENTOR-TOR,Denver vs Toronto Winner?,active,binary,,0.7,0.71,0.29,0.3,0.01,0.01,2946991.06,82173.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31DENTOR-DEN,Denver vs Toronto Winner?,active,binary,,0.29,0.31,0.69,0.71,0.02,0.02,2772872.32,107422.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31MINATL-MIN,Minnesota vs Atlanta Winner?,active,binary,,0.65,0.66,0.34,0.35,0.01,0.01,3045249.68,69815.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31MINATL-ATL,Minnesota vs Atlanta Winner?,active,binary,,0.35,0.36,0.64,0.65,0.01,0.01,2968889.75,69377.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31PHXCLE-PHX,Phoenix vs Cleveland Winner?,active,binary,,0.32,0.33,0.67,0.68,0.01,0.01,3364297.82,116141.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31PHXCLE-CLE,Phoenix vs Cleveland Winner?,active,binary,,0.69,0.7,0.3,0.31,0.01,0.01,3506376.2,26311.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31ORLIND-ORL,Orlando vs Indiana Winner?,active,binary,,0.61,0.62,0.38,0.39,0.01,0.01,2943152.39,148536.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31ORLIND-IND,Orlando vs Indiana Winner?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2918669.48,53104.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31GSWCHA-GSW,Golden State vs Charlotte Winner?,active,binary,,0.7,0.72,0.28,0.3,0.02,0.02,3269812.36,165165.0
2025-12-31T11:27:17.082399-05:00,KXNBAGAME-25DEC31GSWCHA-CHA,Golden State vs Charlotte Winner?,active,binary,,0.29,0.3,0.7,0.71,0.01,0.01,3065333.69,136438.0
