timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31BUCKHC-HC2,Holy Cross wins by over 2.5 Points?,active,binary,,0.36,0.4,0.6,0.64,0.04,0.04,5885.32,1.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31BUCKHC-BUCK4,Bucknell wins by over 4.5 Points?,active,binary,,0.4,0.44,0.56,0.6,0.04,0.04,7665.7,10.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31BUCKHC-BUCK1,Bucknell wins by over 1.5 Points?,active,binary,,0.53,0.56,0.44,0.47,0.03,0.03,7059.58,96.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31LMDAMER-AMER8,American wins by over 8.5 Points?,active,binary,,0.54,0.57,0.43,0.46,0.03,0.03,6328.17,80.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31LMDAMER-AMER5,American wins by over 5.5 Points?,active,binary,,0.64,0.69,0.31,0.36,0.05,0.05,4981.26,63.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31LMDAMER-AMER11,American wins by over 11.5 Points?,active,binary,,0.43,0.46,0.54,0.57,0.03,0.03,6287.97,10.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31DREXUNCW-UNCW9,UNC Wilmington wins by over 9.5 Points?,active,binary,,0.57,0.61,0.39,0.43,0.04,0.04,10550.07,1.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31DREXUNCW-UNCW15,UNC Wilmington wins by over 15.5 Points?,active,binary,,0.35,0.41,0.59,0.65,0.06,0.06,8707.5,0.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31DREXUNCW-UNCW12,UNC Wilmington wins by over 12.5 Points?,active,binary,,0.46,0.49,0.51,0.54,0.03,0.03,14423.05,0.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31SFANWST-SFA8,Stephen F. Austin wins by over 8.5 Points?,active,binary,,0.49,0.52,0.48,0.51,0.03,0.03,6068.28,235.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31SFANWST-SFA5,Stephen F. Austin wins by over 5.5 Points?,active,binary,,0.58,0.64,0.36,0.42,0.06,0.06,4859.7,0.0
2025-12-31T11:28:12.241695-05:00,KXNCAAMBSPREAD-25DEC31SFANWST-SFA11,Stephen F. Austin wins by over 11.5 Points?,active,binary,,0.36,0.42,0.58,0.64,0.06,0.06,6505.53,0.0
