timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31SJUGTWN-SJU,St. John's at Georgetown Winner?,active,binary,,0.78,0.79,0.21,0.22,0.01,0.01,2417885.13,895.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31SJUGTWN-GTWN,St. John's at Georgetown Winner?,active,binary,,0.21,0.23,0.77,0.79,0.02,0.02,2412858.83,3923.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31DREXUNCW-UNCW,Drexel at UNC Wilmington Winner?,active,binary,,0.87,0.89,0.11,0.13,0.02,0.02,44884.36,939.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31DREXUNCW-DREX,Drexel at UNC Wilmington Winner?,active,binary,,0.12,0.14,0.86,0.88,0.02,0.02,42620.45,541.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31DEPVILL-VILL,DePaul at Villanova Winner?,active,binary,,0.89,0.9,0.1,0.11,0.01,0.01,90440.27,10403.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31DEPVILL-DEP,DePaul at Villanova Winner?,active,binary,,0.11,0.12,0.88,0.89,0.01,0.01,52855.75,3098.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31NICHUTRGV-UTRGV,Nicholls St. at UT Rio Grande Valley Winner?,active,binary,,0.57,0.6,0.4,0.43,0.03,0.03,21452.08,556.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31NICHUTRGV-NICH,Nicholls St. at UT Rio Grande Valley Winner?,active,binary,,0.4,0.43,0.57,0.6,0.03,0.03,18740.89,166.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31CONNXAV-XAV,UConn at Xavier Winner?,active,binary,,0.14,0.15,0.85,0.86,0.01,0.01,2019495.87,9636.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31CONNXAV-CONN,UConn at Xavier Winner?,active,binary,,0.86,0.87,0.13,0.14,0.01,0.01,2038335.83,9258.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31SDAKNDSU-SDAK,South Dakota at North Dakota St. Winner?,active,binary,,0.15,0.16,0.84,0.85,0.01,0.01,23586.05,529.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31SDAKNDSU-NDSU,South Dakota at North Dakota St. Winner?,active,binary,,0.84,0.85,0.15,0.16,0.01,0.01,24290.53,347.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31UNOAMCC-UNO,New Orleans at Texas A&M-Corpus Christi Winner?,active,binary,,0.35,0.36,0.64,0.65,0.01,0.01,26027.1,140.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31UNOAMCC-AMCC,New Orleans at Texas A&M-Corpus Christi Winner?,active,binary,,0.64,0.65,0.35,0.36,0.01,0.01,24660.27,173.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31SFANWST-SFA,Stephen F. Austin at Northwestern St. Winner?,active,binary,,0.77,0.78,0.22,0.23,0.01,0.01,28812.11,352.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31SFANWST-NWST,Stephen F. Austin at Northwestern St. Winner?,active,binary,,0.22,0.24,0.76,0.78,0.02,0.02,25436.59,472.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31UMKCDEN-UMKC,Kansas City at Denver Winner?,active,binary,,0.15,0.16,0.84,0.85,0.01,0.01,49165.96,266.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31UMKCDEN-DEN,Kansas City at Denver Winner?,active,binary,,0.85,0.86,0.14,0.15,0.01,0.01,30111.31,62.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31JOESSLU-SLU,Saint Joseph's at Saint Louis Winner?,active,binary,,0.94,0.95,0.05,0.06,0.01,0.01,27286.58,6546.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31JOESSLU-JOES,Saint Joseph's at Saint Louis Winner?,active,binary,,0.05,0.06,0.94,0.95,0.01,0.01,22219.44,7588.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31GASTMRSH-MRSH,Georgia St. at Marshall Winner?,active,binary,,0.89,0.91,0.09,0.11,0.02,0.02,35298.99,486.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31GASTMRSH-GAST,Georgia St. at Marshall Winner?,active,binary,,0.1,0.12,0.88,0.9,0.02,0.02,41357.62,903.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31UNTMEM-UNT,North Texas at Memphis Winner?,active,binary,,0.16,0.17,0.83,0.84,0.01,0.01,41375.67,3638.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31UNTMEM-MEM,North Texas at Memphis Winner?,active,binary,,0.83,0.84,0.16,0.17,0.01,0.01,77697.28,1138.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31GWRICH-RICH,George Washington at Richmond Winner?,active,binary,,0.42,0.43,0.57,0.58,0.01,0.01,42091.09,583.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31GWRICH-GW,George Washington at Richmond Winner?,active,binary,,0.58,0.59,0.41,0.42,0.01,0.01,44765.84,522.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31WICHUAB-WICH,Wichita St. at UAB Winner?,active,binary,,0.4,0.42,0.58,0.6,0.02,0.02,44611.21,2180.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31WICHUAB-UAB,Wichita St. at UAB Winner?,active,binary,,0.58,0.6,0.4,0.42,0.02,0.02,109455.92,1928.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31GTDUKE-GT,Georgia Tech at Duke Winner?,active,binary,,0.02,0.03,0.97,0.98,0.01,0.01,1520655.17,97670.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31GTDUKE-DUKE,Georgia Tech at Duke Winner?,active,binary,,0.97,0.98,0.02,0.03,0.01,0.01,2636014.98,6905.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31WINLONG-WIN,Winthrop at Longwood Winner?,active,binary,,0.76,0.78,0.22,0.24,0.02,0.02,82221.13,538.0
2025-12-31T11:27:27.026978-05:00,KXNCAAMBGAME-25DEC31WINLONG-LONG,Winthrop at Longwood Winner?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,20990.56,1001.0
