timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-62,Nebraska at Utah: Total Points,active,binary,,0.22,0.24,0.76,0.78,0.02,0.02,2439305.24,55.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-59,Nebraska at Utah: Total Points,active,binary,,0.26,0.29,0.71,0.74,0.03,0.03,3622458.11,33.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-56,Nebraska at Utah: Total Points,active,binary,,0.34,0.37,0.63,0.66,0.03,0.03,3688369.39,1523.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-53,Nebraska at Utah: Total Points,active,binary,,0.42,0.44,0.56,0.58,0.02,0.02,3727342.2,518.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-50,Nebraska at Utah: Total Points,active,binary,,0.51,0.53,0.47,0.49,0.02,0.02,3983509.85,70211.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-47,Nebraska at Utah: Total Points,active,binary,,0.58,0.6,0.4,0.42,0.02,0.02,3549830.28,947.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-44,Nebraska at Utah: Total Points,active,binary,,0.65,0.68,0.32,0.35,0.03,0.03,3377540.88,81.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-41,Nebraska at Utah: Total Points,active,binary,,0.73,0.75,0.25,0.27,0.02,0.02,2420378.72,55.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31NEBUTAH-38,Nebraska at Utah: Total Points,active,binary,,0.81,0.83,0.17,0.19,0.02,0.02,4194200.47,268.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-58,Michigan at Texas: Total Points,active,binary,,0.23,0.25,0.75,0.77,0.02,0.02,2425481.57,372.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-55,Michigan at Texas: Total Points,active,binary,,0.28,0.31,0.69,0.72,0.03,0.03,3485090.79,300.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-52,Michigan at Texas: Total Points,active,binary,,0.37,0.39,0.61,0.63,0.02,0.02,3516481.79,1061.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-49,Michigan at Texas: Total Points,active,binary,,0.46,0.47,0.53,0.54,0.01,0.01,4096285.92,48604.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-46,Michigan at Texas: Total Points,active,binary,,0.55,0.56,0.44,0.45,0.01,0.01,3894899.96,2704.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-43,Michigan at Texas: Total Points,active,binary,,0.63,0.64,0.36,0.37,0.01,0.01,3510613.33,1452.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-40,Michigan at Texas: Total Points,active,binary,,0.72,0.74,0.26,0.28,0.02,0.02,3475552.26,46.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-37,Michigan at Texas: Total Points,active,binary,,0.77,0.78,0.22,0.23,0.01,0.01,2464923.57,1203.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31MICHTEX-34,Michigan at Texas: Total Points,active,binary,,0.86,0.88,0.12,0.14,0.02,0.02,4207353.67,782.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31ASUDUKE-61,Arizona St. at Duke: Total Points,active,binary,,0.17,0.19,0.81,0.83,0.02,0.02,3396405.57,738.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31ASUDUKE-58,Arizona St. at Duke: Total Points,active,binary,,0.22,0.25,0.75,0.78,0.03,0.03,2331808.44,908.0
2025-12-31T11:27:57.028955-05:00,KXNCAAFTOTAL-25DEC31ASUDUKE-55,Arizona St. at Duke: Total Points,active,binary,,0.28,0.31,0.69,0.72,0.03,0.03,3642206.76,53.0
