timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-10-26T20:52:07.553198Z,KXNFLGAME-25OCT27WASKC-KC,Washington at Kansas City Winner?,active,binary,0.85,0.98,0.86,0.02,0.14,0.98,0.15,0.02,0.01,0.01,78,14,7702042.17,199817.0
2025-10-26T20:52:07.619726Z,KXNFLGAME-25OCT26GBPIT-PIT,Green Bay at Pittsburgh Winner?,active,binary,0.41,0.98,0.42,0.02,0.58,0.98,0.59,0.02,0.01,0.01,39,53,7313673.3,689788.0
2025-10-26T20:52:07.686365Z,KXNFLGAME-25OCT26GBPIT-GB,Green Bay at Pittsburgh Winner?,active,binary,0.58,0.98,0.59,0.02,0.41,0.98,0.42,0.02,0.01,0.01,54,36,5771430.1,323912.0
2025-10-26T20:52:07.756811Z,KXNFLGAME-25OCT27WASKC-WAS,Washington at Kansas City Winner?,active,binary,0.14,0.98,0.15,0.02,0.85,0.98,0.86,0.02,0.01,0.01,14,79,5733412.16,364464.0
2025-10-26T20:52:07.934394Z,KXNFLGAME-25OCT26TBNO-TB,Tampa Bay at New Orleans Winner?,active,binary,0.78,0.98,0.79,0.02,0.21,0.98,0.22,0.02,0.01,0.01,67,20,2740455.8,5098312.0
2025-10-26T20:52:09.193785Z,KXNFLGAME-25OCT26TBNO-NO,Tampa Bay at New Orleans Winner?,active,binary,0.21,0.98,0.22,0.02,0.78,0.98,0.79,0.02,0.01,0.01,21,66,2689248.38,1767215.0
2025-10-26T20:52:09.269586Z,KXNFLGAME-25OCT26DALDEN-DAL,Dallas at Denver Winner?,active,binary,0.28,0.98,0.29,0.02,0.71,0.98,0.72,0.02,0.01,0.01,28,45,2070897.8,5205370.0
2025-10-26T20:52:09.348100Z,KXNFLGAME-25OCT26DALDEN-DEN,Dallas at Denver Winner?,active,binary,0.72,0.98,0.73,0.02,0.27,0.98,0.28,0.02,0.01,0.01,52,26,2044086.45,1709808.0
2025-10-26T20:52:09.514071Z,KXNBAGAME-25OCT26LALSAC-LAL,Los Angeles L vs Sacramento Winner?,active,binary,0.44,0.98,0.45,0.02,0.55,0.98,0.56,0.02,0.01,0.01,34,25,1662812.61,151163.0
2025-10-26T20:52:09.593390Z,KXNBAGAME-25OCT26LALSAC-SAC,Los Angeles L vs Sacramento Winner?,active,binary,0.55,0.98,0.56,0.02,0.44,0.98,0.45,0.02,0.01,0.01,39,23,1662500.3,365414.0
2025-10-26T20:52:09.734816Z,KXNFLGAME-25OCT26TENIND-IND,Tennessee at Indianapolis Winner?,active,binary,0.95,0.98,0.96,0.02,0.04,0.98,0.05,0.02,0.01,0.01,89,4,1568392.1,1782027.0
2025-10-26T20:52:09.911812Z,KXNBAGAME-25OCT26CHAWAS-CHA,Charlotte vs Washington Winner?,active,binary,0.44,0.98,0.45,0.02,0.55,0.98,0.56,0.02,0.01,0.01,35,30,1560549.28,97087.0
2025-10-26T20:52:10.080597Z,KXNBAGAME-25OCT26TORDAL-TOR,Toronto vs Dallas Winner?,active,binary,0.51,0.98,0.52,0.02,0.48,0.98,0.49,0.02,0.01,0.01,35,24,1533588.19,178890.0
2025-10-26T20:52:10.203735Z,KXNBAGAME-25OCT26MILCLE-CLE,Milwaukee vs Cleveland Winner?,active,binary,0.68,0.98,0.69,0.02,0.31,0.98,0.32,0.02,0.01,0.01,46,23,1530863.33,80262.0
2025-10-26T20:52:10.277648Z,KXNBAGAME-25OCT26PORLAC-LAC,Portland vs Los Angeles C Winner?,active,binary,0.73,0.98,0.74,0.02,0.26,0.98,0.27,0.02,0.01,0.01,46,18,1528553.44,64523.0
2025-10-26T20:52:10.351439Z,KXNBAGAME-25OCT26TORDAL-DAL,Toronto vs Dallas Winner?,active,binary,0.48,0.98,0.49,0.02,0.51,0.98,0.52,0.02,0.01,0.01,36,27,1514010.85,65053.0
2025-10-26T20:52:10.426983Z,KXNBAGAME-25OCT26CHAWAS-WAS,Charlotte vs Washington Winner?,active,binary,0.54,0.98,0.55,0.02,0.45,0.98,0.46,0.02,0.01,0.01,38,23,1498892.07,28861.0
2025-10-26T20:52:10.616129Z,KXNBAGAME-25OCT26NYKMIA-MIA,New York vs Miami Winner?,active,binary,0.4,0.98,0.41,0.02,0.59,0.98,0.6,0.02,0.01,0.01,36,27,1481972.05,27982.0
2025-10-26T20:52:10.855134Z,KXNBAGAME-25OCT26INDMIN-MIN,Indiana vs Minnesota Winner?,active,binary,0.83,0.98,0.84,0.02,0.16,0.98,0.17,0.02,0.01,0.01,50,14,1477819.95,24125.0
2025-10-26T20:52:10.933407Z,KXNFLGAME-25OCT26TENIND-TEN,Tennessee at Indianapolis Winner?,active,binary,0.04,0.98,0.05,0.02,0.95,0.98,0.96,0.02,0.01,0.01,4,91,1474629.74,1740007.0
2025-10-26T20:52:11.087774Z,KXNBAGAME-25OCT26MILCLE-MIL,Milwaukee vs Cleveland Winner?,active,binary,0.31,0.98,0.32,0.02,0.68,0.98,0.69,0.02,0.01,0.01,30,35,1432795.3,307272.0
2025-10-26T20:52:11.260511Z,KXNBAGAME-25OCT26NYKMIA-NYK,New York vs Miami Winner?,active,binary,0.59,0.98,0.6,0.02,0.4,0.98,0.41,0.02,0.01,0.01,43,23,1430340.67,264634.0
2025-10-26T20:52:11.503855Z,KXNBAGAME-25OCT26PORLAC-POR,Portland vs Los Angeles C Winner?,active,binary,0.26,0.98,0.27,0.02,0.73,0.98,0.74,0.02,0.01,0.01,26,29,1391307.1,158579.0
2025-10-26T20:52:11.838864Z,KXNBAGAME-25OCT26INDMIN-IND,Indiana vs Minnesota Winner?,active,binary,0.16,0.98,0.17,0.02,0.83,0.98,0.84,0.02,0.01,0.01,16,34,1303587.24,148359.0
2025-10-26T20:52:12.130548Z,KXNBAGAME-25OCT27CLEDET-CLE,Cleveland vs Detroit Winner?,active,binary,0.53,0.98,0.56,0.02,0.44,0.98,0.47,0.02,0.03,0.03,39,26,1243924.91,1517.0
2025-10-26T20:52:12.269187Z,KXNBAGAME-25OCT27CLEDET-DET,Cleveland vs Detroit Winner?,active,binary,0.45,0.98,0.48,0.02,0.52,0.98,0.55,0.02,0.03,0.03,36,28,1242660.88,423.0
2025-10-26T20:52:12.359654Z,KXNBAGAME-25OCT26BOSDET-BOS,Boston vs Detroit Winner?,active,binary,0.42,0.98,0.43,0.02,0.57,0.98,0.58,0.02,0.01,0.01,39,37,1217370.94,907822.0
2025-10-26T20:52:12.482365Z,KXNBAGAME-25OCT26BOSDET-DET,Boston vs Detroit Winner?,active,binary,0.57,0.98,0.58,0.02,0.42,0.98,0.43,0.02,0.01,0.01,39,36,1212224.4,750088.0
2025-10-26T20:52:12.652500Z,KXNBAGAME-25OCT27ATLCHI-CHI,Atlanta vs Chicago Winner?,active,binary,0.48,0.98,0.52,0.02,0.48,0.98,0.52,0.02,0.04,0.04,41,28,1153271.63,1451.0
2025-10-26T20:52:12.745257Z,KXNBAGAME-25OCT27ATLCHI-ATL,Atlanta vs Chicago Winner?,active,binary,0.51,0.98,0.54,0.02,0.46,0.98,0.49,0.02,0.03,0.03,36,25,1152573.19,255.0
2025-10-26T20:52:12.837147Z,KXNBAGAME-25OCT27PHXUTA-PHX,Phoenix vs Utah Winner?,active,binary,0.5,0.98,0.54,0.02,0.46,0.98,0.5,0.02,0.04,0.04,36,25,1151144.75,637.0
2025-10-26T20:52:12.912434Z,KXNBAGAME-25OCT27PHXUTA-UTA,Phoenix vs Utah Winner?,active,binary,0.5,0.98,0.54,0.02,0.46,0.98,0.5,0.02,0.04,0.04,42,29,1151045.72,912.0
2025-10-26T20:52:12.984697Z,KXNBAGAME-25OCT27TORSAS-SAS,Toronto vs San Antonio Winner?,active,binary,0.61,0.98,0.76,0.02,0.24,0.98,0.39,0.02,0.15,0.15,41,19,1143670.12,3059.0
2025-10-26T20:52:13.060371Z,KXNBAGAME-25OCT27TORSAS-TOR,Toronto vs San Antonio Winner?,active,binary,0.29,0.98,0.43,0.02,0.57,0.98,0.71,0.02,0.14,0.14,28,28,1143412.5,1288.0
2025-10-26T20:52:13.229404Z,KXNBAGAME-25OCT27DENMIN-DEN,Denver vs Minnesota Winner?,active,binary,0.52,0.98,0.55,0.02,0.45,0.98,0.48,0.02,0.03,0.03,38,27,1142765.68,808.0
