sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,FanDuel,h2h,Atlanta Hawks,2.94,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,FanDuel,h2h,Cleveland Cavaliers,1.43,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,FanDuel,spreads,Atlanta Hawks,1.91,6.0,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,FanDuel,spreads,Cleveland Cavaliers,1.91,-6.0,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,FanDuel,totals,Over,1.89,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,FanDuel,totals,Under,1.93,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,DraftKings,h2h,Atlanta Hawks,2.85,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,DraftKings,h2h,Cleveland Cavaliers,1.44,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,DraftKings,spreads,Atlanta Hawks,1.85,6.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,DraftKings,spreads,Cleveland Cavaliers,1.98,-6.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,DraftKings,totals,Over,1.91,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,DraftKings,totals,Under,1.91,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,ESPN BET,h2h,Atlanta Hawks,2.95,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,ESPN BET,h2h,Cleveland Cavaliers,1.43,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,ESPN BET,spreads,Atlanta Hawks,1.91,5.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,ESPN BET,spreads,Cleveland Cavaliers,1.91,-5.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,ESPN BET,totals,Over,1.95,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,ESPN BET,totals,Under,1.87,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,BetMGM,h2h,Atlanta Hawks,2.85,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,BetMGM,h2h,Cleveland Cavaliers,1.44,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,BetMGM,spreads,Atlanta Hawks,1.87,6.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,BetMGM,spreads,Cleveland Cavaliers,1.95,-6.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,BetMGM,totals,Over,1.91,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,BetMGM,totals,Under,1.91,236.5,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,Pinnacle,h2h,Atlanta Hawks,2.83,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,Pinnacle,h2h,Cleveland Cavaliers,1.49,,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,Pinnacle,spreads,Atlanta Hawks,1.93,6.0,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,Pinnacle,spreads,Cleveland Cavaliers,1.97,-6.0,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,Pinnacle,totals,Over,1.96,237.0,Atlanta Hawks,Cleveland Cavaliers
NBA,,1af096075324c24f402566517cb35f91,2025-11-28 18:40:00 CST,Pinnacle,totals,Under,1.93,237.0,Atlanta Hawks,Cleveland Cavaliers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,FanDuel,h2h,Brooklyn Nets,3.2,,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,FanDuel,h2h,Philadelphia 76ers,1.37,,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,FanDuel,spreads,Brooklyn Nets,1.89,7.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,FanDuel,spreads,Philadelphia 76ers,1.93,-7.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,FanDuel,totals,Over,1.93,222.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,FanDuel,totals,Under,1.89,222.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,DraftKings,h2h,Brooklyn Nets,3.25,,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,DraftKings,h2h,Philadelphia 76ers,1.36,,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,DraftKings,spreads,Brooklyn Nets,1.89,7.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,DraftKings,spreads,Philadelphia 76ers,1.93,-7.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,DraftKings,totals,Over,1.91,222.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,DraftKings,totals,Under,1.91,222.5,Brooklyn Nets,Philadelphia 76ers
NBA,,40e1962291b5902145ba33c2b8918fbf,2025-11-28 18:40:00 CST,ESPN BET,h2h,Brooklyn Nets,3.25,,Brooklyn Nets,Philadelphia 76ers
