sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,FanDuel,h2h,Bethune-Cookman Wildcats,36.0,,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,FanDuel,h2h,Indiana Hoosiers,1.0,,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,FanDuel,spreads,Bethune-Cookman Wildcats,1.95,26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,FanDuel,spreads,Indiana Hoosiers,1.87,-26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,FanDuel,totals,Over,1.87,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,FanDuel,totals,Under,1.95,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,DraftKings,spreads,Bethune-Cookman Wildcats,1.89,26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,DraftKings,spreads,Indiana Hoosiers,1.93,-26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,DraftKings,totals,Over,1.91,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,DraftKings,totals,Under,1.91,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,BetMGM,spreads,Bethune-Cookman Wildcats,1.91,26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,BetMGM,spreads,Indiana Hoosiers,1.91,-26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,BetMGM,totals,Over,1.91,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,BetMGM,totals,Under,1.91,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,ESPN BET,h2h,Bethune-Cookman Wildcats,41.0,,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,ESPN BET,h2h,Indiana Hoosiers,1.0,,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,ESPN BET,spreads,Bethune-Cookman Wildcats,1.91,26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,ESPN BET,spreads,Indiana Hoosiers,1.91,-26.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,ESPN BET,totals,Over,1.91,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,99ea27fa1a76179d46be0d3ae3db15c3,2025-11-29 11:00:00 CST,ESPN BET,totals,Under,1.91,149.5,Indiana Hoosiers,Bethune-Cookman Wildcats
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,FanDuel,h2h,Navy Midshipmen,1.45,,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,FanDuel,h2h,SE Louisiana Lions,2.8,,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,FanDuel,spreads,Navy Midshipmen,1.91,-4.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,FanDuel,spreads,SE Louisiana Lions,1.91,4.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,FanDuel,totals,Over,1.91,139.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,FanDuel,totals,Under,1.91,139.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,ESPN BET,h2h,Navy Midshipmen,1.48,,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,ESPN BET,h2h,SE Louisiana Lions,2.75,,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,ESPN BET,spreads,Navy Midshipmen,1.87,-4.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,ESPN BET,spreads,SE Louisiana Lions,1.95,4.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,ESPN BET,totals,Over,1.91,139.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,ESPN BET,totals,Under,1.91,139.5,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,BetMGM,h2h,Navy Midshipmen,1.54,,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,BetMGM,h2h,SE Louisiana Lions,2.5,,Navy Midshipmen,SE Louisiana Lions
CBB,,5c8c932f483743867152c551d94cad74,2025-11-29 11:00:00 CST,BetMGM,spreads,Navy Midshipmen,1.85,-3.5,Navy Midshipmen,SE Louisiana Lions
