sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,FanDuel,h2h,Bucknell Bison,1.66,,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,FanDuel,h2h,UMBC Retrievers,2.26,,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,FanDuel,spreads,Bucknell Bison,1.91,-2.5,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,FanDuel,spreads,UMBC Retrievers,1.91,2.5,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,FanDuel,totals,Over,1.87,145.5,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,FanDuel,totals,Under,1.95,145.5,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,BetOnline.ag,spreads,Bucknell Bison,1.91,-2.0,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,BetOnline.ag,spreads,UMBC Retrievers,1.91,2.0,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,BetOnline.ag,totals,Over,1.91,148.5,Bucknell Bison,UMBC Retrievers
CBB,,303f85e7c3d490c7588149311e85d083,2025-12-06 11:00:00 CST,BetOnline.ag,totals,Under,1.91,148.5,Bucknell Bison,UMBC Retrievers
CBB,,011c25d5034ff908edaf55002e365fbf,2025-12-06 11:00:00 CST,FanDuel,h2h,Dayton Flyers,3.35,,Virginia Cavaliers,Dayton Flyers
CBB,,011c25d5034ff908edaf55002e365fbf,2025-12-06 11:00:00 CST,FanDuel,h2h,Virginia Cavaliers,1.34,,Virginia Cavaliers,Dayton Flyers
CBB,,011c25d5034ff908edaf55002e365fbf,2025-12-06 11:00:00 CST,FanDuel,spreads,Dayton Flyers,1.98,5.5,Virginia Cavaliers,Dayton Flyers
CBB,,011c25d5034ff908edaf55002e365fbf,2025-12-06 11:00:00 CST,FanDuel,spreads,Virginia Cavaliers,1.83,-5.5,Virginia Cavaliers,Dayton Flyers
CBB,,011c25d5034ff908edaf55002e365fbf,2025-12-06 11:00:00 CST,FanDuel,totals,Over,1.87,144.5,Virginia Cavaliers,Dayton Flyers
