sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,FanDuel,h2h,Lafayette Leopards,3.35,,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,FanDuel,h2h,Pennsylvania Quakers,1.34,,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,FanDuel,spreads,Lafayette Leopards,1.98,5.5,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,FanDuel,spreads,Pennsylvania Quakers,1.83,-5.5,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,FanDuel,totals,Over,1.87,152.5,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,FanDuel,totals,Under,1.95,152.5,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,BetOnline.ag,spreads,Lafayette Leopards,1.91,7.0,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,BetOnline.ag,spreads,Pennsylvania Quakers,1.91,-7.0,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,BetOnline.ag,totals,Over,1.91,153.0,Pennsylvania Quakers,Lafayette Leopards
CBBM,,4aad97e094688744824efdf58d7c9565,2025-12-08 17:00:00 CST,BetOnline.ag,totals,Under,1.91,153.0,Pennsylvania Quakers,Lafayette Leopards
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,FanDuel,h2h,Charleston Southern Buccaneers,1.16,,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,FanDuel,h2h,South Carolina St Bulldogs,5.4,,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,FanDuel,spreads,Charleston Southern Buccaneers,1.83,-9.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,FanDuel,spreads,South Carolina St Bulldogs,1.98,9.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,FanDuel,totals,Over,1.87,150.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,FanDuel,totals,Under,1.95,150.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,BetOnline.ag,spreads,Charleston Southern Buccaneers,1.91,-10.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,BetOnline.ag,spreads,South Carolina St Bulldogs,1.91,10.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,BetOnline.ag,totals,Over,1.87,152.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,9aced47f69e22d6259e3b6f72c4512cb,2025-12-08 18:00:00 CST,BetOnline.ag,totals,Under,1.95,152.5,Charleston Southern Buccaneers,South Carolina St Bulldogs
CBBM,,6c57b4ca2e6a5a614aae803284e20085,2025-12-08 19:00:00 CST,FanDuel,h2h,Grambling St Tigers,3.85,,Southern Miss Golden Eagles,Grambling St Tigers
CBBM,,6c57b4ca2e6a5a614aae803284e20085,2025-12-08 19:00:00 CST,FanDuel,h2h,Southern Miss Golden Eagles,1.27,,Southern Miss Golden Eagles,Grambling St Tigers
CBBM,,6c57b4ca2e6a5a614aae803284e20085,2025-12-08 19:00:00 CST,FanDuel,spreads,Grambling St Tigers,1.91,7.5,Southern Miss Golden Eagles,Grambling St Tigers
CBBM,,6c57b4ca2e6a5a614aae803284e20085,2025-12-08 19:00:00 CST,FanDuel,spreads,Southern Miss Golden Eagles,1.91,-7.5,Southern Miss Golden Eagles,Grambling St Tigers
