sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,FanDuel,h2h,Arizona Cardinals,5.6,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,FanDuel,h2h,Houston Texans,1.16,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,FanDuel,spreads,Arizona Cardinals,1.98,9.5,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,FanDuel,spreads,Houston Texans,1.83,-9.5,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,FanDuel,totals,Over,1.91,42.5,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,FanDuel,totals,Under,1.91,42.5,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetUS,h2h,Arizona Cardinals,5.4,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetUS,h2h,Houston Texans,1.17,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetUS,spreads,Arizona Cardinals,1.95,10.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetUS,spreads,Houston Texans,1.87,-10.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetUS,totals,Over,1.91,42.5,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetUS,totals,Under,1.91,42.5,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetOnline.ag,h2h,Arizona Cardinals,4.83,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetOnline.ag,h2h,Houston Texans,1.2,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetOnline.ag,spreads,Arizona Cardinals,1.92,10.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetOnline.ag,spreads,Houston Texans,1.9,-10.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetOnline.ag,totals,Over,1.91,42.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,BetOnline.ag,totals,Under,1.91,42.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,Pinnacle,h2h,Arizona Cardinals,4.81,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,Pinnacle,h2h,Houston Texans,1.2,,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,Pinnacle,spreads,Arizona Cardinals,1.94,10.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,Pinnacle,spreads,Houston Texans,1.94,-10.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,Pinnacle,totals,Over,1.9,42.0,Houston Texans,Arizona Cardinals
NFL,,a360e4c43576d22057ff90d818928066,2025-12-14 12:00:00 CST,Pinnacle,totals,Under,1.97,42.0,Houston Texans,Arizona Cardinals
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,BetUS,h2h,Baltimore Ravens,1.69,,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,BetUS,h2h,Cincinnati Bengals,2.25,,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,BetUS,spreads,Baltimore Ravens,2.0,-3.0,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,BetUS,spreads,Cincinnati Bengals,1.83,3.0,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,BetUS,totals,Over,1.91,50.5,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,BetUS,totals,Under,1.91,50.5,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,FanDuel,h2h,Baltimore Ravens,1.66,,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,FanDuel,h2h,Cincinnati Bengals,2.28,,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,FanDuel,spreads,Baltimore Ravens,1.83,-2.5,Cincinnati Bengals,Baltimore Ravens
NFL,,1aa1fb046f11dadb32dad77d5baf552e,2025-12-14 12:00:00 CST,FanDuel,spreads,Cincinnati Bengals,1.98,2.5,Cincinnati Bengals,Baltimore Ravens
