sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,FanDuel,h2h,Old Dominion Monarchs,2.28,,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,FanDuel,h2h,South Florida Bulls,1.66,,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,FanDuel,spreads,Old Dominion Monarchs,2.0,2.5,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,FanDuel,spreads,South Florida Bulls,1.82,-2.5,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,FanDuel,totals,Over,1.91,53.5,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,FanDuel,totals,Under,1.91,53.5,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,BetOnline.ag,h2h,Old Dominion Monarchs,2.22,,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,BetOnline.ag,h2h,South Florida Bulls,1.7,,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,BetOnline.ag,spreads,Old Dominion Monarchs,1.97,2.5,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,BetOnline.ag,spreads,South Florida Bulls,1.85,-2.5,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,BetOnline.ag,totals,Over,1.91,53.0,South Florida Bulls,Old Dominion Monarchs
CFB,,ed11cbf3b02850670bf213622cf4517b,2025-12-17 16:00:00 CST,BetOnline.ag,totals,Under,1.91,53.0,South Florida Bulls,Old Dominion Monarchs
