sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,DraftKings,h2h,Colgate Raiders,1.44,,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,DraftKings,h2h,Northeastern Huskies,2.85,,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,DraftKings,spreads,Colgate Raiders,1.95,-5.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,DraftKings,spreads,Northeastern Huskies,1.87,5.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,DraftKings,totals,Over,1.91,147.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,DraftKings,totals,Under,1.91,147.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,Pinnacle,h2h,Colgate Raiders,1.47,,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,Pinnacle,h2h,Northeastern Huskies,2.73,,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,Pinnacle,spreads,Colgate Raiders,1.85,-4.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,Pinnacle,spreads,Northeastern Huskies,1.97,4.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,Pinnacle,totals,Over,1.87,147.5,Colgate Raiders,Northeastern Huskies
CBB,,a77da8ddbe545f62f460b28bdee784ab,2025-11-07 16:05:00 CST,Pinnacle,totals,Under,1.87,147.5,Colgate Raiders,Northeastern Huskies
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,DraftKings,h2h,Boston Univ. Terriers,10.0,,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,DraftKings,h2h,Northwestern Wildcats,1.06,,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,DraftKings,spreads,Boston Univ. Terriers,1.89,16.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,DraftKings,spreads,Northwestern Wildcats,1.93,-16.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,DraftKings,totals,Over,1.89,136.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,DraftKings,totals,Under,1.93,136.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,FanDuel,h2h,Boston Univ. Terriers,11.4,,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,FanDuel,h2h,Northwestern Wildcats,1.04,,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,FanDuel,spreads,Boston Univ. Terriers,1.95,16.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,FanDuel,spreads,Northwestern Wildcats,1.87,-16.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,FanDuel,totals,Over,1.89,136.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,FanDuel,totals,Under,1.93,136.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,Pinnacle,spreads,Boston Univ. Terriers,1.86,16.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,Pinnacle,spreads,Northwestern Wildcats,1.96,-16.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,Pinnacle,totals,Over,1.91,136.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,e5f3878336cccee528614bf6bd7824c9,2025-11-07 17:00:00 CST,Pinnacle,totals,Under,1.83,136.5,Northwestern Wildcats,Boston Univ. Terriers
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,FanDuel,h2h,Charleston Cougars,4.2,,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,FanDuel,h2h,Liberty Flames,1.23,,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,FanDuel,spreads,Charleston Cougars,1.98,9.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,FanDuel,spreads,Liberty Flames,1.83,-9.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,FanDuel,totals,Over,1.88,146.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,FanDuel,totals,Under,1.94,146.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,Pinnacle,h2h,Charleston Cougars,4.71,,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,Pinnacle,h2h,Liberty Flames,1.21,,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,Pinnacle,spreads,Charleston Cougars,1.98,9.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,Pinnacle,spreads,Liberty Flames,1.88,-9.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,Pinnacle,totals,Over,1.87,146.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,Pinnacle,totals,Under,1.95,146.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,DraftKings,h2h,Charleston Cougars,4.7,,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,DraftKings,h2h,Liberty Flames,1.21,,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,DraftKings,spreads,Charleston Cougars,1.95,9.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,DraftKings,spreads,Liberty Flames,1.87,-9.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,DraftKings,totals,Over,1.89,146.5,Liberty Flames,Charleston Cougars
CBB,,0d735e3086a168d68d2d9d4115eef07e,2025-11-07 17:00:00 CST,DraftKings,totals,Under,1.93,146.5,Liberty Flames,Charleston Cougars
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,FanDuel,h2h,Georgetown Hoyas,2.84,,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,FanDuel,h2h,Maryland Terrapins,1.44,,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,FanDuel,spreads,Georgetown Hoyas,1.94,4.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,FanDuel,spreads,Maryland Terrapins,1.88,-4.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,FanDuel,totals,Over,1.91,145.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,FanDuel,totals,Under,1.91,145.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,Pinnacle,h2h,Georgetown Hoyas,2.86,,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,Pinnacle,h2h,Maryland Terrapins,1.45,,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,Pinnacle,spreads,Georgetown Hoyas,1.99,4.0,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,Pinnacle,spreads,Maryland Terrapins,1.87,-4.0,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,Pinnacle,totals,Over,1.88,145.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,Pinnacle,totals,Under,1.93,145.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,DraftKings,h2h,Georgetown Hoyas,2.8,,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,DraftKings,h2h,Maryland Terrapins,1.46,,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,DraftKings,spreads,Georgetown Hoyas,1.89,4.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,DraftKings,spreads,Maryland Terrapins,1.93,-4.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,DraftKings,totals,Over,1.93,146.5,Maryland Terrapins,Georgetown Hoyas
CBB,,d09bea034963c87a8d0cd0b0d4e0026d,2025-11-07 17:00:00 CST,DraftKings,totals,Under,1.89,146.5,Maryland Terrapins,Georgetown Hoyas
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,FanDuel,h2h,Rhode Island Rams,1.56,,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,FanDuel,h2h,Tulsa Golden Hurricane,2.46,,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,FanDuel,spreads,Rhode Island Rams,1.91,-3.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,FanDuel,spreads,Tulsa Golden Hurricane,1.91,3.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,FanDuel,totals,Over,1.91,153.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,FanDuel,totals,Under,1.91,153.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,Pinnacle,h2h,Rhode Island Rams,1.58,,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,Pinnacle,h2h,Tulsa Golden Hurricane,2.46,,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,Pinnacle,spreads,Rhode Island Rams,1.91,-3.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,Pinnacle,spreads,Tulsa Golden Hurricane,1.94,3.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,Pinnacle,totals,Over,1.99,154.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,Pinnacle,totals,Under,1.84,154.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,DraftKings,h2h,Rhode Island Rams,1.57,,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,DraftKings,h2h,Tulsa Golden Hurricane,2.45,,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,DraftKings,spreads,Rhode Island Rams,1.93,-3.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,DraftKings,spreads,Tulsa Golden Hurricane,1.89,3.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,DraftKings,totals,Over,1.89,153.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,ee90990b95b2d73a6b989131c97a4fef,2025-11-07 17:00:00 CST,DraftKings,totals,Under,1.93,153.5,Rhode Island Rams,Tulsa Golden Hurricane
CBB,,21a36488ed9cb5f946ee558fa925a688,2025-11-07 17:30:00 CST,FanDuel,h2h,Buffalo Bulls,1.49,,Buffalo Bulls,Green Bay Phoenix
CBB,,21a36488ed9cb5f946ee558fa925a688,2025-11-07 17:30:00 CST,FanDuel,h2h,Green Bay Phoenix,2.64,,Buffalo Bulls,Green Bay Phoenix
CBB,,21a36488ed9cb5f946ee558fa925a688,2025-11-07 17:30:00 CST,FanDuel,spreads,Buffalo Bulls,1.98,-4.5,Buffalo Bulls,Green Bay Phoenix
CBB,,21a36488ed9cb5f946ee558fa925a688,2025-11-07 17:30:00 CST,FanDuel,spreads,Green Bay Phoenix,1.83,4.5,Buffalo Bulls,Green Bay Phoenix
