sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,FanDuel,h2h,Boston Celtics,2.4,,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,FanDuel,h2h,Orlando Magic,1.6,,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,FanDuel,spreads,Boston Celtics,1.91,3.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,FanDuel,spreads,Orlando Magic,1.91,-3.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,FanDuel,totals,Over,1.91,226.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,FanDuel,totals,Under,1.91,226.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,DraftKings,h2h,Boston Celtics,2.24,,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,DraftKings,h2h,Orlando Magic,1.68,,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,DraftKings,spreads,Boston Celtics,1.89,3.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,DraftKings,spreads,Orlando Magic,1.93,-3.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,DraftKings,totals,Over,1.93,226.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,DraftKings,totals,Under,1.89,226.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,Pinnacle,h2h,Boston Celtics,2.39,,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,Pinnacle,h2h,Orlando Magic,1.65,,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,Pinnacle,spreads,Boston Celtics,1.99,3.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,Pinnacle,spreads,Orlando Magic,1.92,-3.5,Orlando Magic,Boston Celtics
NBA,,8d6d8735b8939d6cf23b1a98f7ef8740,2025-11-07 18:10:00 CST,Pinnacle,totals,Over,1.93,226.0,Orlando Magic,Boston Celtics
