sport,league,game_id,start_time,bookmaker,market,team,price,point,home_team,away_team
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,DraftKings,h2h,Atlanta Falcons,3.45,,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,DraftKings,h2h,Indianapolis Colts,1.33,,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,DraftKings,spreads,Atlanta Falcons,1.89,6.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,DraftKings,spreads,Indianapolis Colts,1.93,-6.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,DraftKings,totals,Over,1.93,48.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,DraftKings,totals,Under,1.89,48.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,FanDuel,h2h,Atlanta Falcons,3.5,,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,FanDuel,h2h,Indianapolis Colts,1.32,,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,FanDuel,spreads,Atlanta Falcons,1.93,6.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,FanDuel,spreads,Indianapolis Colts,1.89,-6.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,FanDuel,totals,Over,1.96,48.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,FanDuel,totals,Under,1.85,48.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,Pinnacle,h2h,Atlanta Falcons,3.42,,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,Pinnacle,h2h,Indianapolis Colts,1.35,,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,Pinnacle,spreads,Atlanta Falcons,1.91,6.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,Pinnacle,spreads,Indianapolis Colts,1.98,-6.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,Pinnacle,totals,Over,1.96,48.5,Indianapolis Colts,Atlanta Falcons
NFL,,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09 08:30:00 CST,Pinnacle,totals,Under,1.91,48.5,Indianapolis Colts,Atlanta Falcons
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,DraftKings,h2h,Baltimore Ravens,1.44,,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,DraftKings,h2h,Minnesota Vikings,2.85,,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,DraftKings,spreads,Baltimore Ravens,1.87,-3.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,DraftKings,spreads,Minnesota Vikings,1.95,3.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,DraftKings,totals,Over,1.87,48.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,DraftKings,totals,Under,1.95,48.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,FanDuel,h2h,Baltimore Ravens,1.43,,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,FanDuel,h2h,Minnesota Vikings,2.9,,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,FanDuel,spreads,Baltimore Ravens,1.94,-4.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,FanDuel,spreads,Minnesota Vikings,1.88,4.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,FanDuel,totals,Over,1.87,48.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,FanDuel,totals,Under,1.95,48.5,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,Pinnacle,h2h,Baltimore Ravens,1.48,,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,Pinnacle,h2h,Minnesota Vikings,2.81,,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,Pinnacle,spreads,Baltimore Ravens,1.94,-4.0,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,Pinnacle,spreads,Minnesota Vikings,1.94,4.0,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,Pinnacle,totals,Over,1.93,49.0,Minnesota Vikings,Baltimore Ravens
NFL,,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09 12:00:00 CST,Pinnacle,totals,Under,1.93,49.0,Minnesota Vikings,Baltimore Ravens
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,DraftKings,h2h,Buffalo Bills,1.19,,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,DraftKings,h2h,Miami Dolphins,5.0,,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,DraftKings,spreads,Buffalo Bills,1.89,-9.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,DraftKings,spreads,Miami Dolphins,1.93,9.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,DraftKings,totals,Over,1.95,50.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,DraftKings,totals,Under,1.87,50.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,FanDuel,h2h,Buffalo Bills,1.17,,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,FanDuel,h2h,Miami Dolphins,5.5,,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,FanDuel,spreads,Buffalo Bills,1.91,-9.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,FanDuel,spreads,Miami Dolphins,1.91,9.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,FanDuel,totals,Over,1.83,49.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,FanDuel,totals,Under,1.98,49.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,Pinnacle,h2h,Buffalo Bills,1.18,,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,Pinnacle,h2h,Miami Dolphins,5.16,,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,Pinnacle,spreads,Buffalo Bills,2.05,-10.0,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,Pinnacle,spreads,Miami Dolphins,1.84,10.0,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,Pinnacle,totals,Over,1.85,49.5,Miami Dolphins,Buffalo Bills
NFL,,3c10bc18680995136017c3bfd3152334,2025-11-09 12:00:00 CST,Pinnacle,totals,Under,2.02,49.5,Miami Dolphins,Buffalo Bills
