timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAL9,Los Angeles L wins by over 9.5 Points?,active,binary,,0.25,0.26,0.74,0.75,0.01,0.01,617651.87,100.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAL6,Los Angeles L wins by over 6.5 Points?,active,binary,,0.35,0.36,0.64,0.65,0.01,0.01,588409.37,57.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAL3,Los Angeles L wins by over 3.5 Points?,active,binary,,0.42,0.44,0.56,0.58,0.02,0.02,696574.8,31996.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAL18,Los Angeles L wins by over 18.5 Points?,active,binary,,0.11,0.12,0.88,0.89,0.01,0.01,725603.92,10.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAL15,Los Angeles L wins by over 15.5 Points?,active,binary,,0.11,0.13,0.87,0.89,0.02,0.02,567117.96,0.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAL12,Los Angeles L wins by over 12.5 Points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,556557.98,0.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAC9,Los Angeles C wins by over 9.5 Points?,active,binary,,0.18,0.22,0.78,0.82,0.04,0.04,696504.1,0.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAC6,Los Angeles C wins by over 6.5 Points?,active,binary,,0.27,0.31,0.69,0.73,0.04,0.04,448503.85,67.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAC3,Los Angeles C wins by over 3.5 Points?,active,binary,,0.36,0.41,0.59,0.64,0.05,0.05,577371.49,26.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20LALLAC-LAC12,Los Angeles C wins by over 12.5 Points?,active,binary,,0.12,0.15,0.85,0.88,0.03,0.03,816759.21,114.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20WASMEM-WAS5,Washington wins by over 5.5 Points?,active,binary,,0.07,0.09,0.91,0.93,0.02,0.02,599668.79,200.0
2025-12-20T11:53:52.495028-05:00,KXNBASPREAD-25DEC20WASMEM-WAS2,Washington wins by over 2.5 Points?,active,binary,,0.11,0.14,0.86,0.89,0.03,0.03,525684.99,358.0
