timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-244,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.21,0.26,0.74,0.79,0.05,0.05,1491750.19,63.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-241,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.27,0.31,0.69,0.73,0.04,0.04,979111.59,104.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-238,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.34,0.35,0.65,0.66,0.01,0.01,1174441.6,0.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-235,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.41,0.43,0.57,0.59,0.02,0.02,1299359.48,0.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-232,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.48,0.5,0.5,0.52,0.02,0.02,1406843.53,204.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-229,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.55,0.57,0.43,0.45,0.02,0.02,1461028.33,5619.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-226,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.6,0.65,0.35,0.4,0.05,0.05,1370616.05,55.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-223,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.67,0.72,0.28,0.33,0.05,0.05,1246590.06,1.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-220,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.72,0.77,0.23,0.28,0.05,0.05,985079.03,106.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-217,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.77,0.82,0.18,0.23,0.05,0.05,1056242.94,0.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20LALLAC-214,Los Angeles L at Los Angeles C: Total Points,active,binary,,0.81,0.86,0.14,0.19,0.05,0.05,1580012.94,38.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-248,Washington at Memphis: Total Points,active,binary,,0.14,0.18,0.82,0.86,0.04,0.04,1492274.2,6.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-245,Washington at Memphis: Total Points,active,binary,,0.19,0.23,0.77,0.81,0.04,0.04,1462461.1,4.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-242,Washington at Memphis: Total Points,active,binary,,0.24,0.28,0.72,0.76,0.04,0.04,919495.8,0.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-239,Washington at Memphis: Total Points,active,binary,,0.3,0.34,0.66,0.7,0.04,0.04,1286379.03,0.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-236,Washington at Memphis: Total Points,active,binary,,0.36,0.41,0.59,0.64,0.05,0.05,1369816.4,1107.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-233,Washington at Memphis: Total Points,active,binary,,0.44,0.46,0.54,0.56,0.02,0.02,1435036.11,2815.0
2025-12-20T11:53:47.486798-05:00,KXNBATOTAL-25DEC20WASMEM-230,Washington at Memphis: Total Points,active,binary,,0.51,0.54,0.46,0.49,0.03,0.03,1407901.58,1135.0
