timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20PORSAC-SAC,Portland vs Sacramento Winner?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2191441.86,37293.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20PORSAC-POR,Portland vs Sacramento Winner?,active,binary,,0.62,0.63,0.37,0.38,0.01,0.01,2344283.44,8415.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20PHXGSW-PHX,Phoenix vs Golden State Winner?,active,binary,,0.32,0.33,0.67,0.68,0.01,0.01,2819952.79,93287.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20PHXGSW-GSW,Phoenix vs Golden State Winner?,active,binary,,0.66,0.67,0.33,0.34,0.01,0.01,2918544.38,7032.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20ORLUTA-UTA,Orlando vs Utah Winner?,active,binary,,0.28,0.29,0.71,0.72,0.01,0.01,2940406.49,92661.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20ORLUTA-ORL,Orlando vs Utah Winner?,active,binary,,0.71,0.72,0.28,0.29,0.01,0.01,3041500.17,7608.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20LALLAC-LAL,Los Angeles L vs Los Angeles C Winner?,active,binary,,0.53,0.54,0.46,0.47,0.01,0.01,3243566.25,157035.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20LALLAC-LAC,Los Angeles L vs Los Angeles C Winner?,active,binary,,0.46,0.48,0.52,0.54,0.02,0.02,3263591.56,11327.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20WASMEM-WAS,Washington vs Memphis Winner?,active,binary,,0.15,0.16,0.84,0.85,0.01,0.01,2449797.07,83499.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20WASMEM-MEM,Washington vs Memphis Winner?,active,binary,,0.84,0.85,0.15,0.16,0.01,0.01,2712703.6,47248.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20INDNOP-NOP,Indiana vs New Orleans Winner?,active,binary,,0.56,0.57,0.43,0.44,0.01,0.01,2758498.82,20017.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20INDNOP-IND,Indiana vs New Orleans Winner?,active,binary,,0.43,0.44,0.56,0.57,0.01,0.01,2686648.72,28522.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20BOSTOR-TOR,Boston vs Toronto Winner?,active,binary,,0.47,0.48,0.52,0.53,0.01,0.01,3284298.02,35342.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20BOSTOR-BOS,Boston vs Toronto Winner?,active,binary,,0.53,0.54,0.46,0.47,0.01,0.01,3315017.18,33389.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20CHADET-DET,Charlotte vs Detroit Winner?,active,binary,,0.8,0.81,0.19,0.2,0.01,0.01,3005777.96,47354.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20CHADET-CHA,Charlotte vs Detroit Winner?,active,binary,,0.2,0.21,0.79,0.8,0.01,0.01,2840091.26,67561.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20DALPHI-PHI,Dallas vs Philadelphia Winner?,active,binary,,0.57,0.58,0.42,0.43,0.01,0.01,2723299.48,86536.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20DALPHI-DAL,Dallas vs Philadelphia Winner?,active,binary,,0.42,0.43,0.57,0.58,0.01,0.01,2737492.2,37904.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20HOUDEN-HOU,Houston vs Denver Winner?,active,binary,,0.51,0.52,0.48,0.49,0.01,0.01,3437480.09,129444.0
2025-12-20T11:53:18.127762-05:00,KXNBAGAME-25DEC20HOUDEN-DEN,Houston vs Denver Winner?,active,binary,,0.48,0.49,0.51,0.52,0.01,0.01,3490968.12,335899.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20PORSAC-SAC,Portland vs Sacramento Winner?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2192341.86,37293.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20PORSAC-POR,Portland vs Sacramento Winner?,active,binary,,0.62,0.63,0.37,0.38,0.01,0.01,2347467.81,8415.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20PHXGSW-PHX,Phoenix vs Golden State Winner?,active,binary,,0.32,0.33,0.67,0.68,0.01,0.01,2819983.39,93287.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20PHXGSW-GSW,Phoenix vs Golden State Winner?,active,binary,,0.66,0.67,0.33,0.34,0.01,0.01,2914357.71,7032.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20ORLUTA-UTA,Orlando vs Utah Winner?,active,binary,,0.28,0.29,0.71,0.72,0.01,0.01,2940390.23,92661.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20ORLUTA-ORL,Orlando vs Utah Winner?,active,binary,,0.71,0.72,0.28,0.29,0.01,0.01,3041659.45,7608.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20LALLAC-LAL,Los Angeles L vs Los Angeles C Winner?,active,binary,,0.53,0.54,0.46,0.47,0.01,0.01,3243056.49,157035.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20LALLAC-LAC,Los Angeles L vs Los Angeles C Winner?,active,binary,,0.46,0.48,0.52,0.54,0.02,0.02,3263609.79,11327.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20WASMEM-WAS,Washington vs Memphis Winner?,active,binary,,0.15,0.16,0.84,0.85,0.01,0.01,2449806.93,83499.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20WASMEM-MEM,Washington vs Memphis Winner?,active,binary,,0.84,0.85,0.15,0.16,0.01,0.01,2712702.75,47248.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20INDNOP-NOP,Indiana vs New Orleans Winner?,active,binary,,0.56,0.57,0.43,0.44,0.01,0.01,2758440.88,20017.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20INDNOP-IND,Indiana vs New Orleans Winner?,active,binary,,0.43,0.44,0.56,0.57,0.01,0.01,2686632.09,28522.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20BOSTOR-TOR,Boston vs Toronto Winner?,active,binary,,0.47,0.48,0.52,0.53,0.01,0.01,3284216.7,35342.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20BOSTOR-BOS,Boston vs Toronto Winner?,active,binary,,0.53,0.54,0.46,0.47,0.01,0.01,3315058.13,33389.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20CHADET-DET,Charlotte vs Detroit Winner?,active,binary,,0.8,0.81,0.19,0.2,0.01,0.01,3005770.43,47354.0
2025-12-20T11:55:17.399779-05:00,KXNBAGAME-25DEC20CHADET-CHA,Charlotte vs Detroit Winner?,active,binary,,0.2,0.21,0.79,0.8,0.01,0.01,2840091.26,67561.0
