timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BGSUOHIO-OHIO4,Ohio wins by over 4.5 Points?,active,binary,,0.33,0.38,0.62,0.67,0.05,0.05,10398.61,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BGSUOHIO-OHIO1,Ohio wins by over 1.5 Points?,active,binary,,0.47,0.48,0.52,0.53,0.01,0.01,29523.77,61.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BGSUOHIO-BGSU2,Bowling Green wins by over 2.5 Points?,active,binary,,0.42,0.45,0.55,0.58,0.03,0.03,29862.57,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20LIUFIU-FIU7,Florida International wins by over 7.5 Points?,active,binary,,0.41,0.44,0.56,0.59,0.03,0.03,9350.36,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20LIUFIU-FIU4,Florida International wins by over 4.5 Points?,active,binary,,0.52,0.54,0.46,0.48,0.02,0.02,10107.97,2.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20LIUFIU-FIU1,Florida International wins by over 1.5 Points?,active,binary,,0.62,0.68,0.32,0.38,0.06,0.06,7047.58,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20NEOMLAM-LAM7,Lamar wins by over 7.5 Points?,active,binary,,0.45,0.49,0.51,0.55,0.04,0.04,6176.4,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20NEOMLAM-LAM4,Lamar wins by over 4.5 Points?,active,binary,,0.56,0.58,0.42,0.44,0.02,0.02,7995.14,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20NEOMLAM-LAM1,Lamar wins by over 1.5 Points?,active,binary,,0.66,0.73,0.27,0.34,0.07,0.07,5985.7,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA41,Iowa wins by over 41.5 Points?,active,binary,,0.03,0.1,0.9,0.97,0.07,0.07,4049.72,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA38,Iowa wins by over 38.5 Points?,active,binary,,0.07,0.16,0.84,0.93,0.09,0.09,3850.72,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA35,Iowa wins by over 35.5 Points?,active,binary,,0.14,0.22,0.78,0.86,0.08,0.08,5129.29,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA32,Iowa wins by over 32.5 Points?,active,binary,,0.28,0.31,0.69,0.72,0.03,0.03,6418.54,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA29,Iowa wins by over 29.5 Points?,active,binary,,0.35,0.41,0.59,0.65,0.06,0.06,7104.21,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA26,Iowa wins by over 26.5 Points?,active,binary,,0.44,0.51,0.49,0.56,0.07,0.07,8183.74,79.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA23,Iowa wins by over 23.5 Points?,active,binary,,0.55,0.61,0.39,0.45,0.06,0.06,7701.45,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA20,Iowa wins by over 20.5 Points?,active,binary,,0.65,0.69,0.31,0.35,0.04,0.04,7942.74,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA17,Iowa wins by over 17.5 Points?,active,binary,,0.73,0.75,0.25,0.27,0.02,0.02,7832.65,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA14,Iowa wins by over 14.5 Points?,active,binary,,0.8,0.87,0.13,0.2,0.07,0.07,5147.11,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20BUCKIOWA-IOWA11,Iowa wins by over 11.5 Points?,active,binary,,0.85,0.93,0.07,0.15,0.08,0.08,4261.5,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20FGCUUCF-UCF7,UCF wins by over 7.5 Points?,active,binary,,0.76,0.77,0.23,0.24,0.01,0.01,6592.07,0.0
2025-12-20T11:54:12.719691-05:00,KXNCAAMBSPREAD-25DEC20FGCUUCF-UCF4,UCF wins by over 4.5 Points?,active,binary,,0.83,0.91,0.09,0.17,0.08,0.08,4302.62,0.0
