timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BGSUOHIO-154,Bowling Green at Ohio: Total Points,active,binary,,0.36,0.43,0.57,0.64,0.07,0.07,8278.51,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BGSUOHIO-151,Bowling Green at Ohio: Total Points,active,binary,,0.45,0.48,0.52,0.55,0.03,0.03,14954.08,72.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BGSUOHIO-148,Bowling Green at Ohio: Total Points,active,binary,,0.53,0.56,0.44,0.47,0.03,0.03,17345.23,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20LIUFIU-161,LIU at Florida International: Total Points,active,binary,,0.46,0.49,0.51,0.54,0.03,0.03,7096.31,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20LIUFIU-158,LIU at Florida International: Total Points,active,binary,,0.54,0.56,0.44,0.46,0.02,0.02,8964.53,277.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20LIUFIU-155,LIU at Florida International: Total Points,active,binary,,0.62,0.65,0.35,0.38,0.03,0.03,6021.98,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20NEOMLAM-145,Omaha at Lamar: Total Points,active,binary,,0.38,0.41,0.59,0.62,0.03,0.03,8606.74,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20NEOMLAM-142,Omaha at Lamar: Total Points,active,binary,,0.45,0.48,0.52,0.55,0.03,0.03,37054.04,252.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20NEOMLAM-139,Omaha at Lamar: Total Points,active,binary,,0.53,0.56,0.44,0.47,0.03,0.03,9975.63,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-151,Bucknell at Iowa: Total Points,active,binary,,0.09,0.17,0.83,0.91,0.08,0.08,4910.53,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-148,Bucknell at Iowa: Total Points,active,binary,,0.14,0.22,0.78,0.86,0.08,0.08,4741.72,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-145,Bucknell at Iowa: Total Points,active,binary,,0.22,0.27,0.73,0.78,0.05,0.05,6799.88,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-142,Bucknell at Iowa: Total Points,active,binary,,0.27,0.33,0.67,0.73,0.06,0.06,4984.58,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-139,Bucknell at Iowa: Total Points,active,binary,,0.33,0.4,0.6,0.67,0.07,0.07,7065.26,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-136,Bucknell at Iowa: Total Points,active,binary,,0.42,0.45,0.55,0.58,0.03,0.03,10254.03,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-133,Bucknell at Iowa: Total Points,active,binary,,0.51,0.53,0.47,0.49,0.02,0.02,35266.83,484.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-130,Bucknell at Iowa: Total Points,active,binary,,0.56,0.62,0.38,0.44,0.06,0.06,3959.32,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-127,Bucknell at Iowa: Total Points,active,binary,,0.63,0.7,0.3,0.37,0.07,0.07,5361.18,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-124,Bucknell at Iowa: Total Points,active,binary,,0.69,0.76,0.24,0.31,0.07,0.07,5805.49,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20BUCKIOWA-121,Bucknell at Iowa: Total Points,active,binary,,0.75,0.82,0.18,0.25,0.07,0.07,4523.33,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-172,Florida Gulf Coast at UCF: Total Points,active,binary,,0.22,0.28,0.72,0.78,0.06,0.06,5923.93,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-169,Florida Gulf Coast at UCF: Total Points,active,binary,,0.29,0.33,0.67,0.71,0.04,0.04,4846.54,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-166,Florida Gulf Coast at UCF: Total Points,active,binary,,0.35,0.39,0.61,0.65,0.04,0.04,5496.94,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-163,Florida Gulf Coast at UCF: Total Points,active,binary,,0.44,0.46,0.54,0.56,0.02,0.02,6785.75,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-160,Florida Gulf Coast at UCF: Total Points,active,binary,,0.51,0.53,0.47,0.49,0.02,0.02,10282.7,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-157,Florida Gulf Coast at UCF: Total Points,active,binary,,0.58,0.61,0.39,0.42,0.03,0.03,9772.48,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-154,Florida Gulf Coast at UCF: Total Points,active,binary,,0.65,0.68,0.32,0.35,0.03,0.03,5573.12,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-151,Florida Gulf Coast at UCF: Total Points,active,binary,,0.7,0.74,0.26,0.3,0.04,0.04,6615.55,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-148,Florida Gulf Coast at UCF: Total Points,active,binary,,0.72,0.79,0.21,0.28,0.07,0.07,4692.4,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-145,Florida Gulf Coast at UCF: Total Points,active,binary,,0.76,0.84,0.16,0.24,0.08,0.08,3409.71,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20FGCUUCF-142,Florida Gulf Coast at UCF: Total Points,active,binary,,0.8,0.88,0.12,0.2,0.08,0.08,3736.52,0.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20IONAUVM-155,Iona at Vermont: Total Points,active,binary,,0.42,0.45,0.55,0.58,0.03,0.03,5398.64,479.0
2025-12-20T11:54:07.825814-05:00,KXNCAAMBTOTAL-25DEC20IONAUVM-152,Iona at Vermont: Total Points,active,binary,,0.48,0.52,0.48,0.52,0.04,0.04,6553.2,29.0
