timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20LIBORST-ORST,Liberty at Oregon St. Winner?,active,binary,,0.32,0.53,0.47,0.68,0.21,0.21,5788.06,9.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20LIBORST-LIB,Liberty at Oregon St. Winner?,active,binary,,0.15,0.69,0.31,0.85,0.54,0.54,5988.69,0.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20WEBLMU-WEB,Weber St. at Loyola Marymount Winner?,active,binary,,0.12,0.3,0.7,0.88,0.18,0.18,6023.32,0.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20WEBLMU-LMU,Weber St. at Loyola Marymount Winner?,active,binary,,0.68,0.86,0.14,0.32,0.18,0.18,5781.73,24.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20CSFUSD-USD,Cal State Fullerton at San Diego Winner?,active,binary,,0.51,0.65,0.35,0.49,0.14,0.14,8207.94,0.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20CSFUSD-CSF,Cal State Fullerton at San Diego Winner?,active,binary,,0.31,0.5,0.5,0.69,0.19,0.19,6742.5,0.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20NMSUSMC-SMC,New Mexico St. at Saint Mary's Winner?,active,binary,,0.81,0.91,0.09,0.19,0.1,0.1,6597.38,22.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20NMSUSMC-NMSU,New Mexico St. at Saint Mary's Winner?,active,binary,,0.1,0.19,0.81,0.9,0.09,0.09,7581.55,4.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20WYOFRES-WYO,Wyoming at Fresno St. Winner?,active,binary,,0.31,0.49,0.51,0.69,0.18,0.18,6112.5,342.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20WYOFRES-FRES,Wyoming at Fresno St. Winner?,active,binary,,0.55,0.69,0.31,0.45,0.14,0.14,8972.62,236.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20LBSUUCLA-UCLA,Long Beach St. at UCLA Winner?,active,binary,,0.99,1.0,0.0,0.01,0.01,0.01,1762664.86,1000.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20LBSUUCLA-LBSU,Long Beach St. at UCLA Winner?,active,binary,,0.0,0.01,0.99,1.0,0.01,0.01,1763230.65,8591.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20KSUTCU-TCU,Kansas St. at TCU Winner?,active,binary,,0.9,0.94,0.06,0.1,0.04,0.04,1145991.9,22.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20KSUTCU-KSU,Kansas St. at TCU Winner?,active,binary,,0.07,0.1,0.9,0.93,0.03,0.03,1127657.01,287.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20CSNPEPP-PEPP,Cal State Northridge at Pepperdine Winner?,active,binary,,0.89,0.95,0.05,0.11,0.06,0.06,7609.72,124.0
2025-12-20T11:53:32.097024-05:00,KXNCAAWBGAME-25DEC20CSNPEPP-CSN,Cal State Northridge at Pepperdine Winner?,active,binary,,0.06,0.1,0.9,0.94,0.04,0.04,7209.82,316.0
