timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS9,Ole Miss wins by over 9.5 points?,active,binary,,0.69,0.7,0.3,0.31,0.01,0.01,3418150.25,8209.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS7,Ole Miss wins by over 7.5 points?,active,binary,,0.71,0.72,0.28,0.29,0.01,0.01,3444892.81,4605.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS6,Ole Miss wins by over 6.5 points?,active,binary,,0.77,0.78,0.22,0.23,0.01,0.01,3647842.52,13057.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS3,Ole Miss wins by over 3.5 points?,active,binary,,0.81,0.84,0.16,0.19,0.03,0.03,2760378.1,297.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS27,Ole Miss wins by over 27.5 points?,active,binary,,0.25,0.3,0.7,0.75,0.05,0.05,2429325.4,3639.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS23,Ole Miss wins by over 23.5 points?,active,binary,,0.33,0.34,0.66,0.67,0.01,0.01,3352942.46,3152.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS20,Ole Miss wins by over 20.5 points?,active,binary,,0.41,0.43,0.57,0.59,0.02,0.02,3443891.76,9285.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS2,Ole Miss wins by over 2.5 points?,active,binary,,0.86,0.88,0.12,0.14,0.02,0.02,3299126.75,37570.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS17,Ole Miss wins by over 17.5 points?,active,binary,,0.47,0.48,0.52,0.53,0.01,0.01,4022140.6,187604.0
2025-12-20T11:54:02.686995-05:00,KXNCAAFSPREAD-25DEC20TULNMISS-MISS14,Ole Miss wins by over 14.5 points?,active,binary,,0.56,0.57,0.43,0.44,0.01,0.01,3398498.75,74113.0
