timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-68,Tulane at Ole Miss: Total Points,active,binary,,0.25,0.26,0.74,0.75,0.01,0.01,3476688.92,2532.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-65,Tulane at Ole Miss: Total Points,active,binary,,0.3,0.31,0.69,0.7,0.01,0.01,3379977.5,240.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-62,Tulane at Ole Miss: Total Points,active,binary,,0.37,0.38,0.62,0.63,0.01,0.01,3619612.02,173.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-59,Tulane at Ole Miss: Total Points,active,binary,,0.44,0.45,0.55,0.56,0.01,0.01,3842145.39,17468.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-56,Tulane at Ole Miss: Total Points,active,binary,,0.53,0.54,0.46,0.47,0.01,0.01,4217151.38,16578.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-53,Tulane at Ole Miss: Total Points,active,binary,,0.61,0.62,0.38,0.39,0.01,0.01,3604218.6,975.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-50,Tulane at Ole Miss: Total Points,active,binary,,0.68,0.69,0.31,0.32,0.01,0.01,3384259.78,938.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-47,Tulane at Ole Miss: Total Points,active,binary,,0.74,0.75,0.25,0.26,0.01,0.01,2446475.0,618.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20TULNMISS-44,Tulane at Ole Miss: Total Points,active,binary,,0.78,0.8,0.2,0.22,0.02,0.02,2611262.58,1184.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-62,James Madison at Oregon: Total Points,active,binary,,0.12,0.17,0.83,0.88,0.05,0.05,3400275.66,3878.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-59,James Madison at Oregon: Total Points,active,binary,,0.11,0.25,0.75,0.89,0.14,0.14,2327817.53,756.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-56,James Madison at Oregon: Total Points,active,binary,,0.23,0.25,0.75,0.77,0.02,0.02,3670410.78,243.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-53,James Madison at Oregon: Total Points,active,binary,,0.22,0.41,0.59,0.78,0.19,0.19,3601835.35,756.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-50,James Madison at Oregon: Total Points,active,binary,,0.4,0.41,0.59,0.6,0.01,0.01,3703924.45,453.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-47,James Madison at Oregon: Total Points,active,binary,,0.45,0.46,0.54,0.55,0.01,0.01,3801521.66,52431.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-44,James Madison at Oregon: Total Points,active,binary,,0.55,0.56,0.44,0.45,0.01,0.01,3927423.79,23605.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-41,James Madison at Oregon: Total Points,active,binary,,0.56,0.72,0.28,0.44,0.16,0.16,3610334.87,1113.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20JMUORE-38,James Madison at Oregon: Total Points,active,binary,,0.71,0.76,0.24,0.29,0.05,0.05,2546439.58,14085.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20MIATXAM-63,Miami (FL) at Texas A&M: Total Points,active,binary,,0.16,0.17,0.83,0.84,0.01,0.01,3440895.95,24888.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20MIATXAM-60,Miami (FL) at Texas A&M: Total Points,active,binary,,0.23,0.24,0.76,0.77,0.01,0.01,2441957.17,9203.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20MIATXAM-57,Miami (FL) at Texas A&M: Total Points,active,binary,,0.28,0.29,0.71,0.72,0.01,0.01,3628975.24,14313.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20MIATXAM-54,Miami (FL) at Texas A&M: Total Points,active,binary,,0.34,0.35,0.65,0.66,0.01,0.01,3706829.5,18272.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20MIATXAM-51,Miami (FL) at Texas A&M: Total Points,active,binary,,0.41,0.43,0.57,0.59,0.02,0.02,3872821.61,41661.0
2025-12-20T11:53:57.567897-05:00,KXNCAAFTOTAL-25DEC20MIATXAM-48,Miami (FL) at Texas A&M: Total Points,active,binary,,0.49,0.5,0.5,0.51,0.01,0.01,4232845.11,609888.0
