timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB9,Green Bay wins by over 9.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,2047540.86,455.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB7,Green Bay wins by over 7.5 points?,active,binary,,0.22,0.23,0.77,0.78,0.01,0.01,2093495.76,1765.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB6,Green Bay wins by over 6.5 points?,active,binary,,0.26,0.28,0.72,0.74,0.02,0.02,2168839.86,1551.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB3,Green Bay wins by over 3.5 points?,active,binary,,0.36,0.37,0.63,0.64,0.01,0.01,2189463.21,473.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB2,Green Bay wins by over 2.5 points?,active,binary,,0.43,0.44,0.56,0.57,0.01,0.01,2421213.34,5400.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB17,Green Bay wins by over 17.5 points?,active,binary,,0.07,0.08,0.92,0.93,0.01,0.01,2246711.48,1222.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB14,Green Bay wins by over 14.5 points?,active,binary,,0.1,0.11,0.89,0.9,0.01,0.01,1842605.22,11.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB13,Green Bay wins by over 13.5 points?,active,binary,,0.12,0.13,0.87,0.88,0.01,0.01,2187730.14,10.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-GB10,Green Bay wins by over 10.5 points?,active,binary,,0.16,0.17,0.83,0.84,0.01,0.01,1949552.32,134.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI9,Chicago wins by over 9.5 points?,active,binary,,0.21,0.22,0.78,0.79,0.01,0.01,2130813.47,115.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI7,Chicago wins by over 7.5 points?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,2294298.83,1524.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI6,Chicago wins by over 6.5 points?,active,binary,,0.29,0.3,0.7,0.71,0.01,0.01,2200148.88,517.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI3,Chicago wins by over 3.5 points?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2290810.3,4160.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI2,Chicago wins by over 2.5 points?,active,binary,,0.45,0.47,0.53,0.55,0.02,0.02,2327760.03,64833.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI14,Chicago wins by over 14.5 points?,active,binary,,0.12,0.13,0.87,0.88,0.01,0.01,2399469.07,554.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI13,Chicago wins by over 13.5 points?,active,binary,,0.14,0.15,0.85,0.86,0.01,0.01,2329833.5,455.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI10,Chicago wins by over 10.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,1992720.26,1157.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS9,Washington wins by over 9.5 points?,active,binary,,0.06,0.07,0.93,0.94,0.01,0.01,2314441.91,5.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS7,Washington wins by over 7.5 points?,active,binary,,0.08,0.09,0.91,0.92,0.01,0.01,2249769.34,816.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS6,Washington wins by over 6.5 points?,active,binary,,0.1,0.11,0.89,0.9,0.01,0.01,2165048.74,130.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS3,Washington wins by over 3.5 points?,active,binary,,0.15,0.16,0.84,0.85,0.01,0.01,1436820.33,133.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS2,Washington wins by over 2.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,1943205.42,313.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS10,Washington wins by over 10.5 points?,active,binary,,0.06,0.07,0.93,0.94,0.01,0.01,2418239.5,74.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI9,Philadelphia wins by over 9.5 points?,active,binary,,0.42,0.44,0.56,0.58,0.02,0.02,2251246.13,8068.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI7,Philadelphia wins by over 7.5 points?,active,binary,,0.46,0.47,0.53,0.54,0.01,0.01,2719529.43,96674.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI6,Philadelphia wins by over 6.5 points?,active,binary,,0.55,0.56,0.44,0.45,0.01,0.01,2515000.34,66743.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI3,Philadelphia wins by over 3.5 points?,active,binary,,0.64,0.65,0.35,0.36,0.01,0.01,2176438.2,32686.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI2,Philadelphia wins by over 2.5 points?,active,binary,,0.72,0.73,0.27,0.28,0.01,0.01,2190965.54,8829.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI17,Philadelphia wins by over 17.5 points?,active,binary,,0.22,0.23,0.77,0.78,0.01,0.01,1836087.85,1414.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI14,Philadelphia wins by over 14.5 points?,active,binary,,0.27,0.28,0.72,0.73,0.01,0.01,2193242.46,536.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI13,Philadelphia wins by over 13.5 points?,active,binary,,0.32,0.33,0.67,0.68,0.01,0.01,2195048.28,4126.0
2025-12-20T11:53:42.340383-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI10,Philadelphia wins by over 10.5 points?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2193103.59,3127.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB9,Green Bay wins by over 9.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,2047540.86,455.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB7,Green Bay wins by over 7.5 points?,active,binary,,0.22,0.23,0.77,0.78,0.01,0.01,2093495.76,1765.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB6,Green Bay wins by over 6.5 points?,active,binary,,0.26,0.28,0.72,0.74,0.02,0.02,2168839.86,1551.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB3,Green Bay wins by over 3.5 points?,active,binary,,0.36,0.37,0.63,0.64,0.01,0.01,2189458.77,473.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB2,Green Bay wins by over 2.5 points?,active,binary,,0.43,0.44,0.56,0.57,0.01,0.01,2421213.34,5400.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB17,Green Bay wins by over 17.5 points?,active,binary,,0.07,0.08,0.92,0.93,0.01,0.01,2246711.48,1222.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB14,Green Bay wins by over 14.5 points?,active,binary,,0.1,0.11,0.89,0.9,0.01,0.01,1842605.22,11.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB13,Green Bay wins by over 13.5 points?,active,binary,,0.12,0.13,0.87,0.88,0.01,0.01,2187730.14,10.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-GB10,Green Bay wins by over 10.5 points?,active,binary,,0.16,0.17,0.83,0.84,0.01,0.01,1949552.32,134.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI9,Chicago wins by over 9.5 points?,active,binary,,0.21,0.22,0.78,0.79,0.01,0.01,2130813.47,115.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI7,Chicago wins by over 7.5 points?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,2294298.83,1524.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI6,Chicago wins by over 6.5 points?,active,binary,,0.29,0.3,0.7,0.71,0.01,0.01,2200148.88,517.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI3,Chicago wins by over 3.5 points?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2290810.3,4160.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI2,Chicago wins by over 2.5 points?,active,binary,,0.45,0.47,0.53,0.55,0.02,0.02,2327879.86,64833.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI14,Chicago wins by over 14.5 points?,active,binary,,0.12,0.13,0.87,0.88,0.01,0.01,2399469.07,554.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI13,Chicago wins by over 13.5 points?,active,binary,,0.14,0.15,0.85,0.86,0.01,0.01,2329833.5,455.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI10,Chicago wins by over 10.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,1992720.26,1157.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS9,Washington wins by over 9.5 points?,active,binary,,0.06,0.07,0.93,0.94,0.01,0.01,2314441.91,5.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS7,Washington wins by over 7.5 points?,active,binary,,0.08,0.09,0.91,0.92,0.01,0.01,2249769.34,816.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS6,Washington wins by over 6.5 points?,active,binary,,0.1,0.11,0.89,0.9,0.01,0.01,2164976.05,130.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS3,Washington wins by over 3.5 points?,active,binary,,0.15,0.16,0.84,0.85,0.01,0.01,1436820.33,133.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS2,Washington wins by over 2.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,1943205.42,313.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS10,Washington wins by over 10.5 points?,active,binary,,0.06,0.07,0.93,0.94,0.01,0.01,2418239.5,74.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI9,Philadelphia wins by over 9.5 points?,active,binary,,0.42,0.44,0.56,0.58,0.02,0.02,2251246.13,8068.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI7,Philadelphia wins by over 7.5 points?,active,binary,,0.46,0.47,0.53,0.54,0.01,0.01,2719341.14,96674.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI6,Philadelphia wins by over 6.5 points?,active,binary,,0.55,0.56,0.44,0.45,0.01,0.01,2514903.09,66743.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI3,Philadelphia wins by over 3.5 points?,active,binary,,0.64,0.65,0.35,0.36,0.01,0.01,2176438.2,32686.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI2,Philadelphia wins by over 2.5 points?,active,binary,,0.72,0.73,0.27,0.28,0.01,0.01,2190965.54,8829.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI17,Philadelphia wins by over 17.5 points?,active,binary,,0.22,0.23,0.77,0.78,0.01,0.01,1836095.11,1414.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI14,Philadelphia wins by over 14.5 points?,active,binary,,0.27,0.28,0.72,0.73,0.01,0.01,2193242.46,536.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI13,Philadelphia wins by over 13.5 points?,active,binary,,0.32,0.33,0.67,0.68,0.01,0.01,2195048.28,4126.0
2025-12-20T11:55:41.283287-05:00,KXNFLSPREAD-25DEC20PHIWAS-PHI10,Philadelphia wins by over 10.5 points?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2193103.59,3127.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB9,Green Bay wins by over 9.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,2047546.56,455.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB7,Green Bay wins by over 7.5 points?,active,binary,,0.22,0.23,0.77,0.78,0.01,0.01,2093495.76,1765.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB6,Green Bay wins by over 6.5 points?,active,binary,,0.26,0.28,0.72,0.74,0.02,0.02,2168839.86,1551.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB3,Green Bay wins by over 3.5 points?,active,binary,,0.36,0.37,0.63,0.64,0.01,0.01,2189216.85,473.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB2,Green Bay wins by over 2.5 points?,active,binary,,0.43,0.44,0.56,0.57,0.01,0.01,2423458.12,5400.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB17,Green Bay wins by over 17.5 points?,active,binary,,0.07,0.08,0.92,0.93,0.01,0.01,2246714.6,1222.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB14,Green Bay wins by over 14.5 points?,active,binary,,0.1,0.11,0.89,0.9,0.01,0.01,1842606.21,11.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB13,Green Bay wins by over 13.5 points?,active,binary,,0.12,0.13,0.87,0.88,0.01,0.01,2187730.14,10.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-GB10,Green Bay wins by over 10.5 points?,active,binary,,0.16,0.17,0.83,0.84,0.01,0.01,1949552.32,134.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI9,Chicago wins by over 9.5 points?,active,binary,,0.21,0.22,0.78,0.79,0.01,0.01,2130813.47,115.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI7,Chicago wins by over 7.5 points?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,2294306.33,1524.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI6,Chicago wins by over 6.5 points?,active,binary,,0.29,0.3,0.7,0.71,0.01,0.01,2200148.88,517.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI3,Chicago wins by over 3.5 points?,active,binary,,0.38,0.39,0.61,0.62,0.01,0.01,2290801.0,4160.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI2,Chicago wins by over 2.5 points?,active,binary,,0.45,0.47,0.53,0.55,0.02,0.02,2327309.32,64833.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI14,Chicago wins by over 14.5 points?,active,binary,,0.12,0.13,0.87,0.88,0.01,0.01,2399469.07,554.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI13,Chicago wins by over 13.5 points?,active,binary,,0.14,0.15,0.85,0.86,0.01,0.01,2329833.5,455.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20GBCHI-CHI10,Chicago wins by over 10.5 points?,active,binary,,0.18,0.19,0.81,0.82,0.01,0.01,1992725.96,1157.0
2025-12-20T12:00:28.214251-05:00,KXNFLSPREAD-25DEC20PHIWAS-WAS9,Washington wins by over 9.5 points?,active,binary,,0.06,0.07,0.93,0.94,0.01,0.01,2314441.28,5.0
