timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,yes_spread,no_spread,liquidity_dollars,volume_24h
2025-12-20T11:53:15.139431-05:00,KXNFLGAME-25DEC20GBCHI-GB,Green Bay at Chicago Winner?,active,binary,,0.48,0.49,0.51,0.52,0.01,0.01,8401896.28,277159.0
2025-12-20T11:53:15.139431-05:00,KXNFLGAME-25DEC20GBCHI-CHI,Green Bay at Chicago Winner?,active,binary,,0.52,0.53,0.47,0.48,0.01,0.01,9587421.15,270697.0
2025-12-20T11:53:15.139431-05:00,KXNFLGAME-25DEC20PHIWAS-WAS,Philadelphia at Washington Winner?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,8255342.41,190126.0
2025-12-20T11:53:15.139431-05:00,KXNFLGAME-25DEC20PHIWAS-PHI,Philadelphia at Washington Winner?,active,binary,,0.75,0.76,0.24,0.25,0.01,0.01,8588728.67,535299.0
2025-12-20T11:55:14.333763-05:00,KXNFLGAME-25DEC20GBCHI-GB,Green Bay at Chicago Winner?,active,binary,,0.48,0.49,0.51,0.52,0.01,0.01,8401787.46,277159.0
2025-12-20T11:55:14.333763-05:00,KXNFLGAME-25DEC20GBCHI-CHI,Green Bay at Chicago Winner?,active,binary,,0.52,0.53,0.47,0.48,0.01,0.01,9590021.11,270697.0
2025-12-20T11:55:14.333763-05:00,KXNFLGAME-25DEC20PHIWAS-WAS,Philadelphia at Washington Winner?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,8255322.33,190126.0
2025-12-20T11:55:14.333763-05:00,KXNFLGAME-25DEC20PHIWAS-PHI,Philadelphia at Washington Winner?,active,binary,,0.75,0.76,0.24,0.25,0.01,0.01,8588529.49,535299.0
2025-12-20T12:00:00.871242-05:00,KXNFLGAME-25DEC20GBCHI-GB,Green Bay at Chicago Winner?,active,binary,,0.48,0.49,0.51,0.52,0.01,0.01,8399874.91,277159.0
2025-12-20T12:00:00.871242-05:00,KXNFLGAME-25DEC20GBCHI-CHI,Green Bay at Chicago Winner?,active,binary,,0.52,0.53,0.47,0.48,0.01,0.01,9588282.82,270697.0
2025-12-20T12:00:00.871242-05:00,KXNFLGAME-25DEC20PHIWAS-WAS,Philadelphia at Washington Winner?,active,binary,,0.24,0.25,0.75,0.76,0.01,0.01,8213620.81,190126.0
2025-12-20T12:00:00.871242-05:00,KXNFLGAME-25DEC20PHIWAS-PHI,Philadelphia at Washington Winner?,active,binary,,0.75,0.76,0.24,0.25,0.01,0.01,8824005.08,535299.0
