ticker,yes_bid,yes_ask,no_bid,no_ask,kalshi_home_team,kalshi_away_team,market,start_time,team,odds_home_team,odds_away_team,avg_fair_prb,edge,buy_direction,raw_kelly,real_kelly,optimal_bet,num_contracts,trading_cost,profit,ev
KXNCAAMBGAME-25NOV28CHSOSCAR-CHSO,0.05,0.07,0.93,0.95,South Carolina,Charleston Southern,h2h,2025-11-28 15:00:00 CST,Charleston Southern Buccaneers,South Carolina Gamecocks,Charleston Southern Buccaneers,0.0693,0.019299999999999998,yes,0.007620374169405128,0.007620374169405128,1.5240748338810257,30.0,0.03,28.47,0.55
KXNCAAMBGAME-25NOV28DRKELSU-DRKE,0.12,0.15,0.85,0.88,LSU,Drake,h2h,2025-11-28 20:30:13 CST,Drake Bulldogs,LSU Tigers,Drake Bulldogs,0.1369,0.0169,yes,0.0072035508295925175,0.0072035508295925175,1.4407101659185035,12.0,0.03,10.530000000000001,0.2
KXNCAAMBGAME-25NOV28STONLMU-LMU,0.82,0.84,0.16,0.18,Loyola Marymount,Stony Brook,h2h,2025-11-28 21:00:00 CST,Loyola Marymount Lions,Loyola Marymount Lions,Stony Brook Seawolves,0.8178,0.022200000000000025,no,0.009913255072338659,0.009913255072338659,1.9826510144677316,12.0,0.03,10.05,0.21
KXNCAAMBGAME-25NOV28NICHTULN-NICH,0.16,0.21,0.79,0.84,Tulane,Nicholls St,h2h,2025-11-28 14:00:00 CST,Nicholls St Colonels,Tulane Green Wave,Nicholls St Colonels,0.197,0.037000000000000005,yes,0.01652209178723108,0.01652209178723108,3.3044183574462163,20.0,0.05,16.75,0.65
KXNCAAMBGAME-25NOV28NEWAKE-NE,0.05,0.07,0.93,0.95,Wake Forest,Northeastern,h2h,2025-11-28 11:00:00 CST,Northeastern Huskies,Wake Forest Demon Deacons,Northeastern Huskies,0.071,0.02099999999999999,yes,0.008291598837176561,0.008291598837176561,1.6583197674353123,33.0,0.03,31.319999999999997,0.68
KXNCAAMBGAME-25NOV28CHSOSCAR-SCAR,0.94,0.95,0.05,0.06,South Carolina,Charleston Southern,h2h,2025-11-28 15:00:00 CST,South Carolina Gamecocks,South Carolina Gamecocks,Charleston Southern Buccaneers,0.9307,0.019300000000000025,no,0.007620374169405138,0.007620374169405138,1.5240748338810277,30.0,0.03,28.47,0.55
KXNCAAMBGAME-25NOV28STONLMU-STON,0.16,0.18,0.82,0.84,Loyola Marymount,Stony Brook,h2h,2025-11-28 21:00:00 CST,Stony Brook Seawolves,Loyola Marymount Lions,Stony Brook Seawolves,0.1822,0.022199999999999998,yes,0.009913255072338647,0.009913255072338647,1.9826510144677294,12.0,0.03,10.05,0.21
KXNCAAMBGAME-25NOV28TXAMFSU-TXAM,0.47,0.48,0.52,0.53,Florida St,Texas A&M,h2h,2025-11-28 16:30:00 CST,Texas A&M-CC Islanders,Xavier Musketeers,Texas A&M-CC Islanders,0.0882,0.3917999999999999,no,0.30617222253824294,0.30617222253824294,61.23444450764859,117.0,0.52,55.63999999999999,45.33
KXNCAAMBGAME-25NOV28NICHTULN-TULN,0.79,0.84,0.16,0.21,Tulane,Nicholls St,h2h,2025-11-28 14:00:00 CST,Tulane Green Wave,Tulane Green Wave,Nicholls St Colonels,0.803,0.03699999999999995,no,0.016522091787231057,0.016522091787231057,3.3044183574462114,20.0,0.05,16.75,0.65
KXNCAAMBGAME-25NOV28NEWAKE-WAKE,0.94,0.96,0.04,0.06,Wake Forest,Northeastern,h2h,2025-11-28 11:00:00 CST,Wake Forest Demon Deacons,Wake Forest Demon Deacons,Northeastern Huskies,0.929,0.03099999999999995,no,0.012112479452125468,0.012112479452125468,2.4224958904250937,60.0,0.05,57.55,1.84
