ts,ticker,intent_id,side,price,count,reason,fair_yes,edge,spread,yes_bid,yes_ask,no_bid,no_ask
2025-11-08T05:02:59.213310Z,KXEPLGAME-25NOV08CFCWOL-CFC,31ee3a08-3275-4996-b04b-214626ddf85b,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.213628Z,KXEPLGAME-25NOV08CFCWOL-CFC,4029eeba-ef1b-4a6e-a038-404d7482c1a9,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.326800Z,KXEPLGAME-25NOV08CFCWOL-TIE,cbfdb827-4ffc-4a58-824e-ca1d0f86e939,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.326944Z,KXEPLGAME-25NOV08CFCWOL-TIE,500bef22-d2ab-4d69-a329-dedcf7771c4e,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.439553Z,KXEPLGAME-25NOV08CFCWOL-WOL,2e2d368f-1fcd-4307-b97f-a0156d0099a2,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.439730Z,KXEPLGAME-25NOV08CFCWOL-WOL,310a2726-2844-415b-addf-9a146242f028,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.551436Z,KXEPLGAME-25NOV08EVEFUL-EVE,f9fa7889-2092-4f0c-a926-9e1709f201f5,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.551560Z,KXEPLGAME-25NOV08EVEFUL-EVE,566c4617-c6f2-4fe0-a4df-ebd2d21f2cd9,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.685941Z,KXEPLGAME-25NOV08EVEFUL-FUL,62d5543d-b402-4e89-8cbc-d4b714456c5d,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.686065Z,KXEPLGAME-25NOV08EVEFUL-FUL,7aefc913-6ef1-4ab1-9461-8d0a26beaeb3,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.816547Z,KXEPLGAME-25NOV08EVEFUL-TIE,34a20c33-90aa-4d2e-abcf-0558dfb01791,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:02:59.816648Z,KXEPLGAME-25NOV08EVEFUL-TIE,2efa97f9-9b7d-4c78-9a6c-621278c6db8d,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.224949Z,KXEPLGAME-25NOV08SUNARS-ARS,32a8966c-bd23-4c29-b033-b50de402d7ca,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.225155Z,KXEPLGAME-25NOV08SUNARS-ARS,a58770f7-8839-44dd-ade3-de350f6ea7ba,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.373356Z,KXEPLGAME-25NOV08SUNARS-SUN,363f0575-efbc-4333-bdfd-dad302669b4f,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.373624Z,KXEPLGAME-25NOV08SUNARS-SUN,93a38d5e-d610-4993-bcef-340f8280d231,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.647709Z,KXEPLGAME-25NOV08SUNARS-TIE,0eb511e4-1ccf-4763-8681-2dbb3f6bcfad,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.647945Z,KXEPLGAME-25NOV08SUNARS-TIE,3aab3545-df63-4572-9bd5-e328cef6169d,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.856666Z,KXEPLGAME-25NOV08TOTMUN-MUN,da9f0f10-a3b2-4cf7-be64-a90a354724bf,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:00.856839Z,KXEPLGAME-25NOV08TOTMUN-MUN,04341cc1-0274-4e4c-bb29-91f7fc702edc,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.015295Z,KXEPLGAME-25NOV08TOTMUN-TIE,69a2ab7b-3fe2-4ada-a0e9-c2f0b7dfe750,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.015509Z,KXEPLGAME-25NOV08TOTMUN-TIE,8509de4e-cfc1-40f2-a696-66c49bc8ddca,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.193103Z,KXEPLGAME-25NOV08TOTMUN-TOT,a132f94f-1cc2-4e87-a7c9-19d95ba43d32,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.193249Z,KXEPLGAME-25NOV08TOTMUN-TOT,08bd0a9a-ae12-4a56-8d9e-b778c7a6e95c,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.332929Z,KXEPLGAME-25NOV08WHUBUR-BUR,0c7126d0-128f-40c7-b1b2-79ed706f0d0a,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.333383Z,KXEPLGAME-25NOV08WHUBUR-BUR,217f686d-1f06-4bba-b544-52ca4483b4ce,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.469882Z,KXEPLGAME-25NOV08WHUBUR-TIE,a21fd25c-5335-42a5-bf65-6ddda18f3080,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.470041Z,KXEPLGAME-25NOV08WHUBUR-TIE,f15b3828-99c0-4edd-8f24-694b3b62544e,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.598131Z,KXEPLGAME-25NOV08WHUBUR-WHU,85529d72-a854-4ff2-9841-ab79794972f6,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.598266Z,KXEPLGAME-25NOV08WHUBUR-WHU,efa545ab-008b-4546-bf2a-0472c0fbf3c6,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.750512Z,KXEPLGAME-25NOV09AVLBOU-AVL,b884a6bf-55bf-43f0-ab09-acc754011472,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.750626Z,KXEPLGAME-25NOV09AVLBOU-AVL,fddf0c00-9688-4a4c-aa10-e0a37d4229cd,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.874079Z,KXEPLGAME-25NOV09AVLBOU-BOU,e6afcaed-a521-42e8-9a8c-fadebff03a3a,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:01.874227Z,KXEPLGAME-25NOV09AVLBOU-BOU,87418d81-efdc-4465-beb9-7a50c02f0a33,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.013664Z,KXEPLGAME-25NOV09AVLBOU-TIE,fa4e6b7c-cb6b-48ec-8d4e-f5f6c99fc535,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.013823Z,KXEPLGAME-25NOV09AVLBOU-TIE,a8ae45d3-2576-4a9b-9211-a126b62f08e1,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.191915Z,KXEPLGAME-25NOV09BRENEW-BRE,9cad2943-a505-4c55-ad4f-24eec4b99b72,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.192086Z,KXEPLGAME-25NOV09BRENEW-BRE,68768d78-da9b-405e-bbaf-1a090a779311,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:02.307577Z,KXEPLGAME-25NOV09BRENEW-NEW,fa94c45a-4a9c-4b85-b534-6347adedf7b2,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
